Claim_ID,Activity,Mode,Surface,Allowed_Wording,Required_Disclaimer,Prohibited_Wording,Evidence_Required,Current_Status,Owner,Localization_Keys,Tests,External_Review_Required
CLM-GLOBAL-01,Global,All,All,Companion logging and reference planning tool,Not certified dive computer; not EN13319/ISO6425,certified dive computer; guaranteed safe,SAFETY_DISCLAIMER legal onboarding,SOFTWARE_PASS,Product,legal.not_dive_computer more.safety.footer,ReleaseLegalClaimsRemediationTests,Legal counsel
CLM-GLOBAL-02,Global,All,Legal onboarding,Scroll-gated acceptance of terms/safety,Full disclaimer + depth limits ack,bypass legal acceptance,LegalAcceptanceStore record,SOFTWARE_PASS,Product,ios.legal.* legal.*,LegalAcceptanceGateTests,No
CLM-GAUGE-01,Diving,Gauge,Watch live,TTV informational metric only,Not NDL/TTS/deco,decompression guidance from TTV,detail.ttv.note Resources strings,SOFTWARE_PASS,Algorithm,detail.ttv.note,ReleaseLegalClaimsRemediationTests,No
CLM-FC-01,Diving,Full Computer,Watch live,Non-certified experimental Bühlmann runtime,Reference-only; not certified decompression,FULL_COMPUTER_ARCHITECTURE briefing.reference_only.footer,SOFTWARE_PASS,Algorithm,briefing.reference_only.footer,FullComputerReleaseHardValidationTests,External validation optional
CLM-FC-02,Diving,Full Computer,Watch settings,Depth automation may be unavailable,Predive readiness blocks false start,guaranteed depth accuracy,HARDWARE_QA_MATRIX,SOFTWARE_PASS,Product,watch.info.depth_entitlement.title,TestQaEvidenceRemediationWatchTests,Physical Ultra QA
CLM-PLN-01,Diving,Planner,iOS,Reference-only Bühlmann planner,Ack required; visible warning,certified decompression planner,IOS_PLANNER_LIMITATIONS,SOFTWARE_PASS,Algorithm,planner.reference_only.warning,PlannerVisualContractTests,Bühlmann external
CLM-PLN-02,Diving,Planner,iOS,Ratio Deco comparative heuristic,Does not replace Bühlmann,certified dive computer replacement,planner.ratio_deco.disclaimer,SOFTWARE_PASS,Algorithm,planner.ratio_deco.disclaimer,RatioDecoPlannerTests,Ratio external optional
CLM-PLN-03,Diving,Planner,iOS,CNS/OTU estimates,Reference-only not authority,guaranteed physiological safety,planner.cns_full_plan.warning.hint,SOFTWARE_PASS,Algorithm,planner.oxygen_exposure.*,BuhlmannComprehensiveReadinessTests,No
CLM-CCR-01,Diving,CCR,iOS,Reference CCR planner only,No live loop PPO2; heuristic bailout,certified CCR controller,CCR_REBREATHER_LIMITATIONS,SOFTWARE_PASS,Algorithm,ccr.safety.disclaimer,CCRMathRemediationTests,CCR external
CLM-APNEA-01,Apnea,All,Watch+iOS,Recovery policy tracking,Not medical prescription; not fitness guarantee,medical advice; guaranteed recovery,apnea recovery strings,SOFTWARE_PASS,Apnea,apnea.recovery.* settings.apnea.recovery.*,ApneaLifecycleEngineTests,No
CLM-SNORK-01,Snorkeling,All,Watch,Return-to-entry reference navigation,GPS quality dependent; surface-oriented,rescue navigation; guaranteed return,snorkeling.return.*,SOFTWARE_PASS,Snorkeling,snorkeling.return.* snorkeling.nav.*,SnorkelingNavigationReturnEngineTests,Field GPS QA
CLM-GPS-01,All,All,Watch+iOS,GPS surface metadata only,Unreliable underwater; optional export redaction,underwater GPS tracking guarantee,SAFETY_DISCLAIMER iOS/SAFETY,SOFTWARE_PASS,Product,more.safety.footer,SecurityPrivacyTrustRemediationTests,No
CLM-EXP-01,Diving,All,Export,PDF/CSV reference exports,Mode-specific disclaimers in PDF/CSV,certified decompression plan export,EXPORT_DISCLAIMER_POLICY,SOFTWARE_PASS,Product,pdf.export.* planner.export.*,CSVMetadataRoundTripTests,Subsurface external
CLM-EQUIP-01,Diving,Checklist,iOS,Operational pre-dive preparation,Not life-support verification,safety guarantee from checklist completion,PRE_DIVE_CHECKLIST docs,SOFTWARE_PASS,Product,N/A,EquipmentChecklistGenerator source scan,No
CLM-PRIV-01,All,All,Privacy manifests,No tracking; declared data types,Privacy policy alignment,undeclared tracking,PrivacyInfo.xcprivacy,SOFTWARE_PASS,Security,PRIVACY_MANIFEST_DECLARATION,SecurityPrivacyTrustRemediationTests,App Store privacy review
CLM-ENT-01,Diving,Gauge/FC,Watch,Entitlement configured not field-validated,Simulation/fallback labeled,entitlement proves reliability,HARDWARE_ENTITLEMENT evidence,SOFTWARE_PASS,Product,SensorSourceMode InfoView,WATCH_ULTRA_ENTITLEMENT_RELEASE_GATE,Physical underwater QA
CLM-STORE-01,All,All,App Store,Non-certified companion positioning,Prohibited claims checklist,Certified dive computer marketing,APP_STORE_MARKETING evidence,SOFTWARE_PASS,Marketing,IOS_APP_STORE checklist,ReleaseLegalClaimsRemediationTests,Marketing+Legal sign-off
CLM-STORE-02,All,All,TestFlight,Aligned review notes,Limitations enumerated,production-ready certified product,TESTFLIGHT_REVIEW_NOTES,SOFTWARE_PASS,Product,TESTFLIGHT_REVIEW_NOTES.md,ReleaseLegalClaimsRemediationTests,No
CLM-SYNC-01,All,All,Sync,Sync may be delayed; signed when supported,No guaranteed immediate sync,guaranteed instant sync,WATCH_IOS_SYNC evidence,SOFTWARE_PASS,Sync,ActivitySyncSignedAckSymmetryTests,Physical paired QA
CLM-CLOUD-01,Diving,Logbook,iOS,Optional Diving iCloud backup,Diving-only; Apnea/Snorkeling local-only,guaranteed cloud backup,CloudBackupCapabilityTests,SOFTWARE_PASS,Cloud,CloudBackupCapabilityTests,ICLOUD_TWO_DEVICE QA
CLM-LEGAL-01,All,All,Terms/Privacy,Non-binding product terms,Not legal advice; not certified,guarantee decompression correctness,TERMS_OF_USE PRIVACY,SOFTWARE_PASS,Legal,ios.legal.settings.*,IOSLegalSettingsLocalizationTests,External counsel
CLM-BM-EXT-01,Diving,Planner,Marketing,Reference-only until external validation,no equivalence to certified tools,validated-safety claim before evidence,BUHLMANN_EXTERNAL,SOFTWARE_PASS,Algorithm,BUHLMANN_EXTERNAL template,BuhlmannReferenceFixtureTests,External Bühlmann
CLM-CCR-EXT-01,Diving,CCR,Marketing,Reference-only until external validation,no controller claim,life-support controller marketing,CCR_EXTERNAL,SOFTWARE_PASS,Algorithm,CCR_EXTERNAL template,CCRMathRemediationTests,External CCR
