Data_Category,Collected,Stored,Synced,Exported,Shared,Backed_Up,Protected,User_Controllable,Policy_Disclosed,Manifest_Declared,Release_Risk,Notes
Dive profiles,YES,YES,YES,YES,NO,YES,PARTIAL,YES,YES,YES,MEDIUM,Physical export/backup evidence pending
Depth samples,YES,YES,YES,YES,NO,YES,PARTIAL,PARTIAL,YES,YES,HIGH,Underwater physical QA pending
Location/GPS metadata,YES,YES,YES,YES,NO,YES,PARTIAL,PARTIAL,YES,YES,HIGH,Field validation pending; keep surface-only claims
Snorkeling routes,YES,YES,YES,YES,NO,YES,PARTIAL,PARTIAL,YES,YES,HIGH,Open-water QA pending
Photos/images,CONDITIONAL,YES,YES,YES,NO,YES,PARTIAL,YES,YES,YES,MEDIUM,Permission and export physical checks pending
Equipment/gas data,YES,YES,YES,YES,NO,YES,PARTIAL,YES,YES,YES,MEDIUM,Manual QA pending
CCR/bailout references,YES,YES,YES,YES,NO,YES,PARTIAL,YES,YES,YES,MEDIUM,Reference-only claim constraints preserved
Notes/free text,YES,YES,YES,YES,NO,YES,PARTIAL,YES,YES,YES,MEDIUM,No external sharing evidence in this audit
Sync identifiers,YES,YES,YES,NO,NO,YES,PARTIAL,NO,YES,YES,LOW,Namespace isolation covered by prior audits
Device identifiers,YES,YES,YES,NO,NO,YES,PARTIAL,PARTIAL,YES,YES,MEDIUM,Physical privacy-path validation pending
Diagnostics/logs,YES,YES,CONDITIONAL,YES,NO,YES,PARTIAL,PARTIAL,YES,YES,MEDIUM,Support/incident process evidence incomplete
