Rank,Consolidated_Finding_ID,Severity,Priority,Recommended_Batch,Recommended_Command,Dependency_Level,Safety_Critical,Release_Blocker,Quick_Win,High_Regression_Risk,Needs_Physical_QA,Needs_External_Validation,Reason_For_Rank,Acceptance_Gate,Notes
1,CF-002,P1,P1,Batch-1,R09,0,No,Yes,Yes,Medium,No,No,Fails current Watch/iOS parity tests and is fastest software closure,All localization parity tests green,Required first batch quick win
2,CF-008,P0,P0,Batch-1,R12,0,No,Yes,Yes,Low,No,No,Stale INDEX README can misstate readiness baseline,Docs baseline aligned to 7ae527b,Truthfulness repair in first batch
3,CF-009,P0,P0,Batch-1,R12,0,No,Yes,Yes,Low,No,Yes,Unsupported CCR claims create legal and compliance exposure,Claims wording evidence-backed only,Truthfulness repair in first batch
4,CF-007,P1,P1,Batch-2,R11,1,No,Yes,No,Medium,No,No,SUPPORT_ROLLBACK failed in release audit,Rollback gate PASS with artifacts,Release governance blocker
5,CF-006,P1,P1,Batch-2,R01,1,No,No,No,Low,No,No,Missing command 07 and stale command references break lifecycle continuity,Command inventory fully aligned,Manual continuation dependency
6,CF-001,P1,P1,Batch-4,R10,2,Yes,Yes,No,Low,No,Yes,External Buhlmann validation absent,Independent validation package signed,Blocks external and App Store claims
7,CF-003,P1,P1,Batch-3,R10,2,No,Yes,No,Low,Yes,No,Cross-audit physical QA campaigns still pending,Signed physical evidence matrix entries,External readiness blocker
8,CF-004,P1,P1,Batch-3,R10,2,No,Yes,No,Medium,Yes,No,Snorkeling field/manual QA pending after software remediation,Snorkeling QA pending matrix closed,Software applied but not field closed
9,CF-011,P1,P1,Batch-4,R11,3,No,Yes,No,Low,Yes,Yes,Umbrella release readiness still NOT_READY,All dependent blockers closed,Depends on validation QA and docs
10,CF-010,P2,P2,Batch-3,R10,3,No,No,No,Low,Yes,No,Unified logbook manual QA pending despite no contamination findings,Manual unified logbook checklist complete,Keep presentation-only boundary
11,CF-013,P2,P2,Batch-3,R10,3,No,No,No,Medium,Yes,No,Snorkeling remediation consumed but closure evidence incomplete,All pending snorkeling QA rows closed,Tracks 7c459cb consumption
12,CF-012,P2,P2,Batch-2,R01,3,No,No,No,Low,No,No,Manual continuation path must be explicit for missing command lifecycle,Manual continuation document complete and reproducible,Boundary clarity
13,CF-014,P3,P3,Batch-4,R12,4,No,No,Yes,Low,No,No,Docs/repo alignment debt slows reruns,No stale references in mandatory docs,Non-blocking hygiene
14,CF-005,P2,P2,Batch-2,R09,4,No,No,No,Low,No,No,Demo contamination fix already verified should stay closed,Regression check remains green,Verified at f90b671
