Claim_ID,Claim,Evidence_Type,Evidence_Ref,Status,Severity,Release_Impact,Notes
CLM-001,No certified dive-computer claim,Doc audit,README+Docs wording,PASS,P0,None,No EN13319/ISO6425 certification claim promoted
CLM-002,No certified CCR controller claim,Doc audit,CCR audit docs,PASS,P0,None,CCR stays reference-only
CLM-003,No fake physical QA pass claim,Matrix cross-check,Physical QA matrices,PASS,P0,None,All unexecuted physical rows marked pending
CLM-004,No fake external validation claim,Matrix cross-check,External gaps doc,PASS,P0,None,All external rows remain pending
CLM-005,Apnea recovery no medical guarantee,Copy audit,Apnea release audit,PASS,P1,None,No therapeutic wording found
CLM-006,Snorkeling route not guaranteed safety,Copy audit,Snorkeling remediation docs,PASS,P1,None,No safety-certification language
CLM-007,GPS is activity-scoped not underwater authority,Policy/docs audit,GPS matrices,PASS,P1,None,Surface-only position preserved
CLM-008,Unified logbook is presentation-only,Code/docs audit,Unified logbook docs,PASS,P2,None,No canonical merged store claim
CLM-009,Shallow developer testing hidden from public,Entitlement/docs audit,Shallow release gate matrix,PARTIAL,P2,External/TestFlight blocker,Needs additional release evidence in assets metadata
CLM-010,Support/rollback process ready,Process docs audit,Blockers doc,FAIL,P1,Internal TF conditional and external blocked,Drill evidence missing
