Remediation_ID,Priority,Original_Status,Classification,Files_Changed,Tests_Added_Or_Updated,Docs_Changed,New_Status,Software_Readiness_Impact,Manual_QA_Status,Physical_QA_Status,Acceptance_Evidence,Non_Regression_Evidence,Notes
R1-001,REQUIRED,P1_PARTIAL,FIXED_SOFTWARE,"IOSSnorkelingSessionDetailView; IOSSnorkelingRoutePlannerView; IOSSnorkelingWatchTransferService; Localizable.strings","IOSSnorkelingUIViewContractTests","IMPLEMENTATION_REPORT; STATUS; TEST_EVIDENCE",FIXED_SOFTWARE,P1 sync visibility improved on detail and planner,MANUAL_UI_QA_PENDING,PENDING,UI contract + presentation tests,Architecture isolation tests unchanged,Dashboard aggregate sync card unchanged
R1-003,REQUIRED,P1_PARTIAL,FIXED_TEST,"SnorkelingWatchRuntimeStore; SnorkelingWatchBatteryFractionPolicy","SnorkelingWatchRuntimeBatteryTests; SnorkelingWatchBatteryPresentationTests",IMPLEMENTATION_REPORT,FIXED_TEST,Battery fraction policy wired and tested,MANUAL_UI_QA_PENDING,PENDING,Policy + runtime source contract tests,No Apnea battery path changes,
R1-004,OPTIONAL,P1_PARTIAL,FIXED_SOFTWARE,"SnorkelingView; Localizable.strings; IOSSnorkelingRoutePlannerView","SnorkelingWatchReadyRoutePresentationTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,Pending route copy and a11y hint strengthened,MANUAL_UI_QA_PENDING,PENDING,Presentation + localization tests,Watch ready policy unchanged for non-pending routes,
R1-005,REQUIRED,P1_PARTIAL,FIXED_SOFTWARE,"IOSSnorkelingSessionsListView; IOSSnorkelingSessionDetailView; IOSSnorkelingSessionSyncService; SnorkelingSessionLogbookSyncPresentation; WatchSyncService","SnorkelingSessionLogbookSyncPresentationTests; IOSSnorkelingUIViewContractTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,Per-session sync badges on list/detail,MANUAL_UI_QA_PENDING,PENDING,Presentation tests for pending/failed badges,Diving/Apnea logbook lists untouched,
R1-006,REQUIRED,P1_PARTIAL,FIXED_SOFTWARE,"IOSSnorkelingSessionDetailView; SnorkelingSessionLogbookSyncPresentation; Localizable.strings","SnorkelingSessionLogbookSyncPresentationTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,startMode source row on session detail,MANUAL_UI_QA_PENDING,PENDING,startMode label presentation tests,Unified logbook other activities unaffected,
R1-007,REQUIRED,P1_PARTIAL,FIXED_SOFTWARE,"IOSSnorkelingWatchTransferService; SnorkelingRoutePendingSendQueuePersistence","SnorkelingPendingRouteQueuePersistenceTests; SnorkelingRouteAckRoundTripTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,Pending route queue persists across relaunch,MANUAL_UI_QA_PENDING,PENDING,Round-trip + restore + ACK clear tests,Apnea namespace not reused,
R1-009,OPTIONAL,P1_PARTIAL,DOCUMENTED_MANUAL_E2E_PENDING,QA_EVIDENCE/SNORKELING_ROUTE_PUSH,"SnorkelingRouteAckRoundTripTests; SnorkelingPendingRouteQueuePersistenceTests",PROCEDURE.md; README.md,TEST_HARNESS_ADDED,E2E procedure documented; automated codec/ACK only,PENDING_PAIRED_DEVICE_QA,PENDING,Software ACK tests pass; E2E folder PENDING,No fake E2E PASS claims,
R2-001,REQUIRED,P2_PARTIAL,FIXED_SOFTWARE,"SnorkelingView","SnorkelingWatchReturnPrimaryActionTests; SnorkelingWatchUIViewContractTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,returnIsPrimaryAction drives a11y id sort priority and font,MANUAL_UI_QA_PENDING,PENDING,UI contract tests,Navigation buttons unchanged when return unavailable,
R2-002,OPTIONAL,P2_PARTIAL,DOCUMENTED_RE_SEND_REQUIRED,"IOSSnorkelingSettingsContent; Localizable.strings","IOSSnorkelingUIViewContractTests",IMPLEMENTATION_REPORT,FIXED_SOFTWARE,Re-send required banner for operational threshold changes,MANUAL_UI_QA_PENDING,PENDING,UI contract test,No settings-only WC message (Option A chosen),
R2-005,OPTIONAL,P2_PARTIAL,FIXED_TEST,"SnorkelingView","SnorkelingWatchUIViewContractTests",IMPLEMENTATION_REPORT,FIXED_TEST,Ready panel route summary contract test added,MANUAL_UI_QA_PENDING,PENDING,Source contract for routeCompactSummaryText,Ready panel structure unchanged otherwise,
R3-001,POLICY,N/A,BLOCKED_NOT_IMPLEMENTED_BY_POLICY,,SnorkelingReleaseHardValidationTests,IMPLEMENTATION_REPORT,BLOCKED_NOT_IMPLEMENTED_BY_POLICY,Heatmap remains forbidden in production,NOT_APPLICABLE,NOT_APPLICABLE,Release self-check scan,No production heatmap code added,
R3-002,SOFTWARE,P3_PARTIAL,FIXED_COPY_OR_ANALYTICS,"IOSSnorkelingSessionDetailView; Localizable.strings","IOSSnorkelingUIViewContractTests",IMPLEMENTATION_REPORT,FIXED_COPY_OR_ANALYTICS,Non-validation disclaimer on planned vs actual,MANUAL_UI_QA_PENDING,PENDING,UI contract test disclaimer key,No safety validation wording added,
R3-003,QA,N/A,PENDING_MANUAL_QA_WITH_TEMPLATES,QA_EVIDENCE/SNORKELING_*,,QA_PENDING; RERUN_CHECKLIST,PENDING_MANUAL_QA_WITH_TEMPLATES,QA templates preserved as PENDING,MANUAL_UI_QA_PENDING,PENDING,54+ QA folders remain PENDING,No fabricated device evidence,
