Case_ID,Area,Activity,Mode,Input,Initial_State,Expected_Result,Actual_Result,Absolute_Error,Relative_Error,Pass,Severity,Evidence,Notes
EC-IOS-001,Bühlmann,Diving,All,Invalid gas O2>100%,Fresh tissues,Preflight block,Blocked,0,0,PASS,,BuhlmannGasValidationTests,Fail-closed
EC-IOS-002,MOD,Diving,All,O2 100% PPO2 1.6,Fresh,MOD ~6m,~6m,0,0,PASS,,PlannerSwitchDepthMODClampTests,Mandatory example
EC-IOS-003,MOD,Diving,All,Switch depth deeper than MOD,Gas configured,Clamp to MOD,Clamped,0,0,PASS,,BottomGasSwitchDepthTests,
EC-IOS-004,Planner,Diving,Technical,Average depth > max depth,Technical mode,Validation error,Rejected,0,0,PASS,,PlannerAverageDepthPolicyTests,
EC-IOS-005,Ascent,Diving,All,Zero/negative ascent speed,Default settings,Fallback to minimum,Guarded,0,0,PASS,,PlannerAscentSpeedSettingsTests,
EC-IOS-006,Repetitive,Diving,Technical,Future-dive timestamp,Prior dive loaded,Reject stale,Rejected,0,0,PASS,,RepetitiveDiveMathematicalTests,
EC-IOS-007,Repetitive,Diving,Technical,Stale previous tissues,Surface interval invalid,Explicit error,Fail-closed,0,0,PASS,,RepetitiveDiveMathematicalTests,No silent fresh tissue
EC-IOS-008,CCR,Diving,CCR,Invalid setpoint,CCR mode,Block plan,Blocked,0,0,PASS,,CCRPlannerTests,
EC-IOS-009,CCR,Diving,CCR,Hypoxic diluent,CCR mode,Validation issue,Blocked,0,0,PASS,,CCRMathRemediationTests,
EC-IOS-010,CCR,Diving,CCR,Invalid bailout gas,CCR mode,Validation issue,Blocked,0,0,PASS,,CCRPlannerTests,
EC-IOS-011,Logbook,Apnea,All,Cross-activity deep link,Active diving,Reject,Rejected,0,0,PASS,,IOSCompanionNavigationRestorationTests,
EC-IOS-012,Logbook,All,All,Mixed logbook restore,Wrong activity,No mixed query,Isolated stores,0,0,PASS,,IOSActivityLogbookDataIsolationTests,
EC-IOS-013,Settings,All,All,Settings mode switch during Watch session,Watch active,No runtime mutation,Scope UI only,0,0,PASS,,IOSActivitySettingsModeSwitchTests,Physical confirm pending
EC-IOS-014,Export,Diving,All,Missing export fields,Incomplete plan,Block export,Blocked,0,0,PASS,,PlanCalculationCompletenessTests,
EC-IOS-015,CSV,Diving,All,Malformed CSV import,Import path,Fail-closed,Rejected,0,0,PASS,,CSVMetadataRoundTripTests,
EC-IOS-016,Sync,All,All,Invalid sync payload,HMAC check,Reject,Rejected,0,0,PASS,,ActivitySyncCrossDecodeRejectionTests,
EC-IOS-017,GF preset,Diving,All,iOS conservative 20/80 plan package,Watch import,Map to FC conservative2080,Import accepts preset,0,0,PASS,,DivePlanPackageBuilder @451f8fb,CONS-002 verified
EC-IOS-018,GF preset,Diving,All,iOS standard 30/70 plan package,Watch import,Map to FC standard3070,Import accepts preset,0,0,PASS,,FullComputerGradientFactorPreset,CONS-002 verified
EC-IOS-019,GF preset,Diving,All,iOS aggressive 40/85 plan package,Watch import,Import success,Accepted as moderate4085,0,0,PASS,,FullComputerGradientFactorPreset.matching,
EC-IOS-020,GF preset,Diving,All,Invalid pair 30/80,Watch import,Fail-closed,invalidGradientFactors,0,0,PASS,,FullComputerImportedPlanStoreTests,
EC-IOS-021,Briefing,Diving,All,Briefing card manifest,Export,referenceOnly true,Always true,0,0,PASS,,PlannerBriefingCardManifest,
EC-IOS-022,Route,Snorkeling,All,Invalid GPS track,Session start,Graceful empty state,Handled,0,0,PASS,,IOSSnorkelingNoGPSPresentationTests,
EC-IOS-023,Snorkeling,Snorkeling,Route,Empty point array distance,SnorkelingDistanceCalculator,distanceMeters 0,Compile+return 0,Return 0,0,0,PASS,P4,SnorkelingDistanceCalculatorTests @2c30412,IOS-P1-001 closed
EC-IOS-024,Snorkeling,Snorkeling,Route,Invalid route for Watch transfer,Validation,Block transfer,allowsWatchTransfer false,0,0,PASS,,SnorkelingRouteValidatorTests,
EC-IOS-025,Snorkeling,Snorkeling,All,Fake logbook ON,Real sessions present,DEMO section only stats isolated,Isolated,0,0,NOT_EXECUTED,,SnorkelingExportPayloadTests,Compile blocked
EC-IOS-026,Sync,Diving,All,Unsigned legacy tombstone with secret,Signed path active,Prefer signed verify,Signed primary + legacy mirror,0,0,PASS,P3,ActivitySyncTombstoneTests,CONS-005 documented
EC-IOS-027,Sync,All,All,Failed ACK signature,inFlight set,Clear inFlight retry,releaseInFlightOutboundSession,0,0,PASS,,WatchSyncService @451f8fb,CONS-003
EC-IOS-028,Navigation,All,All,Process death mid-tab,Tokens persisted,Restore tab on relaunch,PARTIAL,0,0,FAIL,P3,IOSCompanionNavigationRestorationTests,IOS-P3-001
EC-IOS-029,Map,Snorkeling,Route,Reset map with waypoints,Planner open,Confirm destructive alert,Alert shown,0,0,PASS,,SnorkelingRoutePlannerResetMapTests,
EC-IOS-030,Settings,Snorkeling,All,Map type satellite,Settings change,Planner map style updates,Applied,0,0,PASS,,SnorkelingMapTypeTests,
