Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_or_Mitigation,Performance_Budget,Validation_Command,Validation_Result,Residual_Risk,Physical_Profiling_Required,Notes
IOS-PERF-P0-001,P0,OPEN,FIXED,All Bühlmann planning runs on @MainActor,PlannerStore.swift;PlannerBackgroundCalculation.swift,Yes,Yes,Yes,Yes,Task.detached background pipeline,BUD-IOS-004,validate_ios_performance_readiness.sh,PASS,None,Yes,Math unchanged
IOS-PERF-P0-002,P0,OPEN,FIXED,Multiplicative Bühlmann solves,PlannerService.swift;GasPlanningService.swift;BuhlmannPlanner.swift,Yes,Yes,Yes,Yes,Single contingency plan per variant; skip GF/contingency in base mode,BUD-IOS-005,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P0-003,P0,OPEN,FIXED,calculate() bypasses debounce,PlannerStore.swift,Yes,Yes,Yes,Yes,Calculate uses immediate background pipeline,BUD-IOS-005,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P0-004,P0,OPEN,FIXED,Tissue Analytics in SwiftUI body,PlannerView.swift;PlannerStore.swift;TissueAnalyticsService.swift,Yes,Yes,Yes,Yes,Precompute in PlannerBackgroundCalculation,BUD-IOS-007,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-001,P1,OPEN,FIXED,Eager full Diving coordinator init,IOSCompanionStoreCoordinator.swift;DiveLogStore.swift,Yes,Yes,Yes,Yes,Async logbook load; lazy sync logbooks,BUD-IOS-001,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-002,P1,OPEN,FIXED,DiveLogStore sync load at init,DiveLogStore.swift,Yes,Yes,Yes,Yes,performInitialLoadIfNeeded async,BUD-IOS-002,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-003,P1,OPEN,FIXED,WatchSync creates both activity logbooks,IOSCompanionStoreCoordinator.swift;WatchSyncService.swift,Yes,Yes,Yes,Yes,Lazy logbook providers on sync,BUD-IOS-002,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-004,P1,OPEN,FIXED,Settings creates both bundles,IOSCompanionSettingsEnvironmentHost.swift;IOSCompanionStoreCoordinator.swift,Yes,Yes,Yes,Yes,Mode-scoped settings env only,BUD-IOS-003,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-005,P1,OPEN,FIXED,No CI planner budget assertion,PerformanceConcurrencyBatteryRemediationTests.swift,Yes,Yes,Yes,Yes,testPlannerBackgroundFlushWithinBudget,BUD-IOS-004,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P1-006,P1,OPEN,FIXED,Tissue charts not capped,TissueAnalyticsService.swift,Yes,Yes,Yes,Yes,2048 point downsample,BUD-IOS-007,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-007,P1,OPEN,FIXED,CCR charts raw arrays,PlannerChartSnapshots.swift;PlannerStore.swift,Yes,Yes,Yes,Yes,make(fromCCR:) downsampled,BUD-IOS-006,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-008,P1,OPEN,FIXED,Map downsampling unwired,SnorkelingSessionMapPresentation.swift,Yes,Yes,Yes,Yes,downsampledMeasuredPoints wired,BUD-IOS-016,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-009,P1,OPEN,FIXED,iOS sync flush no backpressure,WatchSyncService.swift,Yes,Yes,Yes,Yes,WatchSyncPendingFlushPolicy on iOS,BUD-IOS-014,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-010,P1,OPEN,FIXED,LogbookView non-lazy ScrollView,LogbookView.swift,Yes,Yes,Yes,Yes,LazyVStack,BUD-IOS-009,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P1-011,P1,OPEN,FIXED,Per-row refreshedStatistics,IOSApneaLogbookPresentation.swift;IOSSnorkelingLogbookPresentation.swift,Yes,Yes,Yes,Yes,Use session.statistics,BUD-IOS-010,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P2-001,P2,OPEN,FIXED,companionSettingsScope forwards objectWillChange,IOSCompanionStoreCoordinator.swift,Yes,Yes,Yes,Yes,Removed forwarding,BUD-IOS-003,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P2-002,P2,OPEN,FIXED,Double calculation on init,PlannerStore.swift,Yes,Yes,Yes,Yes,Empty placeholders + async schedule,BUD-IOS-004,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P2-003,P2,OPEN,FIXED,Signposts unused,TissueAnalyticsService.swift;DiveLogStore.swift,Yes,Yes,Yes,Yes,tissueAnalyticsGeneration and logbookLoad wired,N/A,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P2-004,P2,OPEN,FIXED,Unbounded tissue cache,TissueAnalyticsService.swift,Yes,Yes,Yes,Yes,LRU max 32 entries,BUD-IOS-017,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P2-005,P2,OPEN,FIXED,CSV row count unused,DiveImportService.swift,Yes,Yes,Yes,Yes,validateRowCount in parseCSV,BUD-IOS-012,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P2-006,P2,OPEN,FIXED,Export no cancellation,IOSExportCancellation.swift,Yes,Yes,Yes,Yes,Async export wrappers with checkCancellation,BUD-IOS-011,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P2-007,P2,OPEN,FIXED,Unbounded trackPoints,SnorkelingSessionEngine.swift,Yes,Yes,Yes,Yes,maxPersistedTrackPoints 50000,BUD-IOS-016,validate_ios_performance_readiness.sh,PASS,None,Yes,
IOS-PERF-P3-001,P3,OPEN,FIXED,Missing signposts,N/A,Yes,Yes,Yes,Yes,Signposts wired for key surfaces,N/A,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P3-002,P3,OPEN,FIXED,Chart downsampling tradeoff,PresentationSeriesDownsampler.swift,Yes,Yes,Yes,Yes,Uniform downsample documented,N/A,validate_ios_performance_readiness.sh,PASS,Visual tradeoff,No,
IOS-PERF-P3-003,P3,DOCUMENTED_ACCEPTED_RISK,DOCUMENTED_ACCEPTED_RISK,Session caps by design,N/A,No,Yes,No,Yes,40/80 caps enforced,N/A,validate_ios_performance_readiness.sh,PASS,By design,No,
IOS-PERF-P3-004,P3,OPEN,FIXED,Missing perf tests,PerformanceConcurrencyBatteryRemediationTests.swift,No,Yes,Yes,Yes,+10 remediation tests,N/A,validate_ios_performance_readiness.sh,PASS,None,No,
IOS-PERF-P3-005,P3,PENDING_PHYSICAL_PROFILING,PENDING_PHYSICAL_PROFILING,Physical cold-start unverified,N/A,No,No,No,Yes,Instruments plan pending,BUD-IOS-001,N/A,PENDING,Unknown device latency,Yes,
IOS-PERF-P3-006,P3,PENDING_PHYSICAL_PROFILING,PENDING_PHYSICAL_PROFILING,Physical map QA unverified,N/A,No,No,No,Yes,Instruments plan pending,BUD-IOS-016,N/A,PENDING,Unknown frame rate,Yes,
