mockup_id,path,platform,activity,implemented,fixture_exists,snapshot_regression,embedded_in_live_ui,runtime_bundled,status,notes
FC_UI_01,mockups/FC_UI_01_ACTIVITY_SELECTION.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_02,mockups/FC_UI_02_DIVING_MODE_SELECTION.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_03,mockups/FC_UI_03_FULL_COMPUTER_PREDIVE_CONFIRMATION.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_04,mockups/FC_UI_04_SETTINGS_ACTIVITY_DEFAULT.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_05,mockups/FC_UI_05_SETTINGS_DIVING_MODE_AND_TTV.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_06,mockups/FC_UI_06_PREDIVE_GAS_CONFIGURATION.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_07,mockups/FC_UI_07_IOS_DECO_PLAN_TRANSFER.png,iOS,Diving FC,yes,yes,yes,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_08,mockups/FC_UI_08_DECO_GAS_LIST.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_09,mockups/FC_UI_09_GAS_SWITCH_AVAILABLE.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_10,mockups/FC_UI_10_GAS_SWITCH_MISSED.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_11,mockups/FC_UI_11_NDL_GREEN.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
FC_UI_12,mockups/FC_UI_12_NDL_YELLOW_10_MIN.png,watchOS,Diving FC,yes,yes,presentation_fixture,no,no,IMPLEMENTED,Reference only — not in app bundle
