Priority,Feature,Expected Behavior,Code Evidence,UI Evidence,Sync Evidence,Persistence Evidence,Test Evidence,Docs Evidence,Verdict,Gap,Recommended Remediation,Risk Level
P1,P1 route package iOS creation,Build signed route package with metadata checksum revision,SnorkelingRouteSyncCodec SnorkelingRoutePackageBuilder IOSSnorkelingRoutePlannerView,Route planner send section,N/A,Planner draft in IOSSnorkelingRoutePlannerStore,SnorkelingRouteSyncCodecTests IOSSnorkelingRoutePlannerTests,SNORKELING_WATCH_P1_INTEGRATION_AUDIT,IMPLEMENTED,None,R1 — monitor only,Low
P1,P1 route transfer to Watch,Transfer via WC applicationContext and userInfo,IOSSnorkelingWatchTransferService WatchSyncService,Send to Watch button,WC transfer types snorkelingRoutePackage,In-memory pending queue only,SnorkelingRouteAckRoundTripTests,SNORKELING_ROUTE_PUSH QA PENDING,IMPLEMENTED,Queue not persisted across iOS relaunch,R1-007 Persist pending route send queue,Medium
P1,P1 route ACK,Signed ACK delivered and consumed on iOS,SnorkelingRouteSyncAckSigner SnorkelingRouteWatchReceiver,Sync status card updates,ACK round trip,SnorkelingImportedRouteStore revision state,SnorkelingRouteAckWatchTests SnorkelingRouteAckRoundTripTests,SNORKELING_P1_ROUTE_SYNC_STATUS_IOS,IMPLEMENTED,No WC E2E test,R1-009 Add integration test harness,Medium
P1,P1 pending route during session,Hold route until session ends then activate,SnorkelingImportedRouteStore pendingPackage activatePendingIfNeeded,Watch pending banner on ready panel,Receiver holds pending,Imported route store file,SnorkelingImportedRouteCompatibilityTests,SNORKELING_P1_WATCH_READY_ROUTE_STATUS,IMPLEMENTED,Pending UX subtle on iOS,R1-004 Improve pending activation messaging,Low
P1,P1 route activated after session,Pending route applies on session end,SnorkelingImportedRouteStore activatePendingIfNeeded,SnorkelingWatchRuntimeStore applyImportedRouteIfAvailable,ACK + store update,Store persisted,SnorkelingImportedRouteCompatibilityTests,SNORKELING_WATCH_IMPORTED_ROUTE QA PENDING,IMPLEMENTED,None,R1 — monitor,Low
P1,P1 Watch route status visible,Show route name revision pending on ready panel,SnorkelingWatchReadyPresentationPolicy SnorkelingView.readyGrid,readyGrid route cells,N/A,SnorkelingImportedRouteStore,SnorkelingWatchReadyRoutePresentationTests,SNORKELING_P1_WATCH_READY_ROUTE_STATUS,IMPLEMENTED,Physical QA pending,R1 — execute QA checklist,Low
P1,P1 iOS route status visible,Dashboard and planner show sync state,SnorkelingRouteSyncStatusPresentationPolicy,Planner transfer section dashboard sync card,IOSSnorkelingWatchTransferService state,Transfer state in service,SnorkelingRouteSyncStatusPresentationTests,SNORKELING_P1_ROUTE_SYNC_STATUS_IOS,IMPLEMENTED,Revision not always prominent in list,R1-001 Enhance sync status visibility,Low
P1,P1 Watch session save,Completed session written to Watch logbook,SnorkelingLogbookStore SnorkelingSessionEngine,Session summary save state,N/A,dirdiving_snorkeling_sessions.json,SnorkelingLogbookStoreTests,SNORKELING_SESSION_PULL QA PENDING,IMPLEMENTED,None,R1 — monitor,Low
P1,P1 Watch to iOS session sync,Transfer session payload to iOS companion,WatchSyncService SnorkelingSessionSyncCodec,Summary footer syncPending,Signed session envelope,SnorkelingSyncPendingTransfer queue,SnorkelingSessionSyncCodecTests SnorkelingWatchPendingQueueTests,SNORKELING_P1_WATCH_TO_IOS_SYNC_STATUS,IMPLEMENTED,No WC E2E,R1-009 Integration tests,Medium
P1,P1 signed ACK session,Session import ACK signed and verified,SnorkelingSessionSyncCodec ActivitySyncSignedTransport,N/A,ACK in WatchSyncService,N/A,SnorkelingSessionSyncTransportNegativeTests ActivitySyncSignedAckSymmetryTests,SNORKELING_IOS_WATCH_SYNC QA PENDING,IMPLEMENTED,None,R1 — monitor,Low
