Finding_ID,Priority,Original_Status,Current_Status,Root_Cause,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_Summary,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Physical_QA_Required,External_Validation_Required,Notes
IOS-ALG-001,P2,OPEN,PENDING_EXTERNAL_VALIDATION,No third-party Bühlmann/CCR reference run,,NO,NO,NO,YES,Remain external gate,External vectors executed,Manual QA folder,NOT_RUN,Docs/IOS_MAIN_COMPLETE_ALGORITHM_EXTERNAL_QA_PENDING_CURRENT.md,YES,YES,Not code-fixable
IOS-ALG-002,P2,OPEN,PENDING_PHYSICAL_QA,No two-device iCloud merge QA,,NO,NO,NO,YES,Remain physical gate,Two-device merge matrix,Manual,NOT_RUN,External QA doc,YES,NO,Not code-fixable
IOS-ALG-003,P2,OPEN,PENDING_EXTERNAL_VALIDATION,No Subsurface desktop round-trip,,NO,NO,NO,YES,CSV software tests pass; desktop pending,Subsurface import/export,Manual,NOT_RUN,SubsurfaceExportServiceRemediationTests,YES,YES,Not code-fixable
IOS-ALG-004,P2,OPEN,PENDING_PHYSICAL_QA,No paired Watch physical briefing QA,,NO,NO,NO,YES,Watch sync crypto tests pass,Physical Watch round-trip,Manual,NOT_RUN,ApneaSyncAckNegativeTests,YES,NO,Not code-fixable
IOS-ALG-005,P3,OPEN,VERIFIED,Apnea cloud was truthful stub without capability model,iOSApp/Utils/ApneaCloudCapability.swift;iOSApp/Views/Apnea/IOSApneaSessionExportView.swift,YES,YES,NO,YES,Explicit EXPLICITLY_UNAVAILABLE capability; removed misleading toggle,No upload path; truthful UX,ApneaCloudBackupStubTruthfulnessTests,PASS,1326 iOS tests,NO,NO,Local-only policy
IOS-ALG-006,P3,OPEN,VERIFIED,Dual @AppStorage vs SharedIOSSettingsStore in MoreView,iOSApp/Views/MoreView.swift;iOSApp/Services/SharedIOSSettingsStore.swift,YES,YES,NO,YES,MoreView uses SharedIOSSettingsStore for language/units/pressure/cloud,Single canonical write path,IOSActivitySettingsCoherenceTests,PASS,Shared settings tests,NO,NO,
IOS-ALG-007,P4,OPEN,VERIFIED,Tests XCTSkip when Keychain peer secret unavailable,Shared/Utils/ApneaSyncTestSupport.swift;iOSApp/Services/WatchDiveSyncCodec.swift,YES,YES,NO,NO,WatchSyncTestSupport/ApneaSyncTestSupport + DEBUG bypass hooks,Zero software XCTSkip on peer secret,xcodebuild iOS Algorithm Tests,PASS,0 XCTSkip in suite,NO,NO,
IOS-ALG-008,P4,OPEN,VERIFIED,Title inference for gas roles,iOSApp/Utils/ChecklistRoleMigration.swift;iOSApp/Utils/ChecklistPlannerSyncMapper.swift;iOSApp/Services/EquipmentStore.swift,YES,YES,NO,YES,Typed gasRole + migration fallback,Roles localization-independent,ChecklistTypedRoleMigrationTests,PASS,Migration tests,NO,NO,
IOS-ALG-009,P4,OPEN,VERIFIED,PDF MOD used entry.modMeters not base policy,iOSApp/Utils/MODPresentationPolicy.swift;iOSApp/Services/PDF/PlannerPDFBuilder.swift,YES,YES,NO,YES,Canonical MOD policy shared by PDF and validator,PDF matches canonical MOD,MODPresentationPolicyTests,PASS,Base EAN50 policy tests,NO,NO,
IOS-ALG-010,INFO,BY_DESIGN,NOT_APPLICABLE,Gauge/FC Watch-only by design,,NO,NO,NO,NO,No change,,,,,NO,NO,By design
IOS-ALG-011,P4,OPEN,VERIFIED,All activity stores eager at app root,iOSApp/Services/IOSCompanionStoreCoordinator.swift;iOSApp/App/DIRDivingiOSApp.swift,YES,YES,NO,NO,Lazy bundles + sync-only logbook attachment,Apnea/Snorkeling UI stores lazy until activity,IOSCompanionStoreLifecycleTests,PASS,Source lifecycle tests,NO,NO,
IOS-ALG-012,P2,OPEN,PENDING_PHYSICAL_QA,No field GPS QA,,NO,NO,NO,YES,Snorkeling software tests pass,Field GPS comparison,Manual,NOT_RUN,SnorkelingSessionSyncTransportNegativeTests,YES,NO,Not code-fixable
IOS-ALG-013,INFO,BY_DESIGN,NOT_APPLICABLE,CCR bailout heuristic,,NO,NO,NO,NO,Disclosed reference-only,,,,,NO,NO,By design
IOS-ALG-PERF,P4,OPEN,VERIFIED,Long-profile stress coverage incomplete,Tests/iOSAlgorithmTests/IOSCompleteAlgorithmAuditRemediationTests.swift,YES,YES,YES,NO,Long OC/CCR profile + performance tests in audit remediation suite,Finite outputs on long profiles,IOSCompleteAlgorithmAuditRemediationTests,PASS,Long profile tests,NO,NO,
