Gate,Area,RequiredEvidence,AutomatedEvidence,PhysicalEvidence,ExternalEvidence,Status,Blockers,NextAction
Internal code,All production paths,No P0/P1 code defect,Consolidated remediation @5d757cc PASS,None,None,PASS,,Software remediation closed CONS P1 cluster
Internal tests,All critical requirements,Remediation gate suites,validate_consolidated_software_readiness.sh PASS @5d757cc,None,Independent reference missing,PARTIAL,ORCH-004,Run full 1091/1526 suite on CI hardware optional
Documentation,Current architecture and limitations,Canonical consistent docs,Post-remediation audit outputs @5d757cc,None,External review not required,PASS,,Command 05 rerun complete
UI/UX,Complete truthful reachable flows,Audit 16 plus simulator/device evidence,Software gates PASS; physical UX pending,Pending,Manual visual pending,PARTIAL,ORCH-010,Execute device UX matrix
Watch runtime,Live Gauge/Full Computer,Build tests underwater evidence,Remediation Watch 42/42 PASS @5d757cc,Pending,External Bühlmann pending,PARTIAL,ORCH-005,Execute physical Watch matrix
iOS planner,Reference-only planner,Build full tests external model comparison,GF parity CONS-002 PASS @5d757cc,Pending,Pending Bühlmann/CCR,PARTIAL,ORCH-004,External validation campaign
Full Computer,Live deco runtime,Altitude/multilevel/oracle/physical evidence,Software remediation PASS; altimeter physical pending,Pending,Pending,PARTIAL,ORCH-005,Execute CMAltimeter physical gate
Gauge,Live informational runtime,Build tests underwater hardware evidence,Software evidence PASS,Pending,Not applicable,CODE_READY_PHYSICAL_QA_PENDING,ORCH-005,Execute physical Gauge matrix
Apnea,Lifecycle/recovery/logbook,Build tests underwater/accessibility evidence,Software evidence PASS,Pending,Claims review if expanded,CODE_READY_PHYSICAL_QA_PENDING,ORCH-010,Execute physical Apnea matrix
Snorkeling,GPS/dips/navigation/logbook,Build tests field/privacy/battery evidence,Software evidence PASS,Pending,Not applicable,CODE_READY_PHYSICAL_QA_PENDING,ORCH-015,Execute field GPS/privacy matrix
Sync/security,Signed isolated reliable transport,Full negative suites and paired evidence,CONS-003..005 closed @5d757cc,Pending,Not applicable,CODE_READY_PHYSICAL_QA_PENDING,ORCH-006,Execute paired-device trust/sync matrix
Privacy/export,Manifests/redaction/file protection/round trip,Software tests plus device/external interoperability,Software evidence PASS,Pending,Subsurface pending,PENDING,ORCH-012,Run device privacy and external Subsurface validation
Performance/battery,Budgets and field profiles,Automated budgets/signposts,Software budgets PASS in consolidated gate,Pending,Not applicable,PENDING,ORCH-009,Run physical long-session/thermal matrix
Localization/accessibility,EN/IT parity and perceivable states,Catalog tests/scans and physical a11y,Key parity PASS; physical a11y pending,Pending,Not applicable,PENDING,ORCH-014,Execute device a11y
Mockups/visual regression,Registry snapshots device/manual fidelity,Software snapshot contracts,Software evidence PASS,Pending,Human review pending,PENDING,ORCH-011,Populate device pixels/manual scores/PDF renders
Release/legal,Truthful claims and process,Claims tests plus counsel/store review,Claims alignment PASS @5d757cc,Pending,Pending,BLOCKED,ORCH-007,Obtain external legal review
TestFlight,Internal candidate gate,Code/tests/UI/security/device evidence,Software lane READY @5d757cc,Pending,Pending,CONDITIONAL,ORCH-005; ORCH-006,Disclose physical gaps; optional smoke QA
App Store,External release gate,All prior gates plus legal/assets/external evidence,Software not sufficient alone,Pending,Pending,BLOCKED,ORCH-007; ORCH-011; ORCH-012,Complete all gates and final claims review
