Profile_ID,Timestamp,Depth,Gas,Overall_Ceiling,Rounded_Stop,TTS,NDL,Controlling_Compartment,Deco_State,Expected_Transition,Actual_Transition,Pass,Evidence
ML-01,0,0.00,Air,0.00,0.0,oracle_projection_only,>0,1,ndl,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,60,18.00,Air,0.00,0.0,oracle_projection_only,>0,1,ndl,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,120,36.00,Air,0.00,0.0,oracle_projection_only,>0,1,ndl,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,130,39.00,Air,0.00,0.0,oracle_projection_only,>0,1,ndl,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,180,39.00,Air,0.00,0.0,oracle_projection_only,>0,1,ndl,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,210,39.00,Air,0.15,3.0,oracle_projection_only,0,1,deco,deco_first_appears,deco_first_appears,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,240,34.52,Air,1.25,3.0,oracle_projection_only,0,1,deco,ceiling_shift,ceiling_shift,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,300,25.55,Air,2.68,3.0,oracle_projection_only,0,1,deco,ceiling_shift,ceiling_shift,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,360,16.58,Air,3.17,6.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,404,10.00,Air,3.02,6.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,420,10.00,Air,2.89,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,480,10.00,Air,2.45,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,540,10.00,Air,2.07,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,600,10.00,Air,1.74,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,660,10.00,Air,1.45,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,720,10.00,Air,1.20,3.0,oracle_projection_only,0,1,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,780,10.00,Air,1.13,3.0,oracle_projection_only,0,2,deco,controller_1_to_2,controller_1_to_2,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,840,10.00,Air,1.08,3.0,oracle_projection_only,0,2,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,900,10.00,Air,1.04,3.0,oracle_projection_only,0,2,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,960,10.00,Air,1.01,3.0,oracle_projection_only,0,2,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-01,1004,10.00,Air,0.98,3.0,oracle_projection_only,0,2,deco,steady,steady,YES,Audit15Air39MultilevelProfileTests; 51 Watch algo tests PASS
ML-05,checkpoint,4.0,Air,variable,—,—,—,—,clear_or_ndl,tissue_preserved_before_redescent,tissue_preserved_before_redescent,YES,Audit15RedescentOracleTests; checkpoint restore
