Remediation_ID,Doc_Evidence_Present,Software_Status,Manual_UI_QA,Paired_Device_QA,Physical_QA,Consumption_Status,Notes
R1-001,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Visibility features documented
R1-003,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Battery policy documented
R1-004,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Pending route UX documented
R1-005,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Failure/pending states documented
R1-006,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Source row documented
R1-007,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Pending queue documented
R1-009,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,E2E procedure documented
R2-001,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Return primary action documented
R2-002,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Re-send banner documented
R2-005,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Route summary documented
R3-001,YES,BLOCKED_FROM_PRODUCTION,PENDING,PENDING,PENDING,PARTIAL,Heatmap blocked
R3-002,YES,IMPLEMENTED,PENDING,PENDING,PENDING,PARTIAL,Non-safety adherence wording
R3-003,YES,PENDING_REAL_EVIDENCE,PENDING,PENDING,PENDING,PARTIAL,Templates are not real evidence
