RiskID,Priority,Area,Risk Description,Regression Impact,Safety/Privacy Impact,Likelihood,Severity,Evidence,Mitigation,Owner,Status
RISK-001,P1,Sync UX,Route sync state not visible enough on iOS dashboard/planner for failed/stale states,Users retry duplicate sends or assume success,Low,Medium,High,SnorkelingRouteSyncStatusPresentation exists but no persistent error on detail,R1-001 Enhance sync status surfaces,iOS,OPEN
RISK-002,P1,Watch Ready,Battery read from WKInterfaceDevice but no runtime store unit test,Regressions could silently hide battery again,Low,Medium,Medium,SnorkelingWatchRuntimeStore.updateBattery vs BatteryPresentationTests inject-only,R1-003 Runtime battery wiring test,Watch,OPEN
RISK-003,P1,Route Sync,Pending route activation state unclear to user during active session,User starts without knowing deferred route,Low,Low,Medium,SnorkelingImportedRouteStore pendingPackage ready banner,R1-004 Pending route UX copy,iOS+Watch,OPEN
RISK-004,P1,Session Sync,Session sync failures not visible on iOS session detail,Data loss perceived when session missing on phone,Medium,Low,High,Dashboard sync card only SnorkelingWatchSyncStatusPresentationPolicy,R1-005 Detail-level sync error row,iOS,OPEN
RISK-005,P1,Logbook,Per-session sync source (Watch vs manual) not shown,Support/debug confusion,Low,None,Low,startMode on SnorkelingSession not in detail UI,R1-006 Show sync source label,iOS,OPEN
RISK-006,P1,Persistence,iOS route pending send queue in-memory only,Lost pending send on iOS relaunch,Medium,None,Medium,IOSSnorkelingWatchTransferService pendingQueue,R1-007 Persist pending queue,iOS,OPEN
RISK-007,P1,Testing,No WatchConnectivity E2E integration tests,Codec passes but WC fails in field,High,None,High,Only unit/codec tests,R1-009 WC test harness,Platform,OPEN
RISK-008,P2,Watch UI,returnIsPrimaryAction computed but unused,Primary action policy drift from UI,Low,Low,Medium,SnorkelingWatchPresentation output vs SnorkelingView,R2-001 Wire flag to styling,Watch,OPEN
RISK-009,P2,Settings,iOS settings change without route re-send does not update Watch,Threshold mismatch mid-session,Medium,Low,Medium,SnorkelingOperationalSettingsRouteSyncTests metadata-only path,R2-002 Push settings delta or warn user,iOS+Watch,OPEN
RISK-010,P2,QA,All P1/P2/P3 QA evidence folders PENDING,False INTERNAL_READY claims,High,None,High,54 SNORKELING QA README all PENDING,R3-003 Execute manual QA program,QA,OPEN
RISK-011,P3,Analytics,No single route adherence score,Users misread progress % as safety,Low,Medium,Low,Partial metrics in runtimeSummary,R3-002 Optional score or clearer copy,iOS,OPEN
RISK-012,P3,Docs-only,P3 features marked ready without device QA,Premature release,High,Medium,High,Completeness audits say MANUAL_UI_QA_PENDING,R3-003 Block release on QA PASS,PM,OPEN
RISK-013,Cross,Activity isolation,Shared WatchSyncService transport for all activities,Cross-decode if keys collide,High,High,Low,SnorkelingCrossDomainIsolationTests separate keys,R1 — maintain key discipline,Platform,MITIGATED
RISK-014,Cross,GPS,GPS unavailable underwater misunderstood as navigation fix,Orientation confusion not rescue,Medium,Medium,Medium,gps.unavailable underwater strings,R1 — manual safety QA copy review,UX,OPEN
RISK-015,Watch,Performance,Micro-map Canvas redraw on navigation tick,Battery drain on long sessions,Low,Low,Low,24-point downsample policy,R3 — battery QA SNORKELING_BATTERY_THERMAL,Watch,OPEN
RISK-016,P1,Markers,Marker captured on Watch but photo only on iOS,Expectation mismatch,Low,None,Low,Photo marker iOS-only policy,Document in onboarding,iOS,MITIGATED
