Feature,Activity,Classification,Watch_Label,iOS_Label,Units_Parity,Mode_Parity,Sync_Parity,Intentional_Asymmetry,Documented,Pass,Finding_ID,Notes
Activity selection,Global,shared,StartupFlowView,IOSCompanionActivitySelectionView,yes,yes,partial,no,yes,yes,,
Settings mode switch,Global,iOS-only,n/a,IOSCompanionSettingsModeSwitcher,n/a,n/a,no,yes,yes,yes,,iOS configures; Watch in-app selection
Diving Logbook,Diving,synchronized,DiveLogListView,LogbookView,yes,yes,yes,no,yes,yes,,
Apnea Logbook,Apnea,synchronized,Apnea logbook route,IOSApneaSessionsListView,yes,yes,partial,no,yes,yes,,
Snorkeling Logbook,Snorkeling,synchronized,Snorkeling session save,IOSSnorkelingSessionsListView,yes,yes,partial,no,yes,yes,,
Gauge TTV,Diving,intentionally asymmetric,TTV on Watch,n/a (Planner TTS reference),yes,yes,n/a,yes,yes,yes,,Gauge≠Full Computer
Full Computer TTS,Diving,intentionally asymmetric,TTS on Watch,Planner TTS reference,yes,yes,partial,yes,yes,yes,,
GF presets,Diving,synchronized,FullComputerGradientFactorSettingsStore,DivePlanPackageBuilder,yes,yes,yes,no,yes,yes,,CONS-002 fixed
Planner,Diving,iOS-only reference,n/a,PlannerView,yes,yes,partial,yes,yes,yes,,Not live Watch authority
Briefing cards,Diving,reference-only,BriefingCardInventory,Planner briefing export,yes,yes,yes,yes,yes,yes,,
CCR planning,Diving,reference-only,n/a,CCRPlannerView,yes,yes,n/a,yes,yes,yes,MUIUX-P2-002,Not controller
Snorkeling route planner,Snorkeling,iOS-only planning,n/a,IOSSnorkelingRoutePlannerView,yes,yes,yes,yes,yes,yes,,Watch receives imported route
Water auto-open,Diving,Watch-only,WatchWaterAutoOpenSettingsView,n/a,n/a,n/a,n/a,yes,yes,yes,MUIUX-P1-001,iOS must not claim WAO
Crown underwater clamp,Diving,Watch-only,WatchUnderwaterPagePolicy,n/a,n/a,n/a,n/a,yes,yes,yes,MUIUX-P1-002,
Action Button router,Diving,Watch-only,WatchUnderwaterActionRouter,n/a,n/a,n/a,n/a,yes,yes,yes,MUIUX-P1-002,
Apnea Settings,Apnea,shared,WatchActivitySettingsSections,IOSApneaSettingsContent,yes,yes,partial,no,yes,yes,,
Snorkeling Settings,Snorkeling,shared,WatchActivitySettingsSections,IOSSnorkelingSettingsContent,yes,yes,partial,no,yes,yes,,
Mission Mode,Diving,Watch-only,MissionModeIndicator,n/a,yes,n/a,n/a,yes,yes,yes,,
Manual accessibility QA,Global,pending,n/a,n/a,n/a,n/a,n/a,yes,yes,partial,MUIUX-P1-003,Contracts PASS software
