mockup_id,matrix_index,executable_fixture,ios_raster_snapshot,watch_layout_contract,physical_pixel_diff,manual_visual_fidelity,status
FC_UI_01,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_02,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_03,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_04,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_05,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_06,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_07,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_08,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_09,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_10,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_11,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_12,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_13,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_14,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_15,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_16,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_17,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_18,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_19,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_20,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_21,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_22,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_23,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_24,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
FC_UI_25,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_01,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_02,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_03,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_04,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_05,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_06,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_07,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_WATCH_08,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_01,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_02,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_03,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_04,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_05,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_06,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_WATCH_07,yes,yes,n/a,yes,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_01,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_02,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_03,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_04,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_05,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_06,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_07,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_08,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_09,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_10,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_11,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_12,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_13,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_14,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
APNEA_IOS_15,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_IOS_01,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_IOS_02,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
SNORKELING_IOS_03,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
IOS_COMPANION_ACTIVITY_SELECTION,yes,yes,yes,n/a,PENDING_PHYSICAL_QA,PENDING_MANUAL_VISUAL_QA,SOFTWARE_VERIFIED
