Screen_ID,Activity,Platform,Feature,Initial,Empty,Loading,Success,Partial,Stale,Offline,Permission_Denied,Validation_Error,Algorithm_Error,Sync_Error,Conflict,Destructive_Confirm,Retry,Restored,Unsupported,Accessibility,Pass,Finding_ID,Notes
ST-001,Global,Watch,Legal onboarding,yes,yes,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,partial,yes,,Disclaimer before location
ST-002,Global,Watch,Cold launch modals,yes,n/a,n/a,yes,partial,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,partial,yes,,Submersion probe timeout documented
ST-003,Diving,Watch,Live Gauge,yes,yes,n/a,yes,partial,yes,n/a,n/a,n/a,yes,n/a,n/a,yes,n/a,yes,n/a,partial,yes,,Sensor stale surfaced
ST-004,Diving,Watch,Live Full Computer,yes,yes,n/a,yes,partial,yes,n/a,n/a,n/a,yes,n/a,n/a,yes,n/a,yes,n/a,partial,yes,,Deco UI state matrix tests
ST-005,Diving,Watch,Water auto-open Settings,yes,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,yes,yes,,Blocked during active session
ST-006,Diving,Watch,Underwater toast,yes,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,partial,yes,,Does not cover safety metrics
ST-007,Diving,iOS,Planner results,yes,yes,yes,yes,partial,yes,n/a,n/a,yes,yes,n/a,n/a,n/a,yes,n/a,n/a,partial,yes,,Invalid input clears stale
ST-008,Diving,iOS,Emergency/Rock Bottom,yes,yes,n/a,yes,partial,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,partial,yes,,Insufficiency visible
ST-009,Apnea,iOS,Apnea Settings,yes,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,yes,yes,,
ST-010,Snorkeling,iOS,Route planner,yes,yes,n/a,yes,partial,n/a,n/a,yes,yes,yes,n/a,n/a,yes,yes,n/a,n/a,partial,yes,MUIUX-P2-003,GPS denied state present
ST-011,Snorkeling,iOS,Snorkeling Logbook,yes,yes,n/a,yes,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a,yes,n/a,yes,n/a,partial,yes,,
ST-012,Global,iOS,Sync pending/failed,yes,yes,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,yes,n/a,yes,yes,n/a,partial,yes,MUIUX-P1-004,Paired QA pending
ST-013,Diving,Watch,Briefing cards,yes,yes,n/a,yes,partial,yes,n/a,n/a,n/a,n/a,yes,n/a,yes,n/a,yes,n/a,partial,yes,,Reference-only stale states
ST-014,Global,iOS,Settings mode switch,yes,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,yes,yes,,No runtime mutation
ST-015,Diving,Watch,Developer shallow toggles,yes,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,partial,yes,MUIUX-P1-005,Footer warns not production depth
ST-016,Apnea,iOS,Profile editor alarms/markers,yes,n/a,n/a,partial,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,partial,partial,MUIUX-P2-007,Alarms state not editable
ST-017,Apnea,Watch,Live session P1/P2/P3,yes,yes,n/a,yes,partial,yes,n/a,n/a,n/a,n/a,yes,n/a,yes,n/a,yes,n/a,partial,yes,,@76f3703 training overlays
