Capability_ID,Capability,Required,Implemented,Evidence,Classification,Release_Blocker,Notes
ENT-001,Shallow depth entitlement tier,YES,YES,Config/*.entitlements + Info.plist,Required;Apple approval required,NO,Shallow posture documented
ENT-002,Full depth entitlement tier,CONDITIONAL,UNKNOWN,No physical provisioning evidence,Apple approval required;Physical-device required,YES,Do not claim full-depth availability without evidence
ENT-003,WKSupportsAutomaticDepthLaunch,YES,YES,Info.plist/project settings,Required;Physical-device required,YES,Needs physical listing/launch evidence
ENT-004,WKBackgroundModes underwater-depth,YES,YES,Info.plist,Required;Physical-device required,YES,No physical QA evidence attached
ENT-005,CoreMotion CMAltimeter,YES,YES,Code paths + docs,Required;Physical-device required,YES,Physical acceptance/rejection evidence pending
ENT-006,When-In-Use location policy,YES,YES,Info.plist/disclosure docs,Required,NO,No Always Location promotion found
ENT-007,WatchConnectivity,YES,YES,Sync code/tests,Required;Physical-device required,YES,Paired field QA pending
ENT-008,iCloud/KVS capability,CONDITIONAL,YES,Project and docs,Required,NO,Physical restore drills pending
ENT-009,PrivacyInfo.xcprivacy present,YES,YES,Privacy manifest file,Required,NO,Must remain aligned with disclosures
ENT-010,Developer sensor source release gating,YES,PARTIAL,Docs and tests,Simulator-only risk,YES,Needs explicit release exclusion checks
