QA_ID,Category,Status,Blocking,Linked_Remediation,Evidence_Folder,Notes
SNORKELING_P1_ROUTE_SYNC_STATUS_IOS,P1,MANUAL_UI_QA_PENDING,YES,R1-001,Docs/QA_EVIDENCE/SNORKELING_P1_ROUTE_SYNC_STATUS_IOS/,Software sync rows added; device QA pending
SNORKELING_P1_WATCH_TO_IOS_SYNC_STATUS,P1,MANUAL_UI_QA_PENDING,YES,R1-005,Docs/QA_EVIDENCE/SNORKELING_P1_WATCH_TO_IOS_SYNC_STATUS/,Logbook badges added; paired sync QA pending
SNORKELING_P1_WATCH_READY_ROUTE_STATUS,P1,MANUAL_UI_QA_PENDING,YES,R1-004,Docs/QA_EVIDENCE/SNORKELING_P1_WATCH_READY_ROUTE_STATUS/,Pending route copy updated; Watch device QA pending
SNORKELING_P1_WATCH_BATTERY_PRESENTATION,P1,MANUAL_UI_QA_PENDING,YES,R1-003,Docs/QA_EVIDENCE/SNORKELING_P1_WATCH_BATTERY_PRESENTATION/,Battery policy tests pass; hardware battery display pending
SNORKELING_P2_RETURN_PRIMARY_ACTION,P2,MANUAL_UI_QA_PENDING,YES,R2-001,Docs/QA_EVIDENCE/SNORKELING_P2_RETURN_PRIMARY_ACTION/,UI contract wired; Watch manual QA pending
SNORKELING_P2_OPERATIONAL_SETTINGS_IOS,P2,MANUAL_UI_QA_PENDING,YES,R2-002,Docs/QA_EVIDENCE/SNORKELING_P2_OPERATIONAL_SETTINGS_IOS/,Re-send banner added; settings apply QA pending
SNORKELING_P3_WATCH_MICRO_MAP,P3,MANUAL_UI_QA_PENDING,YES,R3-003,Docs/QA_EVIDENCE/SNORKELING_P3_WATCH_MICRO_MAP/,Prior P3 delivery; manual QA pending
SNORKELING_P3_PLANNED_VS_ACTUAL,P3,MANUAL_UI_QA_PENDING,YES,R3-002,Docs/QA_EVIDENCE/SNORKELING_P3_PLANNED_VS_ACTUAL/,Disclaimer added; manual QA pending
SNORKELING_ROUTE_PUSH,WC_E2E,PENDING_PAIRED_DEVICE_QA,YES,R1-009,Docs/QA_EVIDENCE/SNORKELING_ROUTE_PUSH/,PROCEDURE.md added; no device artifacts
SNORKELING_NO_CROSS_ACTIVITY_REGRESSION,NON_REGRESSION,MANUAL_UI_QA_PENDING,YES,R3-003,Docs/QA_EVIDENCE/SNORKELING_NO_CROSS_ACTIVITY_REGRESSION/,Isolation tests in automated suites
