Finding_ID,Severity,Title,Original_Status,Remediation_Type,Files_Changed,Tests_Added_Or_Updated,Docs_Updated,Scripts_Added_Or_Updated,New_Status,Software_Readiness_Impact,Physical_QA_Status,External_Validation_Status,Acceptance_Evidence,Notes
P1-WAO-001,P1,Water auto-open not wired to cold launch,OPEN,SAFE_TRUTHFUL_LIMITATION_WITH_TESTS,WatchLaunchRoutingPolicy.swift;DIRActivitySelectionStore.swift;WatchWaterAutoOpenSettingsView.swift,WatchLaunchRoutingPolicyTests;WatchWaterAutoOpenPolicyTests,WATCH_WATER_AUTO_OPEN_POLICY.md,validate_watch_underwater_uiux_readiness.sh,SAFE_TRUTHFUL_LIMITATION_WITH_TESTS,+water auto-open software,PENDING_PHYSICAL,N/A,Explicit entry paths only; Apply Route Now + intent,Normal icon launch never fakes water entry
P1-WAO-002,P1,Cold-launch limitation not in Settings UI,OPEN,FIXED_COPY,WatchWaterAutoOpenSettingsView.swift;Localizable.strings,WatchWaterAutoOpenSettingsCopyTests,settings.water_auto_open.cold_launch_limitation,audit_localization.sh,FIXED_COPY,+water auto-open copy,N/A,N/A,EN/IT cold_launch_limitation strings,Settings footer disclosure
P1-AB-001,P1,Legacy App Intents bypass router,OPEN,FIXED_SOFTWARE,WatchIntentSafetyPolicy.swift;ActionButtonIntents.swift,WatchIntentSafetyPolicyTests,WATCH_CROWN_AND_BUTTONS_USER_GUIDE.md,validate_watch_underwater_uiux_readiness.sh,FIXED_SOFTWARE,+underwater intent safety,PENDING_PHYSICAL,N/A,Router/block during active session,Underwater Primary Action first in shortcuts
MUIUX-P1-001,P1,Apnea/Snorkeling physical QA,OPEN,PENDING_PHYSICAL_WITH_TEMPLATE,Docs/QA_EVIDENCE/WATCH_UNDERWATER_*,n/a,ACCESSIBILITY_MANUAL_QA_TEMPLATE.md,validate_uiux_qa_evidence_placeholders.sh,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,N/A,Templates present,Execute on device
MUIUX-P1-002,P1,Paired sync UI QA,OPEN,PENDING_PAIRED_DEVICE_QA_WITH_TEMPLATE,Docs/QA_EVIDENCE/PAIRED_WATCH_IOS_UI_QA_TEMPLATE.md,n/a,n/a,validate_uiux_qa_evidence_placeholders.sh,PENDING_PAIRED_DEVICE_QA_WITH_TEMPLATE,0,N/A,N/A,Template added,Paired device required
MUIUX-P1-003,P1,Accessibility manual QA,OPEN,PENDING_MANUAL_QA_WITH_AUTOMATED_CONTRACTS,Views/**;iOSApp/Views/**,audit_accessibility_contracts.sh,ACCESSIBILITY_MANUAL_QA_TEMPLATE.md,audit_accessibility_contracts.sh,PENDING_MANUAL_QA_WITH_AUTOMATED_CONTRACTS,+a11y software,PENDING_MANUAL_QA,N/A,Contract script PASS,VoiceOver manual pending
MUIUX-P1-004,P1,PDF physical render,OPEN,PENDING_PHYSICAL_RENDER_WITH_TEMPLATE,Docs/QA_EVIDENCE/PDF_PHYSICAL_RENDER_QA_TEMPLATE.md,n/a,n/a,validate_uiux_qa_evidence_placeholders.sh,PENDING_PHYSICAL_RENDER_WITH_TEMPLATE,0,PENDING_PHYSICAL,N/A,Template added,Device PDF render
MVR-P1-002,P1,Physical pixel-diff 0/59,OPEN,PENDING_PIXEL_DIFF_EXECUTION_WITH_SCAFFOLD,Scripts/capture_visual_regression_baselines.sh,MockupVisualRegressionRemediationTests,VISUAL_REGRESSION_BASELINE_CAPTURE_TEMPLATE.md,validate_mockup_visual_regression_readiness.sh,PENDING_PIXEL_DIFF_EXECUTION_WITH_SCAFFOLD,+VR scaffold,PENDING_MANUAL,N/A,Capture script scaffold,No false pixel pass
P2-UX-001,P2,Stale underwater help body,OPEN,FIXED_COPY,Localizable.strings,WatchWaterAutoOpenSettingsCopyTests,WATCH_CROWN_AND_BUTTONS_USER_GUIDE.md,audit_localization.sh,FIXED_COPY,+copy,N/A,N/A,EN/IT updated,BUSSOLA in IT
P2-UX-002,P2,Missing Underwater Action help panel,OPEN,FIXED_COPY,SettingsView.swift,WatchIntentSafetyPolicyTests,n/a,n/a,FIXED_COPY,+help,N/A,N/A,Help panels added,Settings shortcut help
P2-UX-003,P2,Diving-centric blocked-nav toast,OPEN,FIXED_COPY,AppNavigationStore.swift;WatchUnderwaterNavigationClampPolicy.swift,WatchUnderwaterNavigationClampPolicyTests,n/a,n/a,FIXED_COPY,+toast,N/A,N/A,Per-activity keys,a11y labels
P2-TEST-001,P2,Missing lastSelected FC predive test,OPEN,FIXED_TESTS,WatchWaterAutoOpenPolicyTests.swift,testLastSelectedFullComputerRoutesPrediveConfiguration,n/a,n/a,FIXED_TESTS,+tests,N/A,N/A,Test added,n/a
P2-TEST-002,P2,Stale WatchSettingsRoutingTests,OPEN,FIXED_TESTS,WatchSettingsRoutingTests.swift,testContentViewUsesUnderwaterNavigationClampPolicy,n/a,n/a,FIXED_TESTS,+tests,N/A,N/A,Assertion updated,n/a
P2-TEST-003,P2,Missing ContentView clamp tests,OPEN,FIXED_TESTS,WatchUnderwaterNavigationClampPolicy.swift,WatchUnderwaterNavigationClampPolicyTests,n/a,n/a,FIXED_TESTS,+tests,N/A,N/A,Pure policy tests,n/a
MUIUX-P2-001,P2,CCR external validation UX,OPEN,REFERENCE_ONLY_VALIDATION_PENDING,iOS Planner CCR views,n/a,n/a,n/a,REFERENCE_ONLY_VALIDATION_PENDING,0,N/A,PENDING_EXTERNAL_VALIDATION,Reference-only copy preserved,No controller claim
MUIUX-P2-002,P2,Watch FC pixel baselines,OPEN,PENDING_PHYSICAL_PIXEL_WITH_TEMPLATE,Docs/QA_EVIDENCE/PHYSICAL_PIXEL_DIFF,n/a,PIXEL_DIFF_EXECUTION_LOG_TEMPLATE.md,capture_visual_regression_baselines.sh,PENDING_PHYSICAL_PIXEL_WITH_TEMPLATE,0,PENDING_PHYSICAL,N/A,Template added,Device capture
MUIUX-P2-003,P2,Localization scanner,OPEN,FIXED_LOCALIZATION_SCANNER,Scripts/audit_localization.sh,n/a,n/a,audit_localization.sh,FIXED_LOCALIZATION_SCANNER,+l10n,N/A,N/A,audit PASS,n/a
MUIUX-P2-004,P2,Ascent speed Planner link,OPEN,FIXED_LINK_OR_DOCUMENTED_SAFE_ASYMMETRY,PlannerView.swift,IOSUIUXRemediationTests,n/a,n/a,FIXED_LINK_OR_DOCUMENTED_SAFE_ASYMMETRY,+discoverability,N/A,N/A,Link exists in PlannerView toolbar,Already implemented
MVR-P2-002,P2,Manual visual fidelity 0/59,OPEN,PENDING_MANUAL_FIDELITY_WITH_TEMPLATE,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY,n/a,VISUAL_REGRESSION_BASELINE_CAPTURE_TEMPLATE.md,validate_mockup_visual_regression_readiness.sh,PENDING_MANUAL_FIDERITY_WITH_TEMPLATE,0,PENDING_MANUAL,N/A,Template added,Manual scoring
MVR-P2-004,P2,41 mm physical layout,OPEN,PENDING_41MM_PHYSICAL_WITH_TEMPLATE,Docs/QA_EVIDENCE/PHYSICAL_41MM_WATCH_VISUAL_QA_TEMPLATE.md,SmallestWatchLayoutContractTests,n/a,n/a,PENDING_41MM_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,N/A,Template + simulator contracts,Hardware pending
MUIUX-P3-001,P3,Duplicate Legal link Diving iOS,OPEN,FIXED,IOSDivingSettingsEmbeddedContent.swift,n/a,n/a,n/a,FIXED,+polish,N/A,N/A,Removed duplicate; shared section retains link,n/a
MUIUX-P3-002,P3,Settings scope vs runtime hint,OPEN,FIXED,IOSCompanionSettingsModeSwitcher.swift,n/a,n/a,n/a,FIXED,+polish,N/A,N/A,Visible hint added EN/IT,n/a
MUIUX-P3-003,P3,Diving gear vs settings asymmetry,OPEN,DOCUMENTED_ACCEPTED_LOW_RISK,ContentView vs Apnea/Snorkeling,n/a,n/a,n/a,DOCUMENTED_ACCEPTED_LOW_RISK,0,N/A,N/A,Intentional product split,Diving uses More tab
MUIUX-P3-004,P3,Shared settings layout inconsistency,OPEN,DOCUMENTED_ACCEPTED_LOW_RISK,IOSDivingSettingsEmbeddedContent,n/a,n/a,n/a,DOCUMENTED_ACCEPTED_LOW_RISK,0,N/A,N/A,Low-risk layout variance,Future polish
MUIUX-P4-001,P4,Mission Mode discoverability,OPEN,DOCUMENTED_ACCEPTED_LOW_RISK,MissionModeIndicatorView,n/a,n/a,n/a,DOCUMENTED_ACCEPTED_LOW_RISK,0,N/A,N/A,Optional polish,n/a
MUIUX-P4-002,P4,Reminder suppression copy,OPEN,DOCUMENTED_ACCEPTED_LOW_RISK,ReminderOverlayView,n/a,n/a,n/a,DOCUMENTED_ACCEPTED_LOW_RISK,0,N/A,N/A,Optional polish,n/a
