ID,Activity,Mode,Platform,Feature,Entry_Point,Screen,Owning_View,Owning_Store,Implementation_Status,Reachable,Interaction_Complete,State_Complete,Localized_IT,Localized_EN,Accessible,Persisted,Restored,Synced,Exported,Tested,Documented,Mockup_Aligned,Safety_Truthful,Readiness_Percent,Severity,Finding_IDs,Notes
MUIUX-F001,Global,All,Watch+iOS,Onboarding/legal,Launch,Legal onboarding,IOSLegalOnboardingView,LegalAcceptanceStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,n/a,n/a,yes,yes,partial,yes,92,,,
MUIUX-F002,Global,All,Watch+iOS,Activity selection,Launch/Settings,Activity selection,ActivitySelectionView,DIRActivitySelectionStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,partial,n/a,yes,yes,partial,yes,95,,,
MUIUX-F003,Global,All,iOS,Settings mode switch,More/gear sheets,IOSCompanionSettingsRootView,IOSCompanionSettingsModeSwitcher,IOSCompanionSettingsScopeStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,no,partial,yes,yes,yes,yes,95,,,UI-only; no runtime mutation
MUIUX-F004,Global,All,iOS,Shared Settings,MoreView,Shared settings section,IOSCompanionSharedSettingsSection,SharedIOSSettingsStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,partial,n/a,yes,yes,partial,yes,91,,,
MUIUX-F005,Diving,Gauge,Watch,Live Gauge dive,Activity→Gauge,DiveLiveView,DiveLiveView,DiveManager,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,Physical multi-banner PENDING
MUIUX-F006,Diving,Gauge,Watch,TTV display,Live,DiveLiveView,GaugeLivePresentationPolicy,DiveManager,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,92,,,
MUIUX-F007,Diving,Full Computer,Watch,Predive environment,FC path,FullComputerPrediveSettingsView,FullComputerPrediveConfirmationView,FullComputerPrediveConfigurationStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,93,,,Altitude remediated @ 1f62235
MUIUX-F008,Diving,Full Computer,Watch,Live Bühlmann/deco,Confirmed predive,DiveLiveView,FullComputerTopMetricsPanel,FullComputerRuntimeEngine,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,Audit15 state matrix
MUIUX-F009,Diving,Full Computer,Watch,Gas switch UI,Live,DiveLiveView,GasSwitchOverlay,FullComputerGasSwitchTracker,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,
MUIUX-F010,Diving,All,Watch,Mission Mode,Live toggle,DiveLiveView,MissionModeIndicator,MissionModeStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,92,P4,MUIUX-P4-001,Discoverability polish
MUIUX-F011,Diving,All,Watch,BUSSOLA,Tab,CompassView,CompassView,CompassStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,90,,,
MUIUX-F012,Diving,All,Watch,Briefing cards,Settings,SettingsView,BriefingCardInventory,PlannerBriefingCardStore,Fully implemented reference-only,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,89,,,Reference-only
MUIUX-F013,Diving,All,Watch,Reminders,Settings/Live,ReminderOverlayView,ReminderOverlayView,ReminderStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,88,P4,MUIUX-P4-002,Suppression copy gap
MUIUX-F014,Diving,All,Watch,Images inventory,Surface tab,UserImagesView,UserImagesView,WatchImageStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,87,,,
MUIUX-F015,Diving,Base,iOS,Planner Base,Diving tab,PlannerView,PlannerRootView,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,92,,,
MUIUX-F016,Diving,Deco,iOS,Planner Deco,Planner hub,PlannerView,PlannerRootView,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,93,,,
MUIUX-F017,Diving,Technical,iOS,Planner Technical,Planner hub,PlannerView,PlannerRootView,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,94,,,
MUIUX-F018,Diving,CCR,iOS,Planner CCR reference,Planner hub,CCR planner views,CCRPlannerSection,PlannerStore,Fully implemented reference-only,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,86,P2,MUIUX-P2-001,External validation PENDING
MUIUX-F019,Diving,All,iOS,Ratio Deco,Planner,RatioDecoView,RatioDecoView,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,Heuristic/comparative
MUIUX-F020,Diving,All,iOS,Dive Runtime/deco stops,Plan result,PlanResultView,DiveRuntimeTable,PlanResultBuilder,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,92,,,
MUIUX-F021,Diving,Technical,iOS,Emergency/Rock Bottom,Planner,EmergencySection,EmergencySection,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,Visually separated from planned gas
MUIUX-F022,Diving,All,iOS,Gas ledger,Plan result,GasLedgerView,GasLedgerView,GasLedgerDisplayFormatter,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,92,,,Liters primary; bar equivalent labeled
