File,Type,Last_Known_Update,Outdated_Topic,Severity,Reason,Superseded_By,Keep_Archive,Required_Action,Notes
README.md,needs update,2026-06-17,Release baseline,P1,Baseline hash stale vs 7ae527b,Docs/INDEX.md,YES,Refresh baseline and readiness text,Root readme drift
Docs/README.md,conflicting,2026-06-20,Activity ownership,P1,States stable multi-activity and legacy experimental bullets together,MASTER_IOS/MAIN/UIUX current audits,YES,Remove contradictory feature bullets,Architecture wording conflict
Docs/INDEX.md,needs update,2026-07-02,Command references,P1,Still contains older V1.1/V1.2 command references,commands_for_cursor V1.7 files,YES,Normalize command section to V1.7 chain,Sequence drift
Docs/INDEX.md,needs update,2026-07-02,Baseline pointer,P2,Branch advised hash not at current audit baseline,Current preflight baseline,YES,Update baseline metadata,Discoverability issue
Docs/DOCUMENTATION_UPDATE_REPORT_20260614.md,unsafe claim,2026-06-14,External validation,P0,Contains CCR external validation complete statement without closure evidence,MASTER_CCR validation matrices,YES,Demote claim to pending or evidence-backed only,Critical claim risk
Docs/MASTER_DOCUMENTATION_REPOSITORY_ALIGNMENT_AUDIT_CURRENT.md,needs update,2026-07-01,Audit baseline,P2,Anchored to prior 2c30412 wave,This audit output,YES,Replace with 7ae527b audit output,Expected refresh
Docs/MASTER_DOCUMENTATION_REMEDIATION_PLAN_CURRENT.md,needs update,2026-07-01,Open findings list,P2,Does not include latest missing V1.7/V1.6 docs alignment files,This audit output,YES,Refresh prioritized actions,Scope expansion
Docs/MASTER_COMMAND_VERSION_ALIGNMENT_MATRIX_CURRENT.csv,needs update,2026-07-01,Command inventory,High,Missing explicit MISSING flags for canonical 07/10 files,This audit output,YES,Refresh matrix rows,Integrity risk
commands_for_cursor/07-MASTER_POST_REMEDIATION_CODE_READINESS_VERIFICATION_AUDIT_COMMAND_V1.6.md,superseded,2026-06-30,Version drift,P1,V1.6 exists but V1.7 expected by command 06,Expected V1.7 file,YES,Create V1.7 and mark V1.6 historical,Active-chain mismatch
Docs/MASTER_CONSOLIDATED_AUDIT_AND_NON_REGRESSIVE_REMEDIATION_PLAN_CURRENT.md,needs update,2026-07-01,Latest-wave references,P2,Still references older orchestrator framing in sections,Latest V1.7 wave docs,YES,Add V1.7 wave cross-links,Consistency improvement
Docs/MASTER_RELEASE_QA_EVIDENCE_COMPLIANCE_AUDIT_CURRENT.md,needs update,2026-07-01,V1.7 CCR/equipment/demo links,P2,Release audit does not centrally link all latest V1.7 sub-audits,Latest V1.7 docs,YES,Add cross-links in next remediation pass,Traceability gap
Docs/MASTER_MAIN_CODE_SYNC_SECURITY_PERFORMANCE_AUDIT_CURRENT.md,needs update,2026-07-01,Unified logbook policy references,P2,Needs stronger linkage to new unified-logbook matrices,Unified logbook matrices,YES,Add explicit references,Cross-domain traceability
Docs/MASTER_UI_UX_FULL_DEEP_COMPREHENSIVE_AUDIT_CURRENT.md,needs update,2026-07-01,Planner send order/GPS truthfulness links,P2,Needs direct links to latest UX matrices,Latest UX V1.7 matrices,YES,Add direct matrix references,QA navigation gap
Docs/MASTER_TESTFLIGHT_SOFTWARE_READINESS_CURRENT.md,needs update,2026-07-01,Physical/external qualifier prominence,P2,Can be misread without nearby pending-gate context,Release pending gate docs,YES,Strengthen qualifier placement,Messaging clarity
