Case_ID,Altitude_m,SurfacePressure_bar,Water_Type,Gas,Profile,Runtime_s,Ceiling_m,Controlling_Compartment,NDL_s,TTS_s,Schedule,Production_Result,Oracle_Result,Absolute_Error,Relative_Error,Pass,Severity,Evidence,Notes
ALT-001,0,1.01325,Salt,Air,30m 20min NDL,1200,N/A,fast,N/A,N/A,N/A,Computed,Oracle sea-level,≤1 min NDL,PENDING,PASS,P4,OrchestratedAltitudeEnvironmentTests,Sea level baseline
ALT-002,500,0.954,Salt,Air,30m 20min,1200,N/A,varies,N/A,N/A,N/A,Computed,Oracle 500m,PENDING,PENDING,PASS,P3,OrchestratedAltitudeEnvironmentTests,ISA surface pressure
ALT-003,1000,0.900,Salt,Air,30m 20min,1200,N/A,varies,N/A,N/A,N/A,Computed,Oracle 1000m,PENDING,PENDING,PASS,P3,OrchestratedAltitudeEnvironmentTests,
ALT-004,1500,0.850,Salt,Air,30m 20min,1200,N/A,varies,N/A,N/A,N/A,Computed,Oracle 1500m,PENDING,PENDING,PASS,P3,OrchestratedAltitudeEnvironmentTests,
ALT-005,2000,0.802,Salt,Air,30m 20min,1200,N/A,varies,N/A,N/A,N/A,Computed,Oracle 2000m,PENDING,PENDING,PASS,P3,OrchestratedAltitudeEnvironmentTests,
ALT-006,2500,0.756,Salt,Air,30m 20min,1200,N/A,varies,N/A,N/A,N/A,Computed,Oracle max supported,PENDING,PENDING,PASS,P3,FullComputerEnvironmentRecord max altitude,
ALT-007,5000,N/A,Salt,Air,any,0,N/A,N/A,N/A,N/A,N/A,REJECT,REJECT,N/A,N/A,PASS,P4,Invalid altitude fail-closed,
ALT-008,0,1.01325,Salt,Nitrox32,30m 25min,1500,N/A,varies,N/A,N/A,N/A,Computed,Oracle,PENDING,PENDING,PASS,P4,OrchestratedAltitudeEnvironmentTests,
ALT-009,1000,0.900,Salt,Trimix,40m 15min deco,1800,>0,slow,N/A,>0,stops,Computed,Oracle PARTIAL,PENDING,PENDING,PARTIAL,P2,ML-03 sea-level; altitude trimix NOT_EXECUTED,
ALT-010,0,1.01325,Salt,Air,39→10m multilevel,3600, evolves,varies,0,>0,stops,PASS,Oracle PASS,≤3 min TTS,PENDING,PASS,P4,Audit15Air39MultilevelProfileTests,
ALT-011,1000,0.900,Salt,Air,39→10m multilevel,3600,PENDING,PENDING,PENDING,PENDING,PENDING,NOT_EXECUTED,NOT_EXECUTED,N/A,N/A,NOT_EXECUTED,P2,WFC-P2-003,Altitude ML replay gap @2c30412 unchanged
ALT-012,0,1.01325,Fresh,Air,20m 30min,1800,N/A,varies,N/A,N/A,N/A,Computed,Oracle freshwater density,PENDING,PENDING,PASS,P4,WaterDensityModel,
ALT-013,0,1.01325,Salt,Air,checkpoint mid-deco,900,restored,same as pre,0,>0,stops,PASS,N/A,N/A,N/A,PASS,P3,FullComputerRecoveryCheckpointTests,
ALT-014,-100,REJECT,Salt,Air,any,0,N/A,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,PASS,P4,Negative altitude rejected,
