Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Activity,Affected_Platform,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_Summary,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Physical_QA_Required,Notes
SEC-P1-001,P1,OPEN,FIXED,No PrivacyInfo.xcprivacy for Watch or iOS targets,Cross,Watch+iOS,Config/PrivacyInfo-Watch.xcprivacy;iOSApp/Config/PrivacyInfo-iOS.xcprivacy;project.yml,Y,Y,Y,Y,Target-specific manifests with no tracking and required-reason APIs,Both MAIN targets include valid manifests,validate_security_privacy_trust_readiness.sh,PASS,SecurityPrivacyTrustRemediationTests testPrivacyManifest*,N/A,No,App Store Connect preview still external
SEC-P2-001,P2,OPEN,DOCUMENTED_ACCEPTED_RISK,Field two-device sync QA not executed,All,Watch+iOS,WatchSyncService.swift;ActivitySync* codecs,N,Y,Y,Y,Static codec/HMAC/tombstone tests complete; paired hardware QA deferred,Physical matrix in external QA doc,validate_security_privacy_trust_readiness.sh,PASS,SEC-NEG-01..10;ActivitySync*Tests,PENDING_PHYSICAL_QA,Yes,v3 envelope tombstone large-payload field cases open
SEC-P2-002,P2,OPEN,FIXED,Diving Subsurface CSV exported exact GPS without opt-out,Diving,Watch+iOS,Shared/Utils/DivingExportPrivacyPolicy.swift;SubsurfaceExportService.swift,Y,Y,Y,Y,Default omit GPS; approximate/precise require acknowledgment,Default export omits coordinates,SecurityPrivacyTrustRemediationTests testDivingExport*,PASS,SEC-NEG-13;Watch testWatchSubsurfaceExportOmitsGPSByDefault,N/A,No,Parity with Apnea/Snorkeling export policies
SEC-P2-003,P2,OPEN,DOCUMENTED_ACCEPTED_RISK,Peer secret bootstraps via WC applicationContext,Cross,Watch+iOS,Shared/Utils/WatchSyncTrustBootstrapPolicy.swift;WatchSyncAuth.swift,Y,Y,Y,Y,Bootstrap metadata TTL epoch sanitization after trust,TOFU pinning + bootstrap policy documented,SecurityPrivacyTrustRemediationTests testTrustBootstrap*,PASS,SEC-NEG-14;WATCH_SYNC_SECURITY_THREAT_MODEL.md,ACCEPTED_ARCHITECTURAL,No,Apple WC encryption boundary; backup extraction residual
SEC-P2-004,P2,OPEN,FIXED,TestFlight allowed simulation without explicit acknowledgment,Cross,Watch+iOS,Shared/Utils/TestFlightSimulationSafetyPolicy.swift;DeveloperSettings.swift;DiveSession.swift,Y,Y,N,Y,Receipt-based build class; acknowledgment key; depthSensorSourceTag,App Store build blocks simulation selection,SecurityPrivacyTrustRemediationTests testSimulatedSessionTagDetection,PASS,TESTFLIGHT_SIMULATION_SAFETY_CURRENT.md,N/A,No,TestFlight notes recommended per release
SEC-P2-005,P2,OPEN,FIXED,Pending sync/conflict JSON in plain UserDefaults,Diving,Watch+iOS,Shared/Utils/ProtectedSensitiveFileStore.swift;WatchSyncService.swift,Y,Y,Y,Y,Migrate to Application Support with completeFileProtection,No full session GPS JSON in UD after migration,SecurityPrivacyTrustRemediationTests testProtectedSensitiveFileStoreRoundTrip,PASS,SEC-NEG-17,PENDING_PHYSICAL_QA,Yes,Queue replay on hardware not re-run
SEC-P3-001,P3,OPEN,FIXED,Legacy dirmotion Keychain/UD keys without registry,Cross,Watch+iOS,Shared/Utils/LegacySecurityIdentifierMigration.swift,Y,Y,N,Y,Canonical dirdiving identifiers documented with migration version,Registry maps legacy to canonical,SecurityPrivacyTrustRemediationTests testLegacySecurityIdentifierMigrationRegistry,PASS,LEGACY_SECURITY_IDENTIFIER_MIGRATION_CURRENT.md,N/A,No,Backward-compatible read paths retained
SEC-P3-002,P3,OPEN,VERIFIED,Photo import relied on decode failure only,Cross,Watch,Utils/WatchCompanionPhotoValidator.swift,Y,Y,N,Y,Magic bytes megapixel cap dimension bound JPEG re-encode,Malformed bombs rejected before write,CompanionPhotoImportSupportTests,PASS,MainDeepCodeReadinessCurrentWatchTests,N/A,No,HEIC decode allowed; stored as JPEG
SEC-P3-003,P3,OPEN,FIXED,User-picked CSV could OOM on huge files,Cross,iOS,Shared/Utils/DiveCSVImportBounds.swift;DiveImportService.swift,Y,Y,N,Y,10 MB preflight chunked read row caps,User-visible bounded import,SecurityPrivacyTrustRemediationTests testCSVImportBoundsRejectOversizedPreflight,PASS,SEC-NEG-16,N/A,No,Watch import paths use existing caps
SEC-P3-004,P3,OPEN,FIXED,WC reply handlers could dequeue on transport hint only,Cross,Watch+iOS,Shared/Utils/WatchSyncReplyHandlerPolicy.swift;WatchSyncService.swift,Y,Y,N,Y,Signed ACK authoritative; status-only replies ignored,forgedReplyCannotDequeue true,SecurityPrivacyTrustRemediationTests testForgedReplyCannotDequeue;testTransportHintReplyDoesNotDequeue,PASS,SEC-NEG-15;SEC-NEG-20,N/A,No,Defense in depth within WC trust zone
