Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Platform,Affected_Area,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_or_Mitigation,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Accepted_Risk_Owner,Physical_QA_Required,External_Validation_Required,Notes
MAIN-DCA-001,HIGH,FIXED,VERIFIED_CLOSED,Watch ignored userInfo ACK,Watch,Sync,Services/WatchSyncService.swift,No,Yes,No,Yes,parseImportAck on userInfo path,ACK dequeues on userInfo,MainDeepCodeRemediationDCATests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-002,HIGH,FIXED,VERIFIED_CLOSED,No per-key KVS cap,Both,Cloud,Utils/CloudSyncBudgetPolicy.swift,No,Yes,No,Yes,Per-key cap enforcement,Reject oversize writes,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-003,MEDIUM,DOCUMENTED,VERIFIED_CLOSED,Legacy oversized KVS snapshots,Both,Cloud,Utils/CloudSyncLegacyMigrationPolicy.swift,Yes,Yes,Yes,Yes,Ignore oversized cloud reads; partial migration telemetry,No crash; local preserved,MainDeepCodeReadinessCurrentTests,PASS,Tests,None,Engineering,Yes,No,Monitoring counters only
MAIN-DCA-004,HIGH,FIXED,VERIFIED_CLOSED,MOD gate used full draft,iOS,Planner,iOSApp/Views/PlannerView.swift,No,Yes,No,Yes,Mode-projected liveMODIssues,MOD uses projected input,PlanCalculationCompletenessTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-005,HIGH,FIXED,VERIFIED_CLOSED,Analysis cache staleness,iOS,Planner,iOSApp/Services/PlannerStore.swift,No,Yes,No,Yes,Complete AnalysisCacheKey,Cache invalidates on input change,PlannerPresentationTests,PASS,Tests,None,Engineering,No,No,
MAIN-DCA-006,HIGH,MITIGATED,VERIFIED_CLOSED,Watch merge subset policy,Watch,Merge,Utils/DiveSessionMerge.swift,No,Yes,No,Yes,Documented union samples,Compatible samples merge,WatchSyncConflictTests,PASS,Tests,Intentional policy,Engineering,Yes,No,
MAIN-DCA-007,HIGH,FIXED,VERIFIED_CLOSED,End manual dive after handoff,Watch,Runtime,Services/DiveManager.swift,No,Yes,No,Yes,sessionStartedManually gate,End works post-handoff,MissionModeAlgorithmInvariantTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-008,HIGH,FIXED,VERIFIED_CLOSED,Every-sample draft I/O,Watch,Perf,Services/DiveManager.swift,No,Yes,No,Yes,8s draft throttle,Throttled persistence,MainDeepCodeReadinessCurrentWatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-009,MEDIUM,FIXED,VERIFIED_CLOSED,Mission pending not in draft,Watch,Mission,Models/ActiveDiveDraft.swift,No,Yes,No,Yes,Draft schema v2 field,Mission pending survives restore,MissionModeAlgorithmInvariantTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-010,MEDIUM,FIXED,VERIFIED_CLOSED,END labeled MOD,iOS,Planner UI,iOSApp/Views/PlannerView.swift,No,Yes,No,Yes,Base tile shows MOD,Correct label,PlannerPresentationTests,PASS,Tests,None,Engineering,No,No,
MAIN-DCA-011,HIGH,FIXED,VERIFIED_CLOSED,Metadata overwrite on Watch import,iOS,Sync,iOSApp/Services/WatchSyncService.swift,No,Yes,No,Yes,DiveSessionMerge.preferred,Notes/site preserved,MainDeepCodeAnalysisRemediationV1Tests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-012,MEDIUM,FIXED,VERIFIED_CLOSED,1Hz alarm blink publish,Watch,Perf,Views/DiveLiveView.swift,No,Yes,No,Yes,View-local TimelineView,No global 1Hz publish,MainDeepCodeAnalysisRemediationV1WatchTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-013,MEDIUM,DOCUMENTED,VERIFIED_CLOSED,TOFU peer secret in applicationContext,Both,Security,Services/WatchSyncAuth.swift,Yes,Yes,No,Yes,Trust fingerprint + epoch; TOFU pinning,Mismatch rejected; reset clears epoch,MainDeepCodeReadinessCurrentTests,PASS,Tests,Accepted TOFU limitation,Engineering,Yes,No,No secret in logs
MAIN-DCA-014,MEDIUM,IMPROVED,VERIFIED_CLOSED,Replay cache optional,Both,Security,Utils/SyncNonceReplayCache.swift,No,Yes,No,Yes,Persisted replay cache,Replay rejected on reuse,MainDeepCodeReadinessCurrentTests,PASS,Tests,None,Engineering,Yes,No,
MAIN-DCA-015,MEDIUM,FIXED,VERIFIED_CLOSED,CCR import switch depth,iOS,CCR,iOSApp/Utils/CCRChecklistImportCoordinator.swift,No,Yes,No,Yes,Clamp on import,Switch depth safe,ChecklistPlannerSyncMapperTests,PASS,Tests,None,Engineering,No,Yes,
MAIN-DCA-016,LOW,VERIFIED,VERIFIED_CLOSED,Photo staging protection,iOS,Privacy,iOSApp/Services/WatchPhotoPreprocessor.swift,No,Yes,No,Yes,completeFileProtection,Staging protected,MainDeepCodeAuditRemediationTests,PASS,Tests,None,Engineering,Yes,No,
