FilePath,FileName,DetectedNumericPrefix,DetectedAuditFamily,Version,RequiredBranch,TaskType,DeclaredOutputFiles,DeclaredExecutionOrder,AuditOnly,RemediationImplementation,PhysicalQARequired,ExternalQARequired,SelectionStatus
commands_for_cursor/0-DIR_DIVING_IOS_COMPLETE_MATH_FUNCTIONS_AUDIT_CCR_UPDATED_V3.0.md,0-DIR_DIVING_IOS_COMPLETE_MATH_FUNCTIONS_AUDIT_CCR_UPDATED_V3.0.md,0,iOS complete mathematical functions,3.0,main,audit-only,Docs/IOS_MAIN_ALGORITHM_MATH_AUDIT_CURRENT.md,0,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/0W-DIR_DIVING_WATCH_COMPLETE_MATH_FUNCTIONS_AUDIT_V3.0.md,0W-DIR_DIVING_WATCH_COMPLETE_MATH_FUNCTIONS_AUDIT_V3.0.md,0W,Watch complete mathematical functions,1.0,main,audit-only,"Docs/WATCH_MAIN_COMPLETE_MATH_FUNCTIONS_AUDIT_CURRENT.md; Docs/WATCH_MATH_FEATURE_INVENTORY_CURRENT.csv; Docs/WATCH_MATH_EDGE_CASE_MATRIX_CURRENT.csv; Docs/WATCH_MATH_REQUIREMENT_TEST_MATRIX_CURRENT.csv; Docs/WATCH_MATH_EXTERNAL_QA_PENDING_CURRENT.md",0W,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/01WWATCH_BUHLMANN_ALTITUDE_SCHREINER_AUDIT_COMMAND_V1.0.md,01WWATCH_BUHLMANN_ALTITUDE_SCHREINER_AUDIT_COMMAND_V1.0.md,01W,Watch Bühlmann altitude Schreiner,1.0,main,audit-only,"Docs/WATCH_BUHLMANN_ALTITUDE_SCHREINER_AUDIT_CURRENT.md; Docs/WATCH_BUHLMANN_ALTITUDE_REQUIREMENT_TEST_MATRIX_CURRENT.csv; Docs/WATCH_BUHLMANN_ALTITUDE_EDGE_CASE_MATRIX_CURRENT.csv; Docs/WATCH_BUHLMANN_ALTITUDE_FINDING_TRACEABILITY_CURRENT.csv",01W,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/1-DIR_DIVING_IOS_BUHLMANN_COMPREHENSIVE_READINESS_AUDIT_CCR_UPDATED_V3.0.md,1-DIR_DIVING_IOS_BUHLMANN_COMPREHENSIVE_READINESS_AUDIT_CCR_UPDATED_V3.0.md,1,iOS Bühlmann comprehensive readiness,3.0,main,audit-only,Docs/1-DIR_DIVING_IOS_BUHLMANN_COMPREHENSIVE_READINESS_AUDIT_CCR_CURRENT.md,1,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/2-DIR_DIVING_WATCH_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V3.0.md,2-DIR_DIVING_WATCH_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V3.0.md,2,Watch algorithm safety runtime,3.0,main,audit-only,Docs/2-DIR_DIVING_WATCH_COMPLETE_ALGORITHM_AUDIT_CCR_CURRENT.md,2,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/15-DIR_DIVING_WATCH_LIVE_BUHLMANN_SCHREINER_MULTILEVEL_AUDIT_V3.0.md,15-DIR_DIVING_WATCH_LIVE_BUHLMANN_SCHREINER_MULTILEVEL_AUDIT_V3.0.md,15,Watch live Bühlmann Schreiner multilevel,1.0,main,audit-only,"Docs/WATCH_LIVE_BUHLMANN_SCHREINER_MULTILEVEL_AUDIT_CURRENT.md; Docs/WATCH_SCHREINER_TEST_VECTOR_MATRIX_CURRENT.csv; Docs/WATCH_MULTILEVEL_DECO_TRANSITION_MATRIX_CURRENT.csv; Docs/WATCH_BUHLMANN_NUMERICAL_ERROR_BUDGET_CURRENT.md; Docs/WATCH_LIVE_DECO_EXTERNAL_VALIDATION_PLAN_CURRENT.md",15,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/3-DIR_DIVING_IOS_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V3.0.md,3-DIR_DIVING_IOS_COMPLETE_ALGORITHM_AUDIT_CCR_UPDATED_V3.0.md,3,iOS complete algorithm planner data,3.0,main,audit-only,Docs/IOS_MAIN_COMPLETE_ALGORITHM_AUDIT_CURRENT.md,3,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/4-DIR_DIVING_UI_UX_AUDIT_CCR_UPDATED_V3.0.md,4-DIR_DIVING_UI_UX_AUDIT_CCR_UPDATED_V3.0.md,4,UI UX readiness,3.0,main,audit-only,Docs/UI_UX_MAIN_AUDIT_CURRENT.md,4,yes,no,yes,no,EXECUTED_CURRENT
commands_for_cursor/5-DIR_DIVING_MAIN_DEEP_CODE_ANALYSIS_COMMAND_CCR_UPDATED_V3.0.md,5-DIR_DIVING_MAIN_DEEP_CODE_ANALYSIS_COMMAND_CCR_UPDATED_V3.0.md,5,Deep code bug performance security,3.0,main,audit-only,Docs/MAIN_DEEP_CODE_ANALYSIS_BUG_PERFORMANCE_SECURITY_AUDIT_CURRENT.md,5,yes,no,yes,yes,EXECUTED_CURRENT
commands_for_cursor/6-DIR_DIVING_GIT_DOCUMENTATION_ALIGNMENT_COMMAND_CCR_UPDATED_V3.0.md,6-DIR_DIVING_GIT_DOCUMENTATION_ALIGNMENT_COMMAND_CCR_UPDATED_V3.0.md,6,Git documentation alignment,3.0,main,audit-only,Docs/DIR_DIVING_DOCUMENTATION_BRANCH_ALIGNMENT_REPORT.md,6,yes,no,no,no,EXECUTED_CURRENT
