Apnea_Finding_ID,Consolidated_ID,Title,Severity,Priority,Status,Source_Audits,Source_Files,Area,Software_Status,Physical_Status,External_Status,Release_Impact,Notes
APNEA-001,CONS-039,Apnea iCloud backup intentionally stubbed,P3,P3,DOCUMENTED_ACCEPTED_RISK,02-iOS,IOSApneaLogbookStore.swift,Cloud backup,PASS,PENDING,n/a,Disclosed limitation,By design until implemented
APNEA-002,CONS-050,WAO Apnea routing test drift after P1/P2/P3,P2,P2,OPEN,01-Watch;03-UI/UX;04-Main;05-Release,WatchWaterAutoOpenPolicyTests;DIRStartupSelectionPolicy.swift,Water auto-open,PASS software,PENDING,n/a,Part of WFC-P2-005 dedup,11 WAO tests expect direct ready; observe divingModeSelection
APNEA-003,MAIN-APNEA-001,Apnea auto-detection wet QA not field-verified,P2,P2,PENDING_PHYSICAL,04-Main;05-Release,ApneaWatchRuntimeStore.swift,Auto-detection,PASS,PENDING_PHYSICAL,n/a,Cannot claim wet auto-detection verified,Software isolation tests PASS
APNEA-004,MAIN-APNEA-002,Apnea preferred destination WAO tests fail,P2,P2,OPEN,04-Main,WatchWaterAutoOpenPolicyTests,Water auto-open,PASS software,PENDING,n/a,Subset of WFC-P2-005,testPreferredApneaResolvesToReady
APNEA-005,APNEA-ISO-001,No decompression/GF/gas/MOD in Apnea scope,n/a,n/a,VERIFIED,02-iOS;03-UI/UX;05-Release,Apnea views/settings grep,Truthfulness,PASS,n/a,n/a,Mandatory V1.5 gate,ApneaArchitectureIsolationTests PASS
APNEA-006,APNEA-ISO-002,No medical guarantee for recovery,n/a,n/a,VERIFIED,03-UI/UX;05-Release,Apnea recovery UI copy,Truthfulness,PASS,n/a,n/a,Mandatory V1.5 gate,Copy audited PASS
APNEA-007,APNEA-ISO-003,No claim WAO starts Apnea session,n/a,n/a,VERIFIED,01-Watch;03-UI/UX,WATCH_WATER_AUTO_OPEN_POLICY.md;routing policy,Truthfulness,PASS,PENDING_PHYSICAL,n/a,Mandatory V1.5 gate,Policy + tests; physical WAO pending
APNEA-008,APNEA-ISO-004,Apnea sync schema isolated from Diving,n/a,n/a,VERIFIED,04-Main,ApneaSyncCodec;dirdiving_apnea_* keys,Sync isolation,PASS,PENDING_PAIRED,n/a,Mandatory V1.5 gate,Cross-decode rejection tests PASS
APNEA-009,APNEA-ISO-005,Apnea Settings/Logbook ownership isolated,n/a,n/a,VERIFIED,02-iOS;03-UI/UX,IOSApneaSettingsContent;IOSApneaLogbookStore,Activity ownership,PASS,n/a,n/a,Mandatory V1.5 gate,No cross-activity leakage
APNEA-010,APNEA-P1-001,Apnea P1/P2/P3 training compound features delivered,n/a,n/a,VERIFIED,02-iOS;03-UI/UX;05-Release,76f3703 Apnea wave,Feature delivery,INTERNAL_READY,PENDING_PHYSICAL,n/a,Software wave complete,Wet QA not executed
APNEA-011,APNEA-P2-001,Apnea alarms editor UI polish,P2,P2,OPEN,03-UI/UX,Apnea alarms editor views,UI polish,PASS,PENDING,n/a,Non-blocking,P2 editor UX gap only
APNEA-012,APNEA-PHY-001,Apnea physical wet QA matrix 0%,P1,P1,PENDING_PHYSICAL,05-Release,MASTER_APNEA_PHYSICAL_WET_QA_MATRIX_CURRENT.csv,Physical QA,PENDING,0% executed,n/a,Blocks Apnea physical claims,Same aggregate gate as Diving physical QA
