Consolidated_Finding_ID,Title,Severity,Priority,Status,Source_Audits,Source_Finding_IDs,Source_Files,Activity,Mode,Platform,Area,Root_Cause,Symptoms,Affected_Files,Affected_Symbols,User_Impact,Safety_Impact,Security_Privacy_Impact,Performance_Impact,Data_Integrity_Impact,Release_Impact,Regression_Risk,Duplicate_Group_ID,Dependencies,Blocks_Findings,Blocked_By,Recommended_Batch,Recommended_Command,Required_Tests,Required_Audits_To_Rerun,Physical_QA_Required,External_Validation_Required,Acceptance_Criteria,Notes
CF-001,External Buhlmann validation not executed,P1,P1,PENDING_EXTERNAL_VALIDATION,01-Watch;02-iOS;05-Release,WFC-P1-001;IOS-P2-001,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL,Diving,Full Computer;Planner,Watch+iOS,External validation,No independent third-party parity evidence,Cannot claim external decompression validation,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL,validation_pack,External trust reduced,High,None,None,None,Blocks external and store claims,Low,DG-EXT-001,,CF-011,,Batch-4,R10,External comparison protocol,01;02;05,No,Yes,Signed external validation package,Required group per orchestrator
CF-002,Snorkeling localization keys parity failures across Watch and iOS,P1,P1,READY_FOR_REMEDIATION,01-Watch;03-UIUX;04-Main,WFC-P2-001;MUIUX-P2-002;MAIN-TEST-001|MAIN-TEST-002,Tests/WatchAlgorithmTests;Tests/iOSAlgorithmTests,Snorkeling,UI;Runtime,Watch+iOS,Localization,Key namespace drift after recent remediation wave,Two parity tests fail (1189/1191 and 1830/1832),Localization files and test fixtures,localizedString lookup,User-visible string mismatch,Low,None,None,None,Blocks confidence for release copy,Medium,DG-LOC-001,,CF-007,,Batch-1,R09,Localization parity tests + l10n audit,01;02;03;04,No,No,All localization parity tests pass,Quick software win
CF-003,Physical Watch and iOS QA backlog unresolved,P1,P1,PENDING_PHYSICAL,01-Watch;02-iOS;03-UIUX;05-Release,WFC-PHY-SET;IOS-PHY-SET;MUIUX-P1-004,MASTER_PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,All,All,Watch+iOS,Physical QA,Campaigns planned but not executed,No signed field evidence for key claims,Docs/QA_EVIDENCE templates,multiple,Field behavior not proven,Medium,None,None,None,Blocks external and App Store readiness,Low,DG-PHY-001,,CF-011,,Batch-3,R10,Physical QA campaigns,01;02;03;05,Yes,No,Completed matrices with signed artifacts,Cross-audit pending gate
CF-004,Snorkeling field QA pending after software remediation,P1,P1,PENDING_PHYSICAL,02-iOS;03-UIUX;05-Release,IOS-SNORK-P2;MUIUX-SNORK-P1,Docs/SNORKELING_WATCH_P1_P2_P3_UNIFIED_REMEDIATION_QA_PENDING_CURRENT.csv,Snorkeling,Runtime;UI,Watch+iOS,Field QA,Software applied at 7c459cb without full manual/open-water completion,Claims remain partial despite code updates,Snorkeling route and runtime paths,snorkeling session flows,Confidence gap for field behavior,Medium,None,None,None,Blocks external readiness for snorkeling narratives,Medium,DG-SNORK-001,CF-002,CF-011,CF-003,Batch-3,R10,Manual/open-water snorkeling protocols,02;03;05,Yes,No,QA pending matrix reduced to closed evidence,Software applied but QA pending
CF-005,Demo logbook contamination fix verified,P2,P2,DUPLICATE_MERGED,03-UIUX;04-Main;06-Docs,DEMO-LOG-001,Docs/MASTER_V1_7_DEMO_LOGBOOK_CONTAMINATION_AUDIT_CURRENT.md,All,Logbook,iOS,Data isolation,Demo rows were previously visible in real logbooks,Fix consumed at f90b671 and verified,Logbook presentation layer,demo filter controls,Trust restored,None,None,None,Low,Low,No current release block,Low,DG-DEMO-001,,CF-010,,Batch-2,R09,Regression tests for demo exclusion,03;04;06,No,No,No demo rows in real views,Verified at f90b671
CF-006,Command chain integrity gap missing command 07 and legacy 10 references,P1,P1,BLOCKED,04-Main;06-Docs,MAIN-CMD-001;DOC-CMD-002,commands_for_cursor,All,Orchestration,All,Process governance,Required post-remediation command 07 file not present and sequence references stale,Manual continuation required for clean lifecycle,commands_for_cursor command inventory,command sequence,Execution confusion risk,None,None,None,None,Blocks clean post-remediation continuity,Low,DG-CMD-001,,CF-012,,Batch-2,R01,Command integrity checks,04;06,No,No,Command map fully aligned and present,Do not run 07/10/11/12 from orchestrator
CF-007,Release SUPPORT_ROLLBACK gate failed,P1,P1,OPEN,05-Release,REL-P1-ROLLBACK-001,Docs/MASTER_RELEASE_QA_EVIDENCE_COMPLIANCE_AUDIT_CURRENT.md,All,Release,All,Rollback safety,Rollback support evidence incomplete or inconsistent,Release gate explicitly FAIL,Release governance docs,rollback protocol,Risk on failed rollout scenarios,Medium,None,None,Low,None,Blocks internal progression,Medium,DG-REL-002,CF-002,CF-011,,Batch-2,R11,Rollback rehearsal + evidence matrix,05;06,No,No,Rollback gate marked PASS with evidence,From audit 05 key verdict
CF-008,Docs INDEX and README baseline stale versus 7ae527b,P0,P0,OPEN,06-Docs,DOC-P0-INDEX-001,Docs/INDEX.md;README.md,All,Documentation,All,Truthfulness,Documentation baseline did not reflect latest audited state,Readiness interpretation can be overstated,Docs/INDEX.md,baseline references,Misaligned operator expectations,None,None,None,None,False readiness narrative risk,High,DG-DOC-001,,CF-011,,Batch-1,R12,Docs index truthfulness checks,05;06,No,No,Baseline references match 7ae527b state,Escalated due release communication risk
CF-009,Unsupported CCR claim documentation remains,P0,P0,OPEN,06-Docs,DOC-P0-CCR-001,Docs/MASTER_*CCR*CURRENT.md,Diving Planner,Documentation,iOS,Claims compliance,CCR wording overstates validation/support,Legal and safety positioning risk,CCR docs and release claims,claims language,Potentially misleading claims,None,Medium,None,None,None,Direct App Store/legal blocker,Medium,DG-DOC-002,,CF-011,,Batch-1,R12,Claims wording and evidence cross-check,05;06,No,Yes,CCR wording reduced to evidence-backed statements,Explicit user-provided gap
CF-010,Unified logbook presentation-only manual QA pending,P2,P2,PENDING_PHYSICAL,02-iOS;03-UIUX;06-Docs,IOS-ULOG-002;MUIUX-ULOG-001,Docs/MASTER_IOS_UNIFIED_LOGBOOK_AUDIT_CURRENT.md,All,Logbook presentation,iOS,Manual QA,Presentation-only behavior implemented but manual test matrix pending,No contamination found but manual validation incomplete,Unified logbook screens,presentation toggles,Potential confusion in edge UX,None,None,None,None,Blocks full confidence in public claims,Low,DG-ULOG-001,CF-005,CF-011,CF-003,Batch-3,R10,Manual unified logbook QA checklist,02;03;06,Yes,No,Manual QA evidence attached and signed,Keep no merged storage policy
