IssueID,SourceAudit,SourceFile,OriginalFindingID,NormalizedSeverity,OriginalSeverity,Activity,Mode,Platform,Area,Component,FileOrSymbol,UserImpact,SafetyImpact,SecurityImpact,PrivacyImpact,PerformanceImpact,DataIntegrityImpact,ReleaseImpact,Description,Evidence,ProposedFix,RegressionRisk,RecommendedTests,ExternalQANeeded,PhysicalQANeeded,OwnerArea,EstimatedEffort,Dependency,Blocks,DuplicateOf,Status
ORCH-001,"01W;0W;2;8;12;13;15;16",Docs/WATCH_BUHLMANN_ALTITUDE_SCHREINER_AUDIT_CURRENT.md,ALT-P0-001,P0,P0,Diving,Full Computer,Watch,Algorithm integration,Environment propagation,"FullComputerGasProfile.init(importing:); FullComputerImportedPlanStore.activatePendingPlan; FullComputerPrediveConfigurationStore.runtimePlan",Accepted altitude plan runs at sea level,Potential false ceiling NDL TTS schedule,None,None,None,Runtime environment differs from signed plan,Blocks all release gates,iOS package carries altitude/salinity but Watch import drops them and runtime defaults to seaLevelSaltWater,Static package-to-runtime trace,Implement imported iPhone plan or Watch Settings manual or confirmed startup sensor proposal; prohibit explicit and implicit sea-level modes; freeze through activation/runtime/checkpoint/logbook/UI,High across decompression path,Independent all-compartment altitude profiles plus import/restore/gas-switch/re-descent,Yes,Yes,Full Computer,Architectural,None,"Internal code; tests; TestFlight; App Store",,CLOSED_VERIFIED
ORCH-002,"01W;12;15",Docs/WATCH_BUHLMANN_ALTITUDE_FINDING_TRACEABILITY_CURRENT.csv,ALT-P1-001,P1,P1,Diving,Full Computer,Watch,Testing,Independent oracle,Tests/WatchAlgorithmTests/Support/IndependentBuhlmannOracle.swift,No trustworthy altitude release evidence,Altitude defects can escape self-comparison,None,None,None,None,Release-blocking safety test gap,No independent Watch altitude suite; pressure oracle delegates to production AmbientPressureModel,Test inventory,Implement independent ISA pressure and 16 N2/He scenario matrix,Medium,0/500/1000/1500/2000/4500m Air/Nitrox/Trimix fresh/salt restore switches,Yes,No,QA/Algorithms,Large,ORCH-001,"Internal tests; TestFlight; App Store",,CLOSED_VERIFIED
ORCH-003,"01W;3;6;8;12;16",Docs/WATCH_BUHLMANN_ALTITUDE_FINDING_TRACEABILITY_CURRENT.csv,ALT-P1-002,P1,P1,Diving,Full Computer,Watch+iOS,Persistence,Logbook metadata,"FullComputerDiveLogbookMetadata; FullComputerRuntimeLogbookAccumulator",Dive record cannot disclose calculation environment,Forensic/safety interpretation is incomplete,None,None,None,Environment provenance lost,Blocks truthful release,Altitude surface pressure salinity and source are absent from completed-dive metadata,Static model inspection,Add versioned frozen environment metadata with migrations/sync/export,Medium,Checkpoint-to-logbook-to-sync-to-CSV/PDF round trips,Yes,Yes,Persistence,Medium,ORCH-001,"TestFlight; App Store",,CLOSED_VERIFIED
ORCH-004,"0;0W;1;2;3;12;13;15",Docs/EXTERNAL_VALIDATION_GAPS_CURRENT.md,WATCH-EXT-001,P1,HIGH,Diving,"Full Computer; Planner; CCR",Watch+iOS,External validation,Bühlmann/CCR reference,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL,Users lack independently corroborated algorithm evidence,Decompression/CCR claims cannot be strengthened,None,None,None,None,Blocks external release,Independent Bühlmann and CCR reference vectors/certification review are pending,Source audit matrices,Run documented external comparison and retain provenance/tolerances,Low code risk high process dependency,Published fixtures and independent tools across representative profiles,Yes,No,QA/Algorithms,External,ORCH-001,App Store,,OPEN
ORCH-005,"2;10;12;13;15;16",Docs/PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,WATCH-PHY-001,P1,HIGH,Diving,"Gauge; Full Computer",Watch,Hardware/underwater,Depth entitlement and Water Lock,Docs/QA_EVIDENCE/HARDWARE_ENTITLEMENT,Field behavior not demonstrated,Depth sensing and underwater interaction unproven,None,None,Battery/thermal unknown,None,Blocks TestFlight/App Store,No physical Watch Ultra underwater entitlement Water Lock wet/glove or sensor-failure evidence,Physical matrix pending,Execute device/underwater protocol and attach signed evidence,Low code risk external hardware,Ultra underwater entitlement Water Lock wet/glove failure recovery,No,Yes,Watch QA,External,ORCH-001,"TestFlight; App Store",,OPEN
ORCH-006,"7;8;9;12;13;16",Docs/PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,SYNC-P2-002,P1,P2,All,All,Watch+iOS,Sync/security,Paired-device transport,Docs/QA_EVIDENCE/WATCH_IOS_SYNC,Delivery/trust behavior not physically proven,Safety data may be stale,Trust reset/ACK/replay needs paired evidence,Route/location data transfer unproven,Paired load unknown,Conflict/tombstone behavior unproven,Blocks external release,Software tests exist but paired Watch/iPhone sync and load evidence is pending,QA folders/matrices,Run pairing trust reset retry replay large payload conflict and activity isolation matrix,Medium,Two devices offline/online/retry/replay/out-of-order/tombstone,No,Yes,Sync/Security,Large,None,"External TestFlight; App Store",,OPEN
ORCH-007,"13;16",Docs/RELEASE_LEGAL_EXTERNAL_QA_PENDING_CURRENT.md,RLC-P2-001,P1,P2,All,All,All,Legal/claims,External counsel and store review,Docs/QA_EVIDENCE/LEGAL_REVIEW,Submission posture is not externally approved,Unsupported safety interpretation risk,None,Disclosures require review,None,None,Blocks App Store,Legal/certification/App Store copy review remains pending,Release legal matrices,Complete counsel and App Store metadata/asset review without strengthening claims,Low code risk external dependency,Claims registry metadata screenshots legal journey,Yes,No,Product/Legal,External,None,App Store,,OPEN
ORCH-008,"0-16",Docs/ORCHESTRATED_AUDIT_RUN_LOG_CURRENT.md,ENV-XCODE-001,P1,P1,All,All,Watch+iOS,Build/test evidence,Current commit validation,"xcodegen; xcodebuild; Apple simulators",Current commit is not executable-validated in this run,New safety code may fail or regress,None,None,Performance suites not rerun,None,Blocks internal test gate,Windows environment cannot run Apple builds or XCTest at commit 6cbba649,Environment probe,Run both app builds full algorithm schemes focused altitude and every readiness script on macOS,Low change risk high evidence dependency,Exact non-regression plan commands,No,No,Release Engineering,Medium,ORCH-001,"Internal tests; TestFlight; App Store",,CLOSED_VERIFIED
ORCH-009,"10;12;16",Docs/PERFORMANCE_CONCURRENCY_BATTERY_AUDIT_CURRENT.md,PERF-P2-001,P2,P2,"Diving; Apnea; Snorkeling",All,Watch+iOS,Performance,Battery/thermal/GPS,Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,Unknown field endurance,Degraded behavior under power/thermal pressure unknown,None,None,Battery thermal GPS load unknown,None,Conditional release gap,Physical battery/thermal and long-session profiles are pending,Performance matrices,Run budget plan on supported devices and record signposts/drain,Low code risk,Long dive Apnea cycle Snorkeling GPS paired sync low battery thermal,No,Yes,Performance,External,None,External TestFlight,,OPEN
ORCH-010,"11;12;16",Docs/ACCESSIBILITY_SCREEN_MATRIX_CURRENT.csv,TQA-P2-006,P2,P2,All,All,Watch+iOS,Accessibility,VoiceOver/Dynamic Type,Docs/QA_EVIDENCE/DYNAMIC_TYPE_VOICEOVER,Some safety states may not be perceivable,Color/haptic-independent behavior unproven,None,None,None,None,External release gap,Software semantics exist but physical accessibility matrix is pending,Accessibility audit,Run VoiceOver reading order Dynamic Type contrast reduced motion haptics-off,No code risk until findings,Device/locale/screen matrix with combined alerts,No,Yes,Accessibility,External,None,External TestFlight,,OPEN
ORCH-011,"4;12;14;16",Docs/MOCKUP_VISUAL_REGRESSION_AUDIT_CURRENT.md,MVR-P2-002,P2,P2,All,All,Watch+iOS,Visual/PDF,Manual fidelity and device pixels,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY,Layout/readability may differ on device,Safety metrics could clip or hide,None,None,None,None,External release gap,Software mockup registry exists but manual scoring screenshots and PDF renders are incomplete,Visual evidence folders,Populate 41/45/49mm and iPhone locale/state captures and golden PDF renders,Low code risk,Pixel diff and human review for critical states,No,Yes,Design/QA,Large,None,External TestFlight,,OPEN
ORCH-012,"3;12;13",Docs/EXTERNAL_VALIDATION_GAPS_CURRENT.md,TQA-P3-004,P2,P3,Diving,Logbook/export,iOS,Interoperability,Subsurface CSV round trip,Docs/CSV_SUBSURFACE_QA_MATRIX.md,External imports may not round-trip exactly,No direct live effect,None,Export privacy must remain intact,None,Data compatibility unproven,App Store confidence gap,Subsurface compatibility is documented but external tool validation remains pending,QA matrix,Run independent import/export fixtures and retain diffs,Low,Multiple locales units malformed files duplicate IDs,Yes,No,Export/QA,Medium,None,App Store,,OPEN
ORCH-013,"6;13;16",Docs/DIR_DIVING_DOCUMENTATION_BRANCH_ALIGNMENT_REPORT.md,DOC-HIST-001,P2,P3,"Apnea; Snorkeling",All,All,Documentation,Historical architecture sections,"Docs/README.md; Docs/INDEX.md",Readers can misunderstand feature ownership and release scope,Incorrect operational assumptions possible,None,None,None,None,Documentation gate fails,Old sections still say Apnea/Snorkeling are experimental or excluded despite current headers,Static text scan,Mark historical blocks explicitly or archive and link canonical current scope,Low,Documentation link/claim scans,No,No,Documentation,Small,None,Documentation,,CLOSED_VERIFIED
ORCH-014,"11;13;16",Docs/ORCHESTRATED_AUDIT_RUN_LOG_CURRENT.md,TOOL-PATH-001,P2,P2,All,All,Windows,Tooling,Path normalization,"Scripts/audit_localization.sh; Scripts/scan_prohibited_claims.py",False failures obscure real signals,None,None,None,None,None,Weakens portable audit execution,Windows backslashes fail forward-slash exclusions and allowlists,Observed static script output,Normalize Path.as_posix before matching and test on Windows/macOS,Low,Scanner golden tests on both separators,No,No,Developer Tooling,Small,None,Automation confidence,,CLOSED_VERIFIED
ORCH-015,"10;12;13;16",Docs/PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,SNORKEL-PHY-001,P2,P2,Snorkeling,Snorkeling,Watch+iOS,Physical navigation,GPS/return/privacy,Docs/QA_EVIDENCE,Surface route and return guidance unproven on device,Guidance limitations require field confirmation,None,Exact coordinates/privacy need validation,GPS drain unknown,Track fidelity unknown,External release gap,Physical Snorkeling GPS filtering route bearing permission and privacy evidence is pending,QA matrices,Execute surface-only field matrix with denied/stale/poor/spike fixes,No code risk until findings,Field route privacy redaction battery paired sync,No,Yes,Snorkeling QA,External,None,External TestFlight,,OPEN
