Interop_ID,Platform,Activity,Mode,Source_File,Source_Symbol,iOS_Emits,Watch_Accepts,Lock_During_Dive,Fail_Closed,Automated_Test,Result,Severity,Finding_ID,Notes
GF-INT-001,iOS+Watch,Diving,Full Computer,Shared/Models/FullComputerGradientFactorPreset.swift,conservative2080,gradientFactorPreset 20/80,Watch preset import,yes,yes,DivePlanPackageBuilderTests; FullComputerImportedPlanStoreTests,PASS,P4,CONS-002,Aligned @ 5d757cc
GF-INT-002,iOS+Watch,Diving,Full Computer,Shared/Models/FullComputerGradientFactorPreset.swift,standard3070,gradientFactorPreset 30/70,Watch preset import,yes,yes,DivePlanPackageBuilderTests; FullComputerImportedPlanStoreTests,PASS,P4,CONS-002,Default Watch preset
GF-INT-003,iOS+Watch,Diving,Full Computer,Shared/Models/FullComputerGradientFactorPreset.swift,moderate4085,gradientFactorPreset 40/85,Watch preset import,yes,yes,DivePlanPackageBuilderTests; FullComputerImportedPlanStoreTests,PASS,P4,CONS-002,Matching() fallback for low/high pairs
GF-INT-004,Watch,Diving,Full Computer,Views/FullComputerGradientFactorSelectionView.swift,body,Three-preset UI,User selection only,yes,n/a,FullComputerGradientFactorSettingsStoreTests,PASS,,,Watch FC Settings + predive
GF-INT-005,iOS,Diving,Planner,iOSApp/Views/PlannerView.swift,gfPresetSelector,Planner GF cards emit preset,Reference until Watch confirm,no,yes,PlannerGFPresetDisplayTests,PASS,,,iOS plan override reference-only
GF-INT-006,iOS+Watch,Diving,Full Computer,iOSApp/Services/DivePlanPackageBuilder.swift,gradientFactorPreset,Package field populated,FullComputerImportedPlanStore,yes,yes,DivePlanPackageBuilderTests,PASS,P4,CONS-002,Emit restored @ 5d757cc
GF-INT-007,Watch,Diving,Full Computer,Services/FullComputerPrediveConfigurationStore.swift,applyWatchGradientFactorPresetIfAllowed,Watch preset at predive,Runtime snapshot at start,yes,yes,FullComputerGradientFactorRuntimeResolutionTests,PASS,,,Not mutable via Crown/Action Button
GF-INT-008,iOS+Watch,Diving,Full Computer,Shared/Models/FullComputerDiveLogbookMetadata.swift,resolvedGradientFactorPreset,Logbook metadata,FC logbook only,n/a,n/a,FullComputerGradientFactorPresetTests,PASS,,,Activity-owned FC metadata
GF-INT-009,iOS,All,Settings,IOSCompanionSettingsRootView,mode switch,No runtime GF mutation,Watch unchanged during edit,n/a,n/a,Settings ownership matrix,PASS,,,Mode switch does not remote-mutate Watch GF
GF-INT-010,iOS+Watch,Diving,Briefing card,Planner briefing transfer,reference metadata,No live GF authority,Watch predive confirm required,n/a,yes,Briefing card tests lane,PASS,,,Reference-only until predive
GF-EXT-001,External,N/A,N/A,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL,template,Software parity only,External spot-check pending,n/a,n/a,NOT_EXECUTED,PENDING,P2,CONS-043,No fake external validation
