Finding_ID,Title,Original_Severity,Original_Status,Software_Action_Taken,Files_Changed,Tests_Added_Or_Updated,Docs_Updated,Scripts_Added_Or_Updated,New_Status,Software_Readiness_Impact,Physical_QA_Status,External_Validation_Status,App_Store_Status
CONS-001,Watch TTS oracle production projection path,P1,OPEN,Independent Bühlmann schedule/TTS on oracle tissues; removed production BuhlmannEngine.runtimeProjection from audit path,Tests/WatchAlgorithmTests/Support/IndependentBuhlmannOracle.swift; Audit15OracleTestSupport.swift,Audit15TTSScheduleOracleSweepTests,MASTER_SOFTWARE_REMEDIATION_TO_100_REPORT_CURRENT.md,validate_master_software_remediation_readiness.sh,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
CONS-002,External Buhlmann validation,P1,PENDING_EXTERNAL,No software change; evidence templates retained,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/*,,,,PENDING_EXTERNAL_VALIDATION,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-003,Physical Watch Ultra QA,P1,PENDING_PHYSICAL,No fake evidence; QA templates only,Docs/QA_EVIDENCE/WATCH_ULTRA/*,,,,PENDING_PHYSICAL,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-004,Underwater depth sensor QA,P1,PENDING_PHYSICAL,No fake evidence; wet QA templates,Docs/QA_EVIDENCE/SNORKELING_WET_GLOVE/*,,,,PENDING_PHYSICAL,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-005,Paired device sync QA,P1,PENDING_PHYSICAL,No fake evidence; sync QA templates,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/*,,,,PENDING_PHYSICAL,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-006,Legal/marketing review,P1,PENDING,No software change; legal template scaffold,Docs/QA_EVIDENCE/LEGAL_REVIEW/*,,,,PENDING_LEGAL_REVIEW,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-007,Automated test gate / IntegratedModes stall,P2,PARTIAL,WatchSync outbound suppress test hook; IntegratedModes passes,Services/WatchSyncService.swift; IntegratedModesSequentialFlowTests.swift,,MASTER_SOFTWARE_REMEDIATION_TEST_EVIDENCE_CURRENT.md,validate_master_software_remediation_readiness.sh,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
CONS-008,iOS navigation state restoration,P2,OPEN,UserDefaults persistence for diving tab settings scope apnea/snorkeling tabs; deep-link fail-closed policy,iOSApp/Services/IOSCompanionNavigationPersistence.swift; ContentView.swift; IOSCompanionSettingsScopeStore.swift; Apnea/Snorkeling root views,IOSCompanionNavigationRestorationTests,MASTER_SOFTWARE_REMEDIATION_TO_100_REPORT_CURRENT.md,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
CONS-009,Visual regression baselines,P2,PENDING,No fake pixel evidence; templates retained,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY/*,,,,PENDING_PHYSICAL,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-010,Subsurface external validation,P2,PENDING_EXTERNAL,No fake evidence,Docs/QA_EVIDENCE/SUBSURFACE_EXTERNAL/*,,,,PENDING_EXTERNAL_VALIDATION,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-011,Accessibility manual QA,P2,PENDING,No fake evidence,Docs/QA_EVIDENCE/IOS_ACCESSIBILITY/*,,,,PENDING_PHYSICAL,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,NOT_READY
CONS-012,Documentation drift,P2,OPEN,P0 doc repairs: TestFlight notes Apnea/Snorkeling on MAIN; experimental doc; PRODUCT_FEATURES_IT; mission mode App Store row,Docs/TESTFLIGHT_REVIEW_NOTES.md; EXPERIMENTAL_FEATURES.md; PRODUCT_FEATURES_IT.md; WATCH_MISSION_MODE_UX_SAFETY_VERIFICATION_REPORT.md,,INDEX.md,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
CONS-013,Tissue analytics cache test flake,P3,OPEN,Recreational/base plans + cache count assertion + DEBUG test hook,TissueAnalyticsService.swift; PerformanceConcurrencyBatteryRemediationTests.swift,testTissueAnalyticsCacheBounded,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
CONS-014,Apnea iCloud stub accepted risk,P3,DOCUMENTED_ACCEPTED_RISK,Preserved per plan,,,,,DOCUMENTED_ACCEPTED_RISK,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,CONDITIONAL
