Finding_ID,Gate_Type,Status,Evidence_Path,Physical_Device_Required,External_Reviewer_Required,Safe_Test_Setup,Snorkeling_Wave,Blocks_External_TestFlight,Notes
CONS-009,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/,Yes,Yes,Yes,no,yes,Third-party Bühlmann compare NOT_EXECUTED
CONS-010,PHYSICAL_QA,PENDING_PHYSICAL,MASTER_WATCH_FULL_COMPUTER_PHYSICAL_QA_MATRIX_CURRENT.csv,Yes,No,Yes,no,yes,Ultra wet depth CMAltimeter
CONS-011,PHYSICAL_QA,PENDING_PHYSICAL,MASTER_PHYSICAL_DEVICE_QA_MATRIX; PAIRED_WATCH_IOS_UI_QA_TEMPLATE.md,Yes,No,No,no,yes,Paired sync field QA
CONS-012,PHYSICAL_QA,PENDING_PHYSICAL,ACCESSIBILITY_MANUAL_QA_TEMPLATE.md,Yes,No,No,no,yes,VoiceOver Dynamic Type manual
CONS-013,PHYSICAL_QA,PENDING_PHYSICAL,PDF_PHYSICAL_RENDER_QA_TEMPLATE.md,Yes,No,No,no,yes,App Store PDF golden renders
CONS-021,PHYSICAL_QA,PENDING_PHYSICAL,MASTER_WATER_AUTO_OPEN_PHYSICAL_QA_GATE_CURRENT.csv,Yes,No,Yes,no,yes,WAO end-to-end SOFTWARE_READY only
CONS-022,PHYSICAL_QA,PENDING_PHYSICAL,WATCH_UNDERWATER_HARDWARE_INTERACTION_MATRIX,Yes,No,Yes,no,yes,Crown Action Button Water Lock
CONS-023,PHYSICAL_QA,PENDING_PHYSICAL,PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,Yes,No,Yes,no,no,FC long-session thermal
CONS-024,PHYSICAL_QA,PENDING_PHYSICAL,WATCH_IOS_SYNC large payload,Yes,No,Yes,no,no,Paired load profiling
CONS-025,PHYSICAL_QA,PENDING_PHYSICAL,iOS logbook scroll Instruments,Yes,No,No,no,no,40-session cap UX
CONS-026,PHYSICAL_QA,PENDING_PHYSICAL,Snorkeling map FPS Instruments,Yes,No,No,yes,no,Long-route map; overlaps Snorkeling
CONS-029,PHYSICAL_QA,PENDING_PHYSICAL,ICLOUD_TWO_DEVICE QA template,Yes,No,No,no,yes,Two-device iCloud merge
CONS-031,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_GPS QA template,Yes,No,No,yes,no,Field GPS battery
CONS-032,PHYSICAL_QA,PENDING_PHYSICAL,PHYSICAL_PIXEL_DIFF; 59 mockups,Yes,No,No,no,no,0/59 baselines
CONS-042,PHYSICAL_QA,PENDING_PHYSICAL,MASTER_SHALLOW_DEPTH_RELEASE_GATE_MATRIX,Yes,Yes,Yes,no,yes,Shallow wet QA
CONS-043,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,MASTER_WATCH_FULL_COMPUTER_GF_PRESET_MATRIX,No,Yes,No,no,no,GF external spot-check
CONS-044,LEGAL_REVIEW,PENDING_LEGAL_REVIEW,APP_STORE_TESTFLIGHT_BLOCKERS; CLAIMS_EVIDENCE_MATRIX,No,Yes,No,no,yes,Counsel marketing sign-off
CONS-045,META_PHYSICAL,PENDING_PHYSICAL,QA_EVIDENCE aggregate templates,Yes,Yes,No,no,yes,0% execution meta
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_IOS_ROUTE_SAFETY_CHECK,Yes,No,Yes,yes,yes,Snorkeling P1/P2/P3 template 1/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_IOS_ROUTE_TYPE_ROUND_TRIP,Yes,No,Yes,yes,yes,Snorkeling template 2/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_IOS_ROUTE_DISTANCE_DURATION,Yes,No,No,yes,no,Snorkeling template 3/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_IOS_SEND_TO_WATCH_VALIDATION,Yes,No,Yes,yes,yes,Snorkeling template 4/12 paired
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_LOGBOOK_GPS_QUALITY,Yes,No,Yes,yes,no,Snorkeling template 5/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_NO_CROSS_ACTIVITY_REGRESSION,Yes,No,Yes,yes,yes,Snorkeling template 6/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_GPS_QUALITY,Yes,No,Yes,yes,yes,Snorkeling template 7/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_IMPORTED_ROUTE,Yes,No,Yes,yes,yes,Snorkeling template 8/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_NEXT_WAYPOINT,Yes,No,Yes,yes,yes,Snorkeling template 9/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_OFF_ROUTE_WARNING,Yes,No,Yes,yes,yes,Snorkeling template 10/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_RETURN_ALERT,Yes,No,Yes,yes,yes,Snorkeling template 11/12
CONS-048,PHYSICAL_QA,PENDING_PHYSICAL,SNORKELING_WATCH_RETURN_TO_ENTRY_DISTANCE,Yes,No,Yes,yes,yes,Snorkeling template 12/12
