domain,artifact,current_version,legacy_supported,future_schema_policy,migration_module,codec_validation,activity_envelope,test_reference,status,severity,notes
Diving WC session transport,WatchDiveSyncCodec.Transport,3 (ActivitySyncSignedTransport),1-2 via policy,unsupportedVersion throw,N/A,HMAC + bundle ID + skew + activityType,diving,MainDeepCodeAuditRemediationTests,PASS,,v3 envelope with activity discriminator
Apnea WC session transport,ApneaSessionSyncCodec.Transport,3,1-2,unsupportedVersion throw,N/A,HMAC + replay,apnea,ApneaSessionSyncTransportNegativeTests,PASS,,payloadKey dirdiving_apnea_session
Snorkeling WC session transport,SnorkelingSessionSyncCodec.Transport,3,1-2,unsupportedVersion throw,N/A,HMAC + replay,snorkeling,SnorkelingSessionSyncTransportNegativeTests,PASS,,payloadKey dirdiving_snorkeling_session_sync
Large payload package,ActivitySyncLargePayloadTransfer.Package,3,N/A,fail closed >5MB,N/A,manifest hash + signature,per manifest,ActivitySyncLargePayloadTransferTests,PASS,,File-transfer fallback SYNC-P2-002
Apnea persisted session,ApneaSession.schemaVersion,1,0 via ApneaSchemaMigration,future → schemaMigrated warning,Shared/Utils/ApneaSchemaMigration.swift,resilient decode,N/A,ApneaSessionMergeIntegrityTests,PASS,,Multi-dive body supported
Snorkeling persisted session,SnorkelingSession.schemaVersion,1,0 via SnorkelingSchemaMigration,future → schemaMigrated warning,Shared/Utils/SnorkelingSchemaMigration.swift,resilient decode,N/A,SnorkelingSessionSyncCodecTests,PASS,,trackPoints + dips in model
Diving iCloud KVS blob,dirdiving_ios_dive_sessions,N/A,legacy KVS,oversized/partial reject,CloudSyncLegacyMigrationPolicy,byteCount gate,N/A,MainDeepCodeReadinessCurrentTests,PASS,,Per-key budget 1MB
Diving Watch iCloud,dirdiving_watch_dive_sessions,N/A,legacy KVS,same policy,CloudSyncLegacyMigrationPolicy,byteCount gate,N/A,MainDeepCodeReadinessCurrentTests,PASS,,Watch CloudSyncStore
FC dive plan package,DivePlanPackageBody.schemaVersion,1,N/A,future rejected,DivePlanPackageCodec,checksum + expiry,N/A,DivePlanPackageCodecTests,PASS,,Separate from session sync
FC runtime checkpoint,FullComputerRuntimeCheckpointPayload,1,N/A,unsupportedSchema throw,N/A,SHA-256 checksum,N/A,FullComputerRecoveryCheckpointTests,PASS,,Registry v1 canonical SYNC-P3-002
Apnea sync plan package,ApneaSyncCodec body,currentSchemaVersion,N/A,future rejected,Shared/Utils/ApneaSyncCodec.swift,schemaVersion bounds,N/A,ApneaSyncCodecNegativePathTests,PASS,,Isolated from FC namespace
Snorkeling route package,SnorkelingRouteSyncCodec,1,N/A,future rejected fail-closed,Shared/Utils/SnorkelingRouteSyncCodec.swift,checksum + schemaVersion + route validator,N/A,SnorkelingRouteSyncCodecTests,PASS,,Isolated from session sync; Snorkeling P1/P2/P3 @ 451f8fb
Planner briefing manifest,PlannerBriefingCardManifest,N/A,legacy kinds filtered,unsupported kind → nil,PlannerBriefingTransferSupport.decodeManifest,lenient wire decode,N/A,PlannerBriefingLegacyKindDecodeTests,PASS,,File transfer route
Cloud backup migration,CloudBackupCapability,migration_v1,dirdiving_ios_cloud_backup_enabled,one-time diving-only migrate,CloudBackupCapability.swift,capability guard,N/A,CloudBackupCapabilityTests,PASS,,SYNC-P1-002 remediated
Corrupt local logbook,Apnea/Snorkeling JSON envelope,N/A,N/A,quarantine corrupt file,ApneaLogbookPersistence / SnorkelingLogbookPersistence,resilient decode,N/A,ApneaLogbookStoreTests,PASS,,Atomic write on persist
