Consolidated_Finding_ID,Original_Severity,Original_Status,Title,Remediation_Status,Claimed_New_Status,Expected_Status,Files_Changed,Tests_Evidence,Docs_Evidence,Scripts_Evidence,Physical_QA_Status,External_Validation_Status,Legal_Status,Verification_Result,Reason,Regression_Risk,Notes
CONS-001,P0,FIXED_DOCUMENTATION,commands_for_cursor 01-04 bodies permuted vs filenames,FIXED_DOCUMENTATION,FIXED_DOCUMENTATION,FIXED_DOCUMENTATION,commands_for_cursor/01-04,,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_TO_100_REPORT_CURRENT.md,validate_commands_for_cursor_integrity.sh,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,P0 doc blocker cleared; trustworthy audit re-run enabled,Low if doc-only repair,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-002,P1,FIXED_SOFTWARE,iOS Planner GF presets mismatch Watch FC import,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,iOSApp/Utils/PlannerModePolicy.swift; iOSApp/Services/DivePlanPackageBuilder.swift,DivePlanPackageBuilderTests; PlannerGFPresetDisplayTests,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_FINDING_STATUS_CURRENT.csv,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Watch import fail-closed removed for all three presets,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-003,P1,FIXED_SOFTWARE,iOS sync in-flight session stuck after failed ACK,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,iOSApp/Services/WatchSyncService.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Pending queue can retry after failure,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-004,P1,FIXED_SOFTWARE,Watch to iOS userInfo import missing symmetric diveImportAck,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,iOSApp/Services/WatchSyncService.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Watch pending queue can dequeue after userInfo import,CONS-011,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-005,P1,FIXED_SOFTWARE,Legacy unsigned diving tombstones accepted without HMAC,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Shared/Utils/ActivitySyncTombstoneBroadcast.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,No unsigned diving tombstone fallback when signed path available,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-006,P1,FIXED_SOFTWARE,Shallow FC internal testing toggle exposure on shallow-signed build,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Utils/DeveloperSettings.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Internal QA path only; not App Store FC claim,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-007,P1,FIXED_SOFTWARE,Depth tier metadata from plist not runtime signed entitlements,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Utils/DepthCapabilityEntitlementProbe.swift,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Info.plist tier non-authoritative when compile authority present,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-008,P1,FIXED_SOFTWARE,Watch TTS schedule oracle uses production projection path,FIXED_SOFTWARE,FIXED_SOFTWARE,FIXED_SOFTWARE,Tests/WatchAlgorithmTests/Support/IndependentBuhlmannOracle.swift,Audit15TTSScheduleOracleSweepTests,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PASS,Prior ORC remediation preserved,Medium,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-009,P1,PENDING_EXTERNAL_VALIDATION,External Bühlmann decompression validation not executed,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_EXTERNAL,Software tests PASS; third-party compare required,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-010,P1,PENDING_PHYSICAL,Physical Apple Watch Ultra depth and CMAltimeter QA pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_ULTRA/*; WATCH_CMALTIMETER_PHYSICAL/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Simulator depth ≠ hardware sensor,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
CONS-011,P1,PENDING_PHYSICAL,Paired Watch iPhone sync security and UI QA pending,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL_WITH_TEMPLATE,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/*,,,,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,PENDING_PHYSICAL,Software codec/HMAC tests PASS,Low,Verified @ 5d757cc remediation; audit 07 @ 451f8fb
