Mockup_ID,Path,Platform,Activity,Mode,Screen,Preview_Fixture,Snapshot_Test,Coverage_Level,Pixel_Baseline,Accessibility,Localization,Readiness_Percent,Finding_ID,Notes
MOCK-001,mockups/Apple_Watch/APNEA_WATCH_01_READY.png,Watch,Apnea,Apnea,APNEA_WATCH_01_READY,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-002,mockups/Apple_Watch/APNEA_WATCH_02_DIVE_IN_PROGRESS.png,Watch,Apnea,Apnea,APNEA_WATCH_02_DIVE_IN_PROGRESS,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-003,mockups/Apple_Watch/APNEA_WATCH_03_ASCENT.png,Watch,Apnea,Apnea,APNEA_WATCH_03_ASCENT,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-004,mockups/Apple_Watch/APNEA_WATCH_04_SURFACE_RECOVERY.png,Watch,Apnea,Apnea,APNEA_WATCH_04_SURFACE_RECOVERY,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-005,mockups/Apple_Watch/APNEA_WATCH_05_SESSION_SUMMARY.png,Watch,Apnea,Apnea,APNEA_WATCH_05_SESSION_SUMMARY,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-006,mockups/Apple_Watch/APNEA_WATCH_06_DEPTH_ALARMS.png,Watch,Apnea,Apnea,APNEA_WATCH_06_DEPTH_ALARMS,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-007,mockups/Apple_Watch/APNEA_WATCH_07_MARKER_REACHED.png,Watch,Apnea,Apnea,APNEA_WATCH_07_MARKER_REACHED,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-008,mockups/Apple_Watch/APNEA_WATCH_08_TARGET_REACHED.png,Watch,Apnea,Apnea,APNEA_WATCH_08_TARGET_REACHED,ApneaWatchLayoutContractTests,ApneaWatchLayoutContractTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-009,mockups/Apple_Watch/SNORKELING_WATCH_01_READY.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_01_READY,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-010,mockups/Apple_Watch/SNORKELING_WATCH_02_SURFACE_DASHBOARD.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_02_SURFACE_DASHBOARD,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-011,mockups/Apple_Watch/SNORKELING_WATCH_03_DIP_IN_PROGRESS.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_03_DIP_IN_PROGRESS,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-012,mockups/Apple_Watch/SNORKELING_WATCH_04_WAYPOINT_NAVIGATION.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_04_WAYPOINT_NAVIGATION,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-013,mockups/Apple_Watch/SNORKELING_WATCH_05_RETURN_TO_ENTRY.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_05_RETURN_TO_ENTRY,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
MOCK-014,mockups/Apple_Watch/SNORKELING_WATCH_06_SAVE_MARKER.png,Watch,Snorkeling,Snorkeling,SNORKELING_WATCH_06_SAVE_MARKER,SnorkelingMockupReferenceMatrixTests,SnorkelingMockupReferenceMatrixTests,structural_only,PENDING_PHYSICAL,partial,partial,88,MUIUX-P2-001,Baseline capture not executed
