Topic,Expected_Documentation_Claim,Primary_Doc_Path,Doc_Status,Code_Evidence_Audit,Truth_Status,Physical_QA_Label,Required_Update,Priority,Notes
Default signing shallow depth,WithShallowDepth default; not full-depth production,BUILD_AND_XCODEGEN_WORKFLOW.md; APPLE_SHALLOW_DEPTH_ENTITLEMENT_SUPPORT.md,TRUE,project.yml DEPTH_ENTITLEMENT_SHALLOW,TRUE,PENDING,None,P3,
DIRDepthEntitlementTier shallow,Runtime authority from compile flags not plist alone,APPLE_SHALLOW_DEPTH_ENTITLEMENT_SUPPORT.md,TRUE,DepthCapabilityEntitlementProbe; CONS-007 FIXED,TRUE,PENDING,None,P3,
WithShallowDepth vs WithWaterSubmersion,Separate entitlements documented,SENSOR_SOURCE_POLICY.md,TRUE,Entitlements.xcent files,TRUE,PENDING,None,P3,
Shallow ≠ certified Full Computer,Public docs must not imply production FC decompression,SAFETY_DISCLAIMER; FULL_COMPUTER_ARCHITECTURE.md,TRUE,DepthCapabilityPolicy fail-closed,TRUE,PENDING,Reinforce in TestFlight notes,P1,
Developer shallow Gauge toggle,TestFlight/internal only; default OFF,MASTER_WATCH_DEPTH_CAPABILITY_SHALLOW_TESTING_MATRIX_CURRENT.csv,TRUE,DeveloperSettings; validate_developer_shallow_testing_release_gate.sh,TRUE,PENDING,None,P1,CONS-006 FIXED
Developer shallow FC toggle,TestFlight/internal only; default OFF,MASTER_WATCH_DEPTH_CAPABILITY_SHALLOW_TESTING_MATRIX_CURRENT.csv,TRUE,DepthCapabilityPolicy; validate_developer_shallow_testing_release_gate.sh,TRUE,PENDING,None,P1,CONS-006 FIXED
Full-depth entitlement secured (marketing claim),Must NOT claim secured without Apple evidence,Grep: no primary doc claims secured,TRUE,Low,PENDING,Audit App Store marketing folder before submit,P2,QA_EVIDENCE/APP_STORE_MARKETING template only
Shallow wet physical QA,Field ~6m validation NOT_EXECUTED,MASTER_SHALLOW_DEPTH_RELEASE_GATE; QA_EVIDENCE/SHALLOW_WATER,TRUE,No signed wet QA pack,TRUE,PENDING,None,P3,Correctly PENDING
Water auto-open depth capability gate,FC blocked on shallow without policy,MASTER_DEPTH_CAPABILITY_POST_REMEDIATION_MATRIX_CURRENT.csv,TRUE,DIRStartupSelectionPolicy; CONS-019 FIXED,TRUE,PENDING,Cross-link from INDEX,P2,
Info.plist tier non-authoritative,Documented when compile authority present,MASTER_DEPTH_CAPABILITY_ENTITLEMENT_MATRIX_CURRENT.csv,TRUE,validate_depth_capability_runtime_authority.sh PASS,TRUE,n/a,None,P3,CONS-007 FIXED
Apnea shallow depth,Apnea uses same depth capability policy not decompression,APNEA_ARCHITECTURE.md; MASTER_IOS_APNEA audit,TRUE,Apnea depth display only,TRUE,PENDING,None,P3,No GF/deco in Apnea
