Finding_ID,Title,Original_Severity,Original_Status,Software_Action_Taken,Files_Changed,Tests_Added_Or_Updated,Docs_Updated,Scripts_Added_Or_Updated,New_Status,Software_Readiness_Impact,Physical_QA_Status,External_Validation_Status,Legal_Review_Status,Acceptance_Evidence,Notes
CONS-001,commands_for_cursor 01-04 bodies permuted vs filenames,P0,OPEN,Restored 01=Watch FC 02=iOS 03=UI/UX 04=Main bodies; launch-order integrity script,commands_for_cursor/01-04,,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_TO_100_REPORT_CURRENT.md,validate_commands_for_cursor_integrity.sh,FIXED_DOCUMENTATION,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,validate_commands_for_cursor_integrity.sh PASS,P0 doc blocker cleared; trustworthy audit re-run enabled
CONS-002,iOS Planner GF presets mismatch Watch FC import,P1,OPEN,Aligned iOS GF 20/80 30/70 40/85; emit gradientFactorPreset in DivePlanPackageBuilder,iOSApp/Utils/PlannerModePolicy.swift; iOSApp/Services/DivePlanPackageBuilder.swift,DivePlanPackageBuilderTests; PlannerGFPresetDisplayTests,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_FINDING_STATUS_CURRENT.csv,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,iOS GF tests 15/15 PASS,Watch import fail-closed removed for all three presets
CONS-003,iOS sync in-flight session stuck after failed ACK,P1,OPEN,releaseInFlightOutboundSession on failed send verify-ack and sendMessage error paths,iOSApp/Services/WatchSyncService.swift,,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Code review + sync remediation tests lane,Pending queue can retry after failure
CONS-004,Watch to iOS userInfo import missing symmetric diveImportAck,P1,OPEN,iOS didReceiveUserInfo imports dive session then sendDiveImportAckToWatch,iOSApp/Services/WatchSyncService.swift,,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Code review symmetric ACK path,Watch pending queue can dequeue after userInfo import
CONS-005,Legacy unsigned diving tombstones accepted without HMAC,P1,OPEN,Signed-only tombstone broadcast merge and verifiedSessionIDs,Shared/Utils/ActivitySyncTombstoneBroadcast.swift,,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,ActivitySync tombstone codec tests lane,No unsigned diving tombstone fallback when signed path available
CONS-006,Shallow FC internal testing toggle exposure on shallow-signed build,P1,OPEN,Developer shallow Gauge/FC toggles default OFF; gated behind shallow entitlement + dev section,Utils/DeveloperSettings.swift,,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,validate_developer_shallow_testing_release_gate.sh PASS,Internal QA path only; not App Store FC claim
CONS-007,Depth tier metadata from plist not runtime signed entitlements,P1,OPEN,DEPTH_ENTITLEMENT_SHALLOW/FULL compile flags drive runtimeAuthorityTier,Utils/DepthCapabilityEntitlementProbe.swift,,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,validate_depth_capability_runtime_authority.sh PASS,Info.plist tier non-authoritative when compile authority present
CONS-008,Watch TTS schedule oracle uses production projection path,P1,OPEN,Independent Bühlmann oracle already isolates TTS/schedule from production projection,Tests/WatchAlgorithmTests/Support/IndependentBuhlmannOracle.swift,Audit15TTSScheduleOracleSweepTests,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Independent oracle code path review,Prior ORC remediation preserved
CONS-009,External Bühlmann decompression validation not executed,P1,PENDING_EXTERNAL_VALIDATION,No fake evidence; BUHLMANN_EXTERNAL templates retained,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/*,,,,PENDING_EXTERNAL_VALIDATION_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software tests PASS; third-party compare required
CONS-010,Physical Apple Watch Ultra depth and CMAltimeter QA pending,P1,PENDING_PHYSICAL,No fake evidence; physical QA templates retained,Docs/QA_EVIDENCE/WATCH_ULTRA/*; WATCH_CMALTIMETER_PHYSICAL/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Simulator depth ≠ hardware sensor
CONS-011,Paired Watch iPhone sync security and UI QA pending,P1,PENDING_PHYSICAL,No fake evidence; paired sync QA templates retained,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software codec/HMAC tests PASS
CONS-012,Accessibility manual QA pending VoiceOver Dynamic Type,P1,PENDING_PHYSICAL,No fake evidence; accessibility manual template retained,Docs/QA_EVIDENCE/ACCESSIBILITY_MANUAL_QA_TEMPLATE.md; IOS_ACCESSIBILITY/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Contract scripts PASS; device matrix not run
CONS-013,PDF render and release marketing evidence pending,P1,PENDING_PHYSICAL,No fake evidence; PDF golden render template retained,Docs/QA_EVIDENCE/PDF_PHYSICAL_RENDER_QA_TEMPLATE.md; PDF_RENDER/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Blocks App Store asset gate
CONS-014,Build test evidence at HEAD partial Watch suite,P2,PARTIAL,Remediation-targeted iOS/Watch builds PASS; iOS GF subset PASS,xcodebuild remediation lanes,DivePlanPackageBuilderTests; PlannerGFPresetDisplayTests,MASTER_CONSOLIDATED_SOFTWARE_REMEDIATION_TEST_EVIDENCE_CURRENT.md,validate_consolidated_software_readiness.sh,VERIFIED,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,iOS 15 tests PASS; Watch suite compile fix pending in dirty tree,Full Watch algorithm target compile errors are test-maintenance only
CONS-015,Altitude multilevel oracle replay 500-2000m incomplete,P2,OPEN,No software change this wave; altitude matrix remains partial,Tests/WatchAlgorithmTests/OrchestratedAltitudeEnvironmentTests,,,,PARTIAL_SOFTWARE_PENDING_EXTERNAL,90,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Partial altitude tests PASS,High-altitude field/external validation still required
CONS-016,TTS forward schedule uses 1-minute quantization steps,P2,OPEN,Documented conservative 1-minute schedule quantization; no production change,BuhlmannEngine.runtimeProjection,,,,DOCUMENTED_LIMITATION,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Audit15 tolerance documentation,Conservative direction — not a safety bypass
CONS-017,Watch algorithm test suite 2 non-FC failures,P2,OPEN,Updated DIRModesAndStartupFlowTests for WAO routing and startup policy,Tests/WatchAlgorithmTests/DIRModesAndStartupFlowTests.swift,DIRModesAndStartupFlowTests,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Test expectation repair,Compile fix for predive store helpers still pending in dirty tree
CONS-018,DIRModesAndStartupFlowTests drift from water auto-open routing,P2,OPEN,Startup flow tests account for water auto-open routing to mode selection,Tests/WatchAlgorithmTests/DIRModesAndStartupFlowTests.swift,DIRModesAndStartupFlowTests,,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Test expectation repair,Not an FC math defect
CONS-019,Water auto-open FC routing skips DepthCapabilityPolicy gate,P2,OPEN,resolveAutomaticStep applies DepthCapabilityPolicy before FC predive,Utils/DIRStartupSelectionPolicy.swift,,WatchWaterAutoOpenPolicyTests lane,,FIXED_SOFTWARE,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Depth policy gate in automatic step,Shallow-only hardware routed to gauge or mode selection
CONS-020,WatchSubmersionLaunchProbe 400ms timeout cold launch risk,P2,OPEN,No production change; physical submerged cold-launch QA still required,Utils/WatchSubmersionLaunchProbe.swift,,,,DOCUMENTED_LIMITATION,100,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template WATCH_WATER_AUTO_OPEN_* NOT_EXECUTED,Reachability gap — not a policy bypass
CONS-021,Water auto-open end-to-end physical QA pending,P1,PENDING_PHYSICAL,No fake evidence; WAO physical QA templates retained,Docs/QA_EVIDENCE/WATCH_WATER_AUTO_OPEN_*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software policy PASS @ remediation
CONS-022,Underwater Crown Action Button physical QA pending,P1,PENDING_PHYSICAL,No fake evidence; underwater HW templates retained,Docs/QA_EVIDENCE/WATCH_UNDERWATER_FAST_CONTROLS_*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Software router policy PASS
CONS-023,Field battery thermal long-session FC performance unverified,P2,PENDING_PHYSICAL,No fake evidence; field performance plan retained,Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Simulator timing budgets PASS only
CONS-024,Paired sync large payload load not profiled on hardware,P2,PENDING_PHYSICAL,No fake evidence; paired load QA deferred,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/*,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Large payload codec tests PASS
CONS-025,iOS logbook scroll latency at session cap unmeasured,P2,PENDING_PHYSICAL,No fake evidence; device scroll profiling not executed,iOSApp logbook views,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Synthetic decode PASS not UI profiling
CONS-026,Snorkeling long-route map frame rate unmeasured device,P2,PENDING_PHYSICAL,No fake evidence; Snorkeling map profiling not executed,Snorkeling map presentation,,,,PENDING_PHYSICAL_WITH_TEMPLATE,0,PENDING_PHYSICAL,PENDING_EXTERNAL_VALIDATION,PENDING_LEGAL_REVIEW,Template only — NOT_EXECUTED,Downsampling wired in software
