setting_key,display_name,spec_store_name,actual_store,scope,ios_location,watch_location,sync_policy,visible_in_diving,visible_in_apnea,visible_in_snorkeling,forbidden_outside_owner,negative_test,status,severity,score_impact,notes
dirdiving.settings.shared.v1,Shared iOS settings namespace,SharedSettingsStore,SharedIOSSettingsStore,shared,SharedIOSSettingsStore / IOSCompanionSharedSettingsSection,none,local_only,yes,yes,yes,n/a,registry,PASS,,0,Language + units in Apnea/Snorkeling settings sheets
dirdiving_app_language,App language,SharedSettingsStore,SharedIOSSettingsStore / MoreView,shared,MoreView / Apnea+Snorkeling settings,Watch Settings,local_only,yes,yes,yes,n/a,IOSActivitySettingsCoherenceTests,PASS,P0,0,Single key all activities
dirdiving_ios_units,Depth/distance units,SharedSettingsStore,SharedIOSSettingsStore,shared,MoreView / Apnea+Snorkeling settings,Watch unit prefs,local_only,yes,yes,yes,n/a,registry,PASS,P0,0,Apnea syncs useMetricUnits from shared
dirdiving_ios_cloud_backup_enabled,Cloud backup,SharedSettingsStore,MoreView / CloudBackupSettings,shared,MoreView,none,cloud_scope,yes,yes,yes,n/a,manual,PASS,P1,0,May include all activity stores
dirdiving_ios_pressure_unit,Pressure unit BAR/PSI,DivingSettingsStore,MoreView @AppStorage,diving,MoreView / PlannerView,none,local_only,yes,no,no,yes_apnea_snorkeling,registry,PASS,P1,0,Gas/planner diving-only
dirdiving_ios_planner_cns_descent_bottom_check_enabled,CNS descent/bottom check,DivingSettingsStore,MoreView,diving,MoreView,none,local_only,yes,no,no,yes_apnea_snorkeling,registry,PASS,P0,0,Must not appear in Apnea/Snorkeling
planner.ascentSpeedSettings.v1,Planner ascent speeds,DivingSettingsStore,PlannerAscentSpeedSettingsStore,diving,PlannerAscentSpeedSettingsView / MoreView,none,local_only,yes,no,no,yes_apnea_snorkeling,registry,PASS,P1,0,Diving planner only
dirdiving_ascent_rate_limits,Watch ascent rate limits,DivingSettingsStore,AscentRateSettingsStore,diving,none,SettingsView (diving-gated),watch_local,yes,no,no,yes_apnea_snorkeling,WatchActivitySettingsOwnershipTests,PASS,P1,0,Watch target only
dirdiving_ios_apnea_settings_v1,Apnea companion settings,ApneaSettingsStore,IOSApneaSettingsStore,apnea,IOSApneaSettingsView,Apnea WC namespace,watch_transfer_on_demand,no,yes,no,yes_diving_snorkeling,IOSActivitySettingsCoherenceTests,PASS,P0,0,Recovery detection equipment buddy
dirdiving.settings.snorkeling.v1,Snorkeling companion settings,SnorkelingSettingsStore,IOSSnorkelingSettingsStore,snorkeling,IOSSnorkelingSettingsView,Snorkeling WC namespace,watch_transfer_on_demand,no,no,yes,yes_diving_apnea,IOSActivitySettingsCoherenceTests,PASS,P0,0,GPS return dip alerts
companion.activity.preference,Companion activity selection,SharedSettingsStore,CompanionActivityPreferenceStore,shared,IOSCompanionActivitySelectionView,DIRActivitySelectionStore,preference_sync_when_idle,yes,yes,yes,n/a,IOSCompanionActivitySelectionTests,PASS,P0,0,Does not interrupt active Watch session
diving.gf_low,Gradient Factor Low,DivingSettingsStore,Watch FC / planner,diving,Planner context,SettingsView (diving-gated),watch_local,yes,no,no,yes_apnea_snorkeling,WatchActivitySettingsOwnershipTests,PASS,P1,0,Watch SettingsView diving-gated
diving.gf_high,Gradient Factor High,DivingSettingsStore,Watch FC / planner,diving,Planner context,SettingsView (diving-gated),watch_local,yes,no,no,yes_apnea_snorkeling,WatchActivitySettingsOwnershipTests,PASS,P1,0,
diving.ppo2_limits,PPO2 limits,DivingSettingsStore,Planner / gas editors,diving,Planner / gas editors,SettingsView (diving-gated),watch_local,yes,no,no,yes_apnea_snorkeling,registry,PASS,P0,0,Not in Apnea/Snorkeling UI
diving.cns_alarm,CNS alarm threshold,DivingSettingsStore,MoreView / planner,diving,MoreView,SettingsView (diving-gated),watch_local,yes,no,no,yes_apnea_snorkeling,registry,PASS,P0,0,
diving.deco_stops,Decompression stop alerts,DivingSettingsStore,Full Computer config,diving,FC config UI,Watch FC,watch_local,yes,no,no,yes_apnea_snorkeling,manual,PASS,P0,0,Algorithm unchanged UI scoped
apnea.recovery.minimum_seconds,Minimum recovery time,ApneaSettingsStore,IOSApneaSettingsStore,apnea,IOSApneaSettingsView,Apnea settings WC,watch_transfer,no,yes,no,yes_diving_snorkeling,manual,PASS,P1,0,Absent from Diving/Snorkeling
apnea.detection.descent_depth,Descent detection threshold,ApneaSettingsStore,IOSApneaSettingsStore,apnea,IOSApneaSettingsView,Apnea settings WC,watch_transfer,no,yes,no,yes_diving_snorkeling,manual,PASS,P1,0,
snorkeling.gps.tracking,GPS route tracking,SnorkelingSettingsStore,IOSSnorkelingSettingsStore,snorkeling,IOSSnorkelingSettingsView,Snorkeling WC,watch_transfer,no,no,yes,yes_diving_apnea,manual,PASS,P1,0,Absent from Diving/Apnea settings controls
snorkeling.return_to_entry_distance,Return-to-entry distance,SnorkelingSettingsStore,IOSSnorkelingSettingsStore,snorkeling,IOSSnorkelingSettingsView,Snorkeling WC,watch_transfer,no,no,yes,yes_diving_apnea,manual,PASS,P1,0,
snorkeling.dip_threshold,Dip detection threshold,SnorkelingSettingsStore,IOSSnorkelingSettingsStore,snorkeling,IOSSnorkelingSettingsView,Snorkeling WC,watch_transfer,no,no,yes,yes_diving_apnea,manual,PASS,P1,0,
watch.settings.hardware_gps_status,Hardware GPS status row,n/a,SettingsView hardware section,shared,none,SettingsView activity-scoped,local_only,yes,yes,yes,n/a,WatchActivitySettingsOwnershipTests,PASS,P1,0,Diving surface + Snorkeling route rows; Apnea hidden
diving.settings.consolidated_store,Diving settings consolidated store,DivingSettingsStore,IOSDivingSettingsStore,diving,IOSDivingSettingsStore facade / MoreView,SettingsView (diving-gated),local_only,yes,no,no,n/a,IOSActivitySettingsCoherenceTests,PASS,P1,0,Facade — no duplicate persistence
shared.settings.registry_coverage,ActivitySettingsVisibility registry,n/a,ActivitySettingsVisibility,shared,iOS only,partial,local_only,yes,yes,yes,n/a,verifyNoCrossScopeLeakage,PASS,,0,iOS registry complete Watch partial
watch.settings.global_refactor,Watch settings activity scoping,n/a,SettingsView + WatchActivitySettingsSections,shared,none,SettingsView,local_only,yes,yes,yes,n/a,WatchActivitySettingsOwnershipTests,PASS,P2,0,Safety export GPS diveLog gated
