Evidence_ID,Area,Requirement,Watch_Automated,iOS_Automated,Active_Dive_Lock,Logbook_Persistence,Physical_Watch_QA,Release_Copy_Safe,Status,Software_Status,Physical_Status,External_Status,Severity,Finding_ID,Test_Reference,Notes
GF-E-001,Preset catalog,Three fixed Watch presets only (20/80 30/70 40/85),FullComputerGradientFactorPresetTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,User conservatism setting not certification
GF-E-002,Watch store,Preset selection persisted pre-confirm,FullComputerGradientFactorSettingsStoreTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,
GF-E-003,Predive confirm,GF frozen at confirmFullComputerPredive,FullComputerPrediveConfigurationStoreTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,No live UserDefaults read during tick
GF-E-004,Active dive lock,GF not mutable during active FC,FullComputerGradientFactorLockContext tests,yes,N/A,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,
GF-E-005,iOS plan import,iOS GF overrides Watch default when valid,DivePlanPackageCodecTests,IOS planner tests,yes,yes,yes,NOT_EXECUTED,yes,CONDITIONAL,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P1,GF-IMPORT-001,FullComputerImportedPlanStoreTests,iOS presets 20/70 30/80 40/85 do not map to Watch 20/80 30/70 40/85 — IOS-MASTER-F016
GF-E-006,iOS plan import,Invalid GF pair fail-closed at import,FullComputerImportedPlanStoreTests,DivePlanPackageCodecTests,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P3,MWFC-P3-004,Checksum vs GF validation order — still fail-closed
GF-E-007,Logbook metadata,GF preset/source stored at dive end,FullComputerDiveLogbookMetadataTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,
GF-E-008,Water auto-open,GF snapshot not bypassed via WAO path,WatchWaterAutoOpenPolicyTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,Routes to predive not live
GF-E-009,Action Button,No GF mutation underwater,WatchUnderwaterActionResolverTests,N/A,yes,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,
GF-E-010,Release copy,GF described as conservatism not validation,CLM-FC-01 + strings scan,N/A,N/A,N/A,N/A,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,N/A,N/A,P4,,,No certified-deco GF claim
GF-E-011,Physical Watch QA,GF Settings UI on wrist hardware,None,N/A,N/A,N/A,N/A,NOT_EXECUTED,yes,NOT_EXECUTED,SOFTWARE_PASS,PENDING_PHYSICAL,N/A,P2,,QA_EVIDENCE/WATCH_ULTRA,Physical Watch GF Settings QA PENDING
GF-E-012,External validation,Bühlmann GF schedule external oracle,Audit15 oracle suites,N/A,N/A,N/A,N/A,NOT_EXECUTED,yes,NOT_EXECUTED,SOFTWARE_PASS,N/A,PENDING_EXTERNAL_VALIDATION,P2,MWFC-P1-001,QA_EVIDENCE/BUHLMANN_EXTERNAL,Internal oracle PASS; external PENDING
GF-E-013,iOS Planner UI,GF preset picker emits valid Watch pairs,N/A,IOSPlanner tests partial,yes,yes,N/A,NOT_EXECUTED,yes,FAIL,SOFTWARE_GAP,N/A,N/A,P1,GF-IMPORT-001,DivePlanPackageBuilder,Only Aggressive 40/85 matches Watch
GF-E-014,Predive UI,GF resolved display at confirmation,FullComputerPrediveConfirmationView static,yes,N/A,yes,yes,NOT_EXECUTED,yes,PASS,SOFTWARE_READY,PENDING_PHYSICAL,N/A,P4,,,
