platform,activity,screen,source_file,navigation_entry,destination,feature_flag,localization,accessibility,mockup_path,test_coverage,readiness,notes
iOS,Global,Activity Selection,iOSApp/Views/IOSCompanionActivitySelectionView.swift,DIRDivingiOSApp legal gate,ContentView/Apnea/Snorkeling roots,none,PASS,PASS,mockups/IOS_COMPANION_ACTIVITY_SELECTION_POST_ONBOARDING.png,IOSCompanionActivitySelectionTests,WORKING,Brand header + IT/EN titles verified
iOS,Global,Legal Onboarding,iOSApp/Views/IOSLegalOnboardingView.swift,App launch,Legal acceptance,none,PASS,PARTIAL,none,IOSCompanionActivitySelectionTests,WORKING,
iOS,Diving,Companion Tabs,iOSApp/Views/ContentView.swift,Activity select Diving,Planner/Logbook/Analysis/Equipment/More,none,PASS,PASS,Docs/ReferenceUI/iOS_Companion_reference.png,UIUXRemediationV2Tests,WORKING,Planner default home not separate Dashboard tab
iOS,Diving,Logbook,iOSApp/Views/LogbookView.swift,ContentView .logbook,DiveDetailView,none,PASS,PASS,none,UIUXRemediationV2Tests,WORKING,Diving-only store DiveLogStore
iOS,Apnea,Root Tabs,iOSApp/Views/Apnea/IOSApneaRootView.swift,Activity select Apnea,Dashboard/Sessions/Statistics/Profiles,none,PASS,PASS,mockups/iOS/APNEA_IOS_01_DASHBOARD.png,IOSApneaCompanionTests,WORKING,Settings via sheet
iOS,Apnea,Logbook Sessions,iOSApp/Views/Apnea/IOSApneaSessionsListView.swift,IOSApneaRootView .sessions,IOSApneaSessionDetailView,none,PASS,PASS,mockups/iOS/APNEA_IOS_10_LOGBOOK.png,SnorkelingAccessibilityContractTests,WORKING,
iOS,Snorkeling,Root Tabs,iOSApp/Views/Snorkeling/IOSSnorkelingRootView.swift,Activity select Snorkeling,Dashboard/Sessions/Statistics/Route/Profiles,none,PASS,PASS,mockups/iOS/SNORKELING_IOS_01_DASHBOARD.png,IOSSnorkelingUIViewContractTests,WORKING,
iOS,Snorkeling,Route Planner Map,iOSApp/Views/Snorkeling/IOSSnorkelingRoutePlannerView.swift,Tab or sheet,MapKit route editor,none,PASS,PARTIAL,mockups/iOS/SNORKELING_IOS_02_ROUTE_PLANNER.png,IOSSnorkelingUIViewContractTests,WORKING,Real map not mock success
iOS,Snorkeling,Session Detail Photos,iOSApp/Views/Snorkeling/IOSSnorkelingSessionDetailView.swift,Sessions list,IOSSnorkelingSessionPhotosView,none,PASS,PASS,mockups/iOS/SNORKELING_IOS_03_SESSION_DETAIL.png,IOSSnorkelingReleaseHardValidationTests,WORKING,Markers + photos linked
watchOS,Diving,Live Dive,Views/DiveLiveView.swift,DiveLiveView route,Gauge/FC panels,none,PASS,PASS,Docs/ReferenceUI/Watch_LIVE_reference.png,DiveManagerAlgorithmIntegrationTests,WORKING,
watchOS,Diving FC,Full Computer Live,Views/FullComputerLivePanels.swift,FC session,Deco/NDL/gas states,none,PASS,PARTIAL,mockups/FC_UI_11_NDL_GREEN.png,FullComputerMockupReferenceMatrixTests,WORKING,25 FC mockups indexed
watchOS,Apnea,Apnea Live,Views/ApneaView.swift,DiveLiveView Apnea route,Ready/dive/recovery/summary,none,PASS,PASS,mockups/Apple_Watch/APNEA_WATCH_01_READY.png,ApneaMockupReferenceMatrixTests,WORKING,
watchOS,Snorkeling,Snorkeling Live,Views/SnorkelingView.swift,DiveLiveView Snorkeling route,Surface/nav/marker/summary,none,PASS,PASS,mockups/Apple_Watch/SNORKELING_WATCH_01_READY.png,SnorkelingMockupReferenceMatrixTests,WORKING,GPS surface-only semantics tested
