QA_ID,Area,Platform,Required_For,Current_Status,Evidence_File,Physical_Device_Required,External_Reviewer_Required,Safe_Test_Setup_Required,Blocks_Internal_TestFlight,Blocks_External_TestFlight,Blocks_App_Store,Notes
QA-001,physical Apple Watch install and paired runtime,Watch+iPhone,device deployment confidence,PENDING,MASTER_PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,Required baseline physical gate
QA-002,depth sensor entitlement and capability validation,Watch,depth capability claims,PENDING,MASTER_PLATFORM_ENTITLEMENT_CAPABILITY_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,Must match entitlement posture
QA-003,wet depth sensor validation,Watch,field depth behavior claims,PENDING,MASTER_WATCH_FULL_COMPUTER_PHYSICAL_QA_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,No simulator substitution allowed
QA-004,CMAltimeter physical validation,Watch,altitude and pressure confidence,PENDING,MASTER_WATCH_FULL_COMPUTER_ALTITUDE_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,Needed for physical claims
QA-005,paired Watch iPhone sync campaign,Watch+iOS,sync trust and evidence,PENDING,MASTER_PHYSICAL_DEVICE_QA_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,Supports CF-003
QA-006,physical iPhone performance profiling,iOS,performance release confidence,PENDING,MASTER_PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,Yes,No,No,No,Yes,No,Manual instrumentation required
QA-007,Instruments profiling campaign,Watch+iOS,performance and thermal evidence,PENDING,MASTER_PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,Yes,No,Yes,No,Yes,No,Attach trace artifacts
QA-008,controlled multilevel dive validation,Watch,FC behavior in controlled profiles,PENDING,MASTER_WATCH_FULL_COMPUTER_MULTILEVEL_DECO_TRANSITION_MATRIX_CURRENT.csv,Yes,No,Yes,No,Yes,Yes,Safety-sensitive physical gate
QA-009,external Buhlmann validation,Watch+iOS,algorithm external claims,PENDING,MASTER_EXTERNAL_VALIDATION_GAPS_CURRENT.md,No,Yes,Yes,No,Yes,Yes,Supports CF-001
QA-010,external Schreiner validation,Watch+iOS,algorithm external claims,PENDING,MASTER_EXTERNAL_VALIDATION_GAPS_CURRENT.md,No,Yes,Yes,No,Yes,Yes,Companion external gate
QA-011,Subsurface comparison campaign,iOS,interop and claim consistency,PENDING,MASTER_EXTERNAL_VALIDATION_GAPS_CURRENT.md,No,Yes,No,No,Yes,Yes,External interop evidence needed
QA-012,CCR external validation if claimed,iOS,CCR wording compliance,PENDING,MASTER_CLAIMS_EVIDENCE_MATRIX_CURRENT.csv,No,Yes,No,No,Yes,Yes,Aligned with CF-009
QA-013,App Store legal review,All,store readiness,PENDING,MASTER_APP_STORE_TESTFLIGHT_BLOCKERS_CURRENT.md,No,Yes,No,Yes,Yes,Yes,Supports CF-011
QA-014,privacy review and disclosure audit,All,privacy claim readiness,PENDING,MASTER_PRIVACY_MANIFEST_DISCLOSURE_MATRIX_CURRENT.csv,No,Yes,No,Yes,Yes,Yes,Required compliance lane
QA-015,accessibility manual QA,Watch+iOS,public quality claims,PENDING,MASTER_UI_UX_EXTERNAL_PHYSICAL_QA_PENDING_CURRENT.md,Yes,No,No,No,Yes,Yes,Manual evidence required
QA-016,localization manual QA,Watch+iOS,copy and parity confidence,PENDING,MASTER_UI_UX_GAP_REMEDIATION_PLAN_CURRENT.md,Yes,No,No,Yes,Yes,Yes,Must close after CF-002
