Gate_ID,Gate_Name,Applies_To_Batch,Applies_To_Findings,Command,Expected_Result,Blocks_Merge,Physical_Required,External_Required,Evidence_File,Notes
G-001,branch main clean,Batch-0,All,git status --short,Docs-only delta or clean,YES,No,No,git status,Baseline integrity
G-002,target isolation,Batch-0;Batch-1,All,./Scripts/check_main_target_isolation.sh,PASS,YES,No,No,Scripts output,Mandatory global gate
G-003,secrets scan,Batch-0;Batch-1,All,./Scripts/check_secrets.sh,PASS,YES,No,No,Scripts output,Mandatory global gate
G-004,localization audit,Batch-1,CF-002,./Scripts/audit_localization.sh,PASS,YES,No,No,Scripts output,Required for DG-LOC-001
G-005,iOS build,Batch-1;Batch-2,CF-002|CF-007,xcodebuild -scheme DIRDiving iOS build,BUILD SUCCEEDED,YES,No,No,Build log,Core build gate
G-006,Watch build,Batch-1;Batch-2,CF-002|CF-007,xcodebuild -scheme DIRDiving Watch App build,BUILD SUCCEEDED,YES,No,No,Build log,Core build gate
G-007,iOS tests,Batch-1,CF-002,xcodebuild -scheme DIRDiving iOS Algorithm Tests test,All tests PASS,YES,No,No,Test log,Parity failures must be zero
G-008,Watch tests,Batch-1,CF-002,xcodebuild -scheme DIRDiving Watch Algorithm Tests test,All tests PASS,YES,No,No,Test log,Parity failures must be zero
G-009,Watch Full Computer oracle replay,Batch-2;Batch-4,CF-001,Audit15MultilevelOracleProfilesTests,PASS,YES,No,No,MASTER_WATCH_FULL_COMPUTER_ORACLE matrix,Required by orchestrator
G-010,Schreiner vectors,Batch-2;Batch-4,CF-001,Watch Schreiner vector suite,PASS,YES,No,No,MASTER_WATCH_FULL_COMPUTER_SCHREINER_TEST_VECTOR_MATRIX_CURRENT.csv,Required by orchestrator
G-011,multilevel ML-01 through ML-10,Batch-2;Batch-4,CF-001,Audit multilevel matrix run,PASS,YES,No,No,MASTER_WATCH_FULL_COMPUTER_MULTILEVEL_DECO_TRANSITION_MATRIX_CURRENT.csv,Required by orchestrator
G-012,altitude matrix,Batch-2;Batch-4,CF-001,Altitude matrix tests,PASS,YES,No,No,MASTER_WATCH_FULL_COMPUTER_ALTITUDE_MATRIX_CURRENT.csv,Required by orchestrator
G-013,Settings ownership tests,Batch-2;Batch-3,CF-004|CF-010,Settings ownership test suite,PASS,YES,No,No,MASTER_IOS_SETTINGS_OWNERSHIP_MATRIX_CURRENT.csv,Required by orchestrator
G-014,Logbook ownership tests,Batch-2;Batch-3,CF-005|CF-010,Logbook ownership and routing tests,PASS,YES,No,No,MASTER_IOS_LOGBOOK_OWNERSHIP_MATRIX_CURRENT.csv,Required by orchestrator
G-015,sync namespace tests,Batch-2,CF-006,Sync namespace tests,PASS,YES,No,No,MASTER_SYNC_MESSAGE_NAMESPACE_MATRIX_CURRENT.csv,Required by orchestrator
G-016,schema migration tests,Batch-2,CF-006,Schema migration compatibility tests,PASS,YES,No,No,MASTER_SCHEMA_MIGRATION_COMPATIBILITY_MATRIX_CURRENT.csv,Required by orchestrator
G-017,backup restore tests,Batch-2,CF-006,Backup restore isolation tests,PASS,YES,No,No,MASTER_BACKUP_RESTORE_ISOLATION_MATRIX_CURRENT.csv,Required by orchestrator
G-018,security malformed payload tests,Batch-2;Batch-4,CF-006|CF-011,Malformed payload rejection tests,PASS,YES,No,No,MASTER_SECURITY_THREAT_MODEL_CURRENT.md,Required by orchestrator
G-019,performance budget tests,Batch-3;Batch-4,CF-003|CF-004,Performance budget checks,PASS,NO,No,No,MASTER_PERFORMANCE_BUDGET_MATRIX_CURRENT.csv,Non-blocking for docs-only phase
G-020,UI snapshot tests,Batch-1;Batch-3,CF-002|CF-010,UI snapshot tests,PASS,NO,No,No,MASTER_VISUAL_REGRESSION_COVERAGE_MATRIX_CURRENT.csv,Regression support gate
G-021,mockup visual regression,Batch-3,CF-010,Visual regression baseline capture,PASS or documented pending,NO,Yes,No,MASTER_MOCKUP_IMPLEMENTATION_MATRIX_CURRENT.csv,Manual-heavy gate
G-022,accessibility checks,Batch-3,CF-003|CF-004,Accessibility audits + manual checks,PASS or documented pending,NO,Yes,No,MASTER_UI_UX_EXTERNAL_PHYSICAL_QA_PENDING_CURRENT.md,Manual-heavy gate
G-023,release claims check,Batch-4,CF-008|CF-009|CF-011,Release claims validation script and doc review,PASS,YES,No,Yes,MASTER_CLAIMS_EVIDENCE_MATRIX_CURRENT.csv,Required by orchestrator
G-024,documentation truthfulness check,Batch-1;Batch-4,CF-008|CF-009|CF-014,Docs truthfulness matrix review,No unsupported claims,YES,No,No,MASTER_DOCUMENTATION_TRUTHFULNESS_MATRIX_CURRENT.csv,Required by orchestrator
