QA_ID,Platform,Scenario,Status,Severity,Evidence,Gap,Next_Action
PHY-W-001,Watch,Physical install and launch,PENDING_PHYSICAL,P1,No run log attached,Unexecuted physical run,Execute install smoke on target watch devices
PHY-W-002,Watch,CMAltimeter available/unavailable paths,PENDING_PHYSICAL,P1,Template-only,No real sensor captures,Run altitude acceptance/reject scenarios
PHY-W-003,Watch,Water auto-open and launch listing,PENDING_PHYSICAL,P1,Template-only,System auto-launch not evidenced,Execute submerged launch physical protocol
PHY-W-004,Watch,Action Button underwater policy,PENDING_PHYSICAL,P1,Template-only,No underwater hardware evidence,Execute action-button wet QA
PHY-W-005,Watch,Digital Crown active-session clamp,PENDING_PHYSICAL,P1,Template-only,No wet/manual evidence,Execute crown wet QA
PHY-W-006,Watch,Checkpoint/restore in field,PENDING_PHYSICAL,P2,None,No field interruption evidence,Run interruption/relaunch matrix
PHY-W-007,Watch,VoiceOver/haptics smallest+Ultra,PENDING_PHYSICAL,P2,None,No manual accessibility runs,Run accessibility matrix on both form factors
PHY-I-001,iPhone,Startup/activity switch paths,PENDING_PHYSICAL,P1,None,No physical logs,Run iPhone startup matrix on supported models
PHY-I-002,iPhone,Planner/logbook/export/PDF/CSV,PENDING_PHYSICAL,P2,None,No physical export evidence,Run export evidence capture batch
PHY-I-003,iPhone,Privacy prompts and settings,PENDING_PHYSICAL,P1,None,No physical prompt walkthrough,Execute permission QA on clean install
PHY-I-004,iPhone,Instruments profiling physical run,PENDING_PHYSICAL,P2,None,No attached traces,Record Instruments profiles
PHY-P-001,Paired,Watch+iPhone sync smoke,EVIDENCE_PENDING,P1,Template-only,No paired field session logs,Execute paired sync smoke protocol
PHY-U-001,Underwater,Depth sensor and shallow wet QA,PENDING_PHYSICAL,P1,Template-only,No wet/chamber artifacts,Run controlled wet/chamber sessions
