ID,Activity,Mode,Feature,Input,Initial_State,Expected_Result,Actual_Result,Absolute_Error,Relative_Error,Pass,Severity,Evidence,Notes
WME-001,Diving,Gauge,Depth validation,depth=-1 stale=true,Surface idle,Reject/clamp; no session corruption,DepthSampleValidation rejects/clamps,0,0,PASS,P2,DiveAlgorithmTests.testDepthValidation*,Negative depth clamped
WME-002,Diving,Gauge,Depth spike,10m→50m in 0.1s,Active dive,Spike flagged; sample excluded or degraded,DepthSampleValidation spike path,0,0,PASS,P2,DiveAlgorithmTests,350m max range enforced
WME-003,Diving,Gauge,Avg depth irregular dt,0/5/30/60s samples,Active dive,Time-weighted mean not arithmetic,DiveAlgorithm.timeWeightedAverageDepth matches test oracle,0,0,PASS,P1,DiveAlgorithmTests.testTimeWeightedAverageDepthHandlesIrregularZeroAndOneSample,Canonical definition verified
WME-004,Diving,Gauge,TTV informational,avg=20m dur=1200s,Active dive,TTV=20+20=40; not NDL,GaugeOptionalTTVTests,0,0,PASS,P0,GaugeOptionalTTVTests; MissionModeAlgorithmInvariantTests,No deco authority
WME-005,Diving,Gauge,Ascent rate zero delta,duplicate timestamp,Ascending,Rate nil or guarded,DiveAlgorithm.ascentRateMetersPerMinute,0,0,PASS,P2,DiveAlgorithmTests,Divide-by-zero protected
WME-006,Diving,Full Computer,NaN depth ingest,depth=NaN,FC active,Fail-closed degraded; tissues unchanged,FullComputerReleaseHardValidationTests,0,0,PASS,P0,FullComputerReleaseHardValidationTests,No false deco clear
WME-007,Diving,Full Computer,Irregular dt 2s gap,depth step multilevel,FC active,Tissues advance by real elapsed 2s,FullComputerRuntimeEngineTests.testIrregularDeltaUsesRealElapsedTime,0,0,PASS,P1,FullComputerRuntimeEngineTests,Actual dt not fixed 1s only
WME-008,Diving,Full Computer,Missed ticks 5s,constant depth,FC active,Tissues catch up capped; degraded flag if excessive,FullComputerRuntimeEngineTests.testMissedTicksStayConservativeWithoutResettingTissues,0,0,PASS,P1,FullComputerRuntimeEngineTests,No tissue reset
WME-009,Diving,Full Computer,Schreiner zero rate,linear 0→0 60s,Air saturated,Haldane limiting case matches constant,BuhlmannCoreCrossTargetEquivalenceTests.testSchreinerLinearLoadMatchesConstantAtZeroRate,0,0,PASS,P1,BuhlmannCoreCrossTargetEquivalenceTests,Shared core on Watch target
WME-010,Diving,Full Computer,Multilevel deco,24m bottom then ascent,FC active,Finite ceiling/NDL/TTS; no NaN,FullComputerReleaseHardValidationTests.testMultilevelProfileProducesFiniteDecoMetrics,0,0,PASS,P1,FullComputerReleaseHardValidationTests,Software multilevel guard
WME-011,Diving,Full Computer,Gas switch ordering,switch at stop,deco active,Old gas interval then new gas; schedule rebuild,FullComputerGasSwitchTimestampTests; FullComputerGasSwitchPolicyTests,0,0,PASS,P0,FullComputerGasSwitchPolicyTests,Mandatory interval order
WME-012,Diving,Full Computer,Stop band 0.5m above,at 6m stop,deco required,Timer paused; stop not credited,FullComputerDecoStopStateMachineTests,0,0,PASS,P0,FullComputerDecoStopStateMachineTests,Stop timer separate from tissues
WME-013,Diving,Full Computer,Checkpoint restore,corrupt checksum,FC mid-dive,Restore fails safely; no partial tissues,FullComputerRecoveryCheckpointTests,0,0,PASS,P0,FullComputerRecoveryCheckpointTests,Idempotent restore tests
WME-014,Diving,Full Computer,Stale solver result,newer tick pending,FC active,Stale result not published,FullComputerRuntimeEngineTests,0,0,PASS,P0,FullComputerRuntimeEngineTests,Fail-closed publication
WME-015,Apnea,Apnea,Recovery 2:1,120s dive last,Recovery,required=240s minimum surface,ApneaRecoveryPolicyLifecycleTests,0,0,PASS,P1,ApneaRecoveryPolicyLifecycleTests,Policy chain verified
WME-016,Apnea,Apnea,Early dive blocked,recovery 10s remaining early disabled,Recovery,Start blocked,ApneaRecoveryPolicyLifecycleTests.testRecoveryIncompleteBlocksManualStartWhenEarlyDiveDisabled,0,0,PASS,P1,ApneaRecoveryPolicyLifecycleTests,
WME-017,Apnea,Apnea,Early dive allowed,recovery 10s remaining early enabled,Recovery,Manual start permitted,ApneaRecoveryPolicyLifecycleTests.testRecoveryIncompleteAllowsManualStartWhenEarlyDiveEnabled,0,0,PASS,P1,ApneaRecoveryPolicyLifecycleTests,
WME-018,Apnea,Apnea,Irregular recovery delta,3s gap during recovery,Recovery active,Recovery clock advances by real dt,ApneaTimeRecoveryCheckpointEngineTests.testIrregularDeltaAdvancesSessionAndRecovery,0,0,PASS,P2,ApneaTimeRecoveryCheckpointEngineTests,
WME-019,Snorkeling,Snorkeling,Underwater GPS fix,depth>0 fix quality measured,Tracking,Distance segment not credited,SnorkelingDistanceConsistencyTests; SnorkelingSensorGPSIngestionTests,0,0,PASS,P1,SnorkelingSensorGPSIngestionTests,Underwater rejection
WME-020,Snorkeling,Snorkeling,Speed spike 10 m/s,measured fix,Tracking,Fix rejected or degraded,SnorkelingSensorGPSIngestionTests,0,0,PASS,P2,SnorkelingSensorGPSIngestionTests,3.5 m/s default max
WME-021,Snorkeling,Snorkeling,Distance parity,live vs persisted route,Post-session,Within documented tolerance,SnorkelingDistanceConsistencyTests,0,0,PASS,P1,SnorkelingDistanceConsistencyTests,Haversine measured-only
WME-022,Snorkeling,Snorkeling,Bearing wrap,359°→1°,Navigation,Stable bearing delta,SnorkelingNavigationReturnEngineTests,0,0,PASS,P2,SnorkelingNavigationReturnEngineTests,
WME-023,Cross,Units,Depth m↔ft round trip,25.0 m,Settings ft display,Presentation converts; storage metric,DIRDivingCompleteLocalizationAuditTests,0,0,PASS,P2,DIRDivingCompleteLocalizationAuditTests,Canonical metric storage
WME-024,Cross,Sync,Malformed HMAC payload,tampered dive session,Pending queue,Reject; no dequeue,WatchSyncServiceIntegrationTests.testInvalidAckDoesNotDequeuePendingSession,0,0,PASS,P0,WatchSyncCryptographicLogicTests,Fail-closed sync
WME-025,Cross,Briefing,Legacy gasEmergency kind,manifest with gasEmergency+runtime,Import,Supported cards only; no crash,PlannerBriefingLegacyKindDecodeTests,0,0,PASS,P2,PlannerBriefingLegacyKindDecodeTests,Removed kind filtered
WME-026,Diving,Full Computer,Air 39m mandatory deco profile,39m until NDL=0 then multilevel,FC active,Deco appears; schedule finite; clear only when math allows,FullComputerDecoSolverTests; FullComputerRuntimeEngineTests,PENDING_PHYSICAL,—,—,PARTIAL,P1,Software tests cover multilevel; full Audit-15 profile not single named test,External reference + field validation pending
WME-027,Diving,Full Computer,Re-descent after deco clear,surface then re-descend,FC active,Deco reappears if tissues require,FullComputerRuntimeEngineTests multilevel paths,PENDING_ORACLE,—,—,PARTIAL,P1,Needs independent oracle vector on hardware
