Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Surface,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_or_Scaffolding,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,External_Legal_Review_Required,Physical_QA_Required,External_Validation_Required,App_Store_Review_Required,Notes
RLC-P2-001,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,No external legal counsel sign-off artifact,App Store / marketing,IOS_APP_STORE_ALGORITHM_MARKETING_REVIEW_CHECKLIST.md,No,Yes,Yes,Yes,LEGAL_REVIEW evidence package + gate policy,Legal row signed,PENDING_LEGAL_REVIEW,NOT_RUN,QA_EVIDENCE/LEGAL_REVIEW/,Release blocked until counsel review,Yes,No,No,Yes,Counsel must sign — not fabricated
RLC-P2-002,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,No App Store marketing assets,App Store,QA_EVIDENCE/APP_STORE_MARKETING/,No,Yes,Yes,Yes,MARKETING_ASSET_CHECKLIST + STATUS/EVIDENCE_TEMPLATE,Screenshots + copy signed,PENDING_MARKETING_SIGN_OFF,NOT_RUN,APP_STORE_MARKETING/,Store submission blocked,Yes,No,No,Yes,Assets remain PENDING
RLC-P2-003,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,External Bühlmann/CCR validation campaigns not executed,Planner/CCR marketing,BUHLMANN_EXTERNAL CCR_EXTERNAL,No,Yes,Yes,Yes,External validation templates + claim gating docs,Reference-only until signed report,PENDING_EXTERNAL_VALIDATION,NOT_RUN,BUHLMANN_EXTERNAL CCR_EXTERNAL,No stronger algorithm claims,Yes,No,Yes,Yes,Internal fixtures only
RLC-P2-004,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,No Ultra underwater field evidence,Watch depth,HARDWARE_ENTITLEMENT WATCH_ULTRA,No,Yes,Yes,Yes,WATCH_ULTRA_ENTITLEMENT_RELEASE_GATE,Field QA-002 artifact,PENDING_PHYSICAL_QA,NOT_RUN,HARDWARE_ENTITLEMENT/,Depth reliability unproven in field,No,Yes,No,Yes,Entitlement != validation
RLC-P2-005,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,No physical VoiceOver/legal journey pass,Accessibility,DYNAMIC_TYPE_VOICEOVER,No,Yes,Yes,Yes,LEGAL_JOURNEY_TEMPLATE + a11y contract tests,Device matrix PASS,PENDING_PHYSICAL_QA,NOT_RUN,DYNAMIC_TYPE_VOICEOVER/,Physical a11y unknown,No,Yes,No,Yes,Software identifier contracts PASS
RLC-P2-006,P2,NOT_PASSED,SCAFFOLDING_COMPLETE,No paired/iCloud field QA,Sync/Cloud,WATCH_IOS_SYNC ICLOUD_TWO_DEVICE,No,Yes,Yes,Yes,Truthful sync/cloud copy + evidence templates,Signed paired-device logs,PENDING_PHYSICAL_QA,NOT_RUN,WATCH_IOS_SYNC ICLOUD_TWO_DEVICE/,Field sync unverified,No,Yes,No,Yes,Codec tests PASS
RLC-P3-001,P3,OPEN,FIXED,No formal incident runbook,Release governance,N/A,No,No,No,Yes,INCIDENT_RESPONSE_RUNBOOK_CURRENT.md,Runbook exists,validate_release_legal_claims_readiness.sh,PASS,INCIDENT_RESPONSE_RUNBOOK_CURRENT.md,Process drift if not maintained,No,No,No,No,Role-based ownership
RLC-P3-002,P3,OPEN,FIXED,No support SLA/escalation doc,Support,N/A,No,No,No,Yes,SUPPORT_ESCALATION_AND_SLA_CURRENT.md,Doc exists with non-binding targets,validate_release_legal_claims_readiness.sh,PASS,SUPPORT_ESCALATION_AND_SLA_CURRENT.md,Dedicated support URL still PENDING,No,No,No,Yes,Not legally binding SLA
RLC-P3-003,P3,OPEN,FIXED,No prohibited-claims automation,CI governance,Scripts/scan_prohibited_claims.py,No,Yes,Yes,Yes,Scanner + allowlist + validate_release_legal_claims.sh,Scanner PASS,validate_release_legal_claims.sh,PASS,scan_prohibited_claims.py,Allowlist maintenance required,No,No,No,No,Production scan gate
RLC-P3-004,P3,OPEN,FIXED,No canonical claims registry,Traceability,CLAIMS_POLICY_REGISTRY_CURRENT.csv,No,Yes,Yes,Yes,Registry MD/CSV + policy Swift,Registry covers minimum IDs,ReleaseLegalClaimsRemediationTests,PASS,CLAIMS_POLICY_REGISTRY_CURRENT.csv,Keep registry updated on copy changes,No,No,No,No,Documentation-only registry
