Consolidated_Finding_ID,Category,Status,Evidence_Template_Path,Blocks_External_TestFlight,Blocks_App_Store,Blocks_Internal_TestFlight_Software,Notes
CONS-009,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/,yes,yes,no,Third-party Bühlmann/decompression compare not executed
CONS-010,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_ULTRA/; Docs/QA_EVIDENCE/WATCH_CMALTIMETER_PHYSICAL/,yes,yes,no,Ultra wet depth + CMAltimeter field QA
CONS-011,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/,yes,yes,no,Paired Watch↔iPhone sync security and UI load
CONS-012,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/ACCESSIBILITY_MANUAL_QA_TEMPLATE.md; Docs/QA_EVIDENCE/IOS_ACCESSIBILITY/,no,yes,no,VoiceOver / Dynamic Type manual matrix
CONS-013,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/PDF_PHYSICAL_RENDER_QA_TEMPLATE.md; Docs/QA_EVIDENCE/PDF_RENDER/,no,yes,no,Golden PDF renders + marketing assets
CONS-021,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_WATER_AUTO_OPEN_*,yes,yes,no,Water auto-open end-to-end wet QA
CONS-022,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_UNDERWATER_FAST_CONTROLS_*,yes,yes,no,Crown / Action Button under Water Lock
CONS-023,PHYSICAL_QA,PENDING_PHYSICAL,Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,yes,yes,no,2–4h FC battery/thermal on Ultra
CONS-024,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/,no,no,no,Large payload paired load profiling
CONS-025,PHYSICAL_QA,PENDING_PHYSICAL,Docs/PHYSICAL_PERFORMANCE_QA_PLAN_CURRENT.md,no,no,no,iOS logbook scroll at session cap
CONS-026,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/SNORKELING_BATTERY_THERMAL/,no,no,no,Snorkeling long-route map FPS
CONS-029,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/ICLOUD_TWO_DEVICE/,no,yes,no,Two-device iCloud tombstone merge
CONS-030,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/SUBSURFACE_CSV/; Docs/QA_EVIDENCE/SUBSURFACE_EXTERNAL/,no,yes,no,Desktop Subsurface CSV round-trip
CONS-031,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/SNORKELING_GPS/,yes,yes,no,Snorkeling field GPS + battery
CONS-032,PHYSICAL_QA,PENDING_PHYSICAL,Docs/QA_EVIDENCE/MANUAL_VISUAL_FIDELITY/; Docs/QA_EVIDENCE/PIXEL_DIFF_EXECUTION_LOG_TEMPLATE.md,no,yes,no,0/59 pixel baselines captured
CONS-033,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/CCR_EXTERNAL/,no,no,no,CCR reference-only external review
CONS-042,PHYSICAL_QA,PENDING_PHYSICAL,Docs/MASTER_SHALLOW_DEPTH_RELEASE_GATE_MATRIX; Docs/QA_EVIDENCE/SHALLOW_*,yes,yes,no,Shallow wet QA + entitlement separation
CONS-043,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/MASTER_WATCH_FULL_COMPUTER_GF_PRESET_MATRIX_CURRENT.csv,no,yes,no,GF preset external Bühlmann spot-check
CONS-044,LEGAL_REVIEW,PENDING_LEGAL_REVIEW,Docs/QA_EVIDENCE/LEGAL_REVIEW/; Docs/QA_EVIDENCE/APP_STORE_MARKETING/,no,yes,no,Counsel + marketing sign-off
CONS-045,META_PHYSICAL_EXTERNAL,PENDING_PHYSICAL,Docs/QA_EVIDENCE/** (all physical/external templates),yes,yes,no,Aggregate matrices NOT_EXECUTED at baseline
PHY-AGG-001,PHYSICAL_QA,PENDING_PHYSICAL,Docs/MASTER_PHYSICAL_DEVICE_QA_MATRIX; Docs/MASTER_WATCH_FULL_COMPUTER_PHYSICAL_QA_MATRIX_CURRENT.csv,yes,yes,no,Aggregate physical device QA matrix
PHY-AGG-002,PHYSICAL_QA,PENDING_PHYSICAL,Docs/MASTER_WATER_AUTO_OPEN_PHYSICAL_QA_GATE_CURRENT.csv,yes,yes,no,WAO physical gate pack
PHY-AGG-003,PHYSICAL_QA,PENDING_PHYSICAL,Docs/WATCH_UNDERWATER_HARDWARE_INTERACTION_MATRIX,yes,yes,no,Underwater hardware interaction matrix
EXT-AGG-001,EXTERNAL_VALIDATION,PENDING_EXTERNAL_VALIDATION,Docs/QA_EVIDENCE/RATIO_DECO_EXTERNAL/,yes,yes,no,Ratio Deco / external oracle tolerance campaign
LEG-AGG-001,LEGAL_REVIEW,PENDING_LEGAL_REVIEW,Docs/QA_EVIDENCE/LEGAL_REVIEW/EVIDENCE_TEMPLATE.md,no,yes,no,Legal counsel approval artifacts
ASR-AGG-001,APP_STORE_REVIEW,PENDING_APP_STORE_REVIEW,,yes,yes,no,App Store review not started
