Topic,Expected_State,Documented_State,Status,Gap,Required_Action,Priority
Water auto-open routing,Closed as CONS-050 with no auto session start,Documented in remediation/gate docs,PASS,None,Keep references current,P1
Submerged auto-launch setup,Documented with limitation and pending physical evidence,Documented but not uniformly linked,PARTIAL,Index discoverability,Add index links,P2
Digital Crown underwater clamp,Policy documented and tested,Documented,PASS,None,Maintain traceability,P2
Action Button routing-only policy,No direct unsafe authority claim,Documented,PASS,None,Maintain policy in UX docs,P2
Full Computer predive routing,Auto-open routes to predive confirmation only,Documented,PASS,None,Retain in FC docs,P1
GF lock during active runtime,No active-dive GF mutation,Documented in FC docs,PASS,None,Keep in release docs,P1
Shallow entitlement separation,WithShallowDepth vs WithWaterSubmersion separated,Documented,PASS,None,Maintain entitlement matrix,P1
Developer shallow toggles,Internal/testflight-only and default safe stance,Documented,PASS,None,Keep pending physical labels,P1
Physical watch wet QA,Pending unless evidence exists,Documented pending,PASS,None,Do not auto-upgrade,P0
GPS non-regression vs FC math,No FC algorithmic regression from GPS features,Documented in boundary audits,PASS,None,Keep boundary gate explicit,P0
