Family,Activity,Mode,Feature,Files,Canonical_Source,Validation_Source,Projection_Source,Persistence_Source,Presentation_Source,Export_Source,Tests,Reachable_From_UI,Target_Membership,Physical_QA,External_Validation,Readiness_Percent,Notes
Apnea Root,Apnea,All,Four-tab companion root,iOSApp/Views/Apnea/IOSApneaRootView.swift,IOSApneaNavigationStore,IOSApneaCompanionTests,n/a,Apnea nav tokens,IOSApneaRootView,n/a,IOSApneaCompanionTests,yes,DIRDiving iOS,PENDING,N/A,92,Dashboard sessions statistics profiles
Apnea Dashboard,Apnea,All,Last session + quick actions,iOSApp/Views/Apnea/IOSApneaDashboardView.swift,IOSApneaDashboardPresentationMapper,IOSApneaCompanionTests,IOSApneaLogbookStore,n/a,IOSApneaDashboardView,n/a,IOSApneaCompanionTests,yes,DIRDiving iOS,PENDING,N/A,91,Gear opens Settings Apnea scope
Apnea Session Planner,Apnea,All,Pyramid/table plans,iOSApp/Views/Apnea/IOSApneaSessionPlannerView.swift,ApneaSessionPlanValidator,IOSApneaCompanionTests,IOSApneaPlannerStore,dirdiving_ios_apnea_planner,IOSApneaSessionPlannerView,IOSApneaWatchTransferService,IOSApneaCompanionTests,yes,DIRDiving iOS,PENDING,N/A,91,Validation rejects bad pyramid
Apnea Profiles,Apnea,All,Preset + custom profiles,iOSApp/Services/IOSApneaProfileStore.swift,IOSApneaProfileStore,IOSApneaCompanionTests,n/a,dirdiving_ios_apnea_profiles,IOSApneaProfilesView,n/a,IOSApneaCompanionTests,yes,DIRDiving iOS,PENDING,N/A,92,6+ presets; custom CRUD
Apnea Training Tables,Apnea,All,Static/dynamic tables,iOSApp/Views/Apnea/IOSApneaTrainingTablesView.swift,ApneaTrainingTableBuilder,ApneaTrainingTableBuilderTests,n/a,n/a,IOSApneaTrainingTablesView,n/a,ApneaTrainingTableBuilderTests,yes,DIRDiving iOS,PENDING,N/A,90,No deco math
Apnea Settings,Apnea,All,Recovery targets alarms,iOSApp/Views/Apnea/IOSApneaSettingsContent.swift,IOSApneaSettingsStore,IOSActivitySettingsContentVisibilityTests,n/a,dirdiving_ios_apnea_settings_v1,IOSApneaSettingsForm,n/a,IOSApneaCompanionTests,yes,DIRDiving iOS,PENDING,N/A,93,Below mode switcher; no GF/gas
Apnea Logbook,Apnea,All,Session list + detail,iOSApp/Services/IOSApneaLogbookStore.swift,IOSApneaLogbookStore,IOSActivityLogbookRoutingTests,n/a,dirdiving_ios_apnea_sessions.json,IOSApneaSessionsListView,IOSApneaSessionExportService,IOSApneaLogbookAnalyticsTests,yes,DIRDiving iOS,PENDING,N/A,91,Strict Apnea ownership
Apnea Statistics,Apnea,All,Session analytics,iOSApp/Views/Apnea/*Statistics*,IOSApneaLogbookStore aggregates,IOSApneaLogbookAnalyticsTests,n/a,n/a,Statistics tab,n/a,IOSApneaLogbookAnalyticsTests,yes,DIRDiving iOS,PENDING,N/A,90,Apnea-only queries
Apnea Equipment,Apnea,All,Apnea equipment store,iOSApp/Views/Apnea/IOSApneaEquipmentView.swift,IOSApneaEquipmentStore,IOSApneaMapEquipmentExportTests,n/a,dirdiving_ios_apnea_equipment,IOSApneaEquipmentView,n/a,IOSApneaMapEquipmentExportTests,yes,DIRDiving iOS,PENDING,N/A,90,Separate from diving equipment
Apnea Buddy Safety,Apnea,All,Buddy safety checklist,iOSApp/Views/Apnea/IOSApneaBuddySafetyView.swift,IOSApneaBuddySafetyStore,ApneaChecklistTests,n/a,n/a,IOSApneaBuddySafetyView,n/a,ApneaChecklistTests,yes,DIRDiving iOS,PENDING,N/A,90,
Apnea Checklist,Apnea,All,Apnea operational checklist,iOSApp/Views/Apnea/IOSApneaChecklistView.swift,Apnea checklist models,ApneaChecklistTests,n/a,n/a,IOSApneaChecklistView,n/a,ApneaChecklistTests,yes,DIRDiving iOS,PENDING,N/A,90,
Apnea Export,Apnea,All,GPX/JSON export,iOSApp/Services/IOSApneaSessionExportService.swift,ApneaExportPrivacyPolicy,ApneaExportPayloadBuilderTests,n/a,n/a,IOSApneaSessionExportView,IOSApneaSessionExportService,ApneaExportPayloadBuilderTests,yes,DIRDiving iOS,PENDING,N/A,91,Privacy confirmation gates
Apnea Watch Transfer,Apnea,All,Signed plan packages,iOSApp/Services/IOSApneaWatchTransferService.swift,ApneaSyncCodec,ApneaSyncCodecTests,ApneaSyncTransferSupport,WC,Planner transfer UI,n/a,ApneaOfflineOnlineEndToEndIntegrationTests,yes,DIRDiving iOS,PENDING,N/A,90,HMAC + schema version
Apnea Fake Logbook,Apnea,All,Demo sessions toggle,iOSApp/Services/IOSActivityDemoLogbookSettingsStore.swift,IOSActivityDemoLogbookSettingsStore,ApneaDemoLogbookPresentationTests,n/a,dirdiving.ios.apnea.fakeLogbook.enabled,Apnea Settings,n/a,ApneaDemoLogbookPresentationTests,yes,DIRDiving iOS,PENDING,N/A,93,Default OFF; DEMO section
Apnea Cloud Backup,Apnea,All,iCloud stub disclosure,iOSApp/Services/IOSApneaLogbookStore.swift,ApneaCloudCapability,ApneaCloudBackupStubTruthfulnessTests,n/a,n/a,Settings copy,n/a,ApneaCloudBackupStubTruthfulnessTests,yes,DIRDiving iOS,PENDING,N/A,85,IOS-P3-002 stub honest
Apnea Watch Live Session,Apnea,All,Runtime on Watch @76f3703,Watch Apnea runtime,ApneaSessionEngine,ApneaArchitectureIsolationTests (Watch),Watch,n/a,Watch UI,n/a,ApneaReleaseHardValidationTests,no,Watch primary,PENDING,N/A,91,iOS imports completed sessions only
Apnea P1/P2/P3 Training,Apnea,All,Compound training steps,Watch ApneaSessionEngine,ApneaTrainingStepRuntimeEvaluator,Watch tests,Watch,n/a,Watch,n/a,Watch Apnea tests,no,Watch,PENDING,N/A,90,@76f3703; iOS companion does not execute
