QA_ID,Platform,Device_Class,Activity,Scenario,Evidence_Type,Evidence_Folder,Procedure_Doc,Status,Tester,Reviewer,Date,Notes
PDQ-W-001,Watch,Ultra,Diving,Mock depth fallback banner when no entitlement,physical Watch,QA_EVIDENCE/WATCH_ULTRA,WATCH_ULTRA_PHYSICAL_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-W-002,Watch,Ultra,Diving,Auto-depth lifecycle start/stop,physical Watch,QA_EVIDENCE/WATCH_ULTRA,WATCH_ULTRA_PHYSICAL_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-W-003,Watch,Ultra,Diving,Underwater submersion depth callback,underwater,QA_EVIDENCE/WATCH_ULTRA,HARDWARE_QA_MATRIX.md QA-002,NOT_PASSED,,,,Entitlement-signed build
PDQ-W-004,Watch,Ultra,Diving,Stale depth warning timing,physical Watch,QA_EVIDENCE/WATCH_ULTRA,HARDWARE_QA_MATRIX.md QA-003,NOT_PASSED,,,,
PDQ-W-005,Watch,Ultra,Diving,Max-depth warnings 35/38/40m policy,physical Watch,QA_EVIDENCE/WATCH_ULTRA,HARDWARE_QA_MATRIX.md QA-004,NOT_PASSED,,,,Safe test input only
PDQ-W-006,Watch,Ultra,Diving,Ascent rate haptics enabled/disabled,physical Watch,QA_EVIDENCE/WATCH_ULTRA,HARDWARE_QA_MATRIX.md QA-006,NOT_PASSED,,,,
PDQ-W-007,Watch,Ultra,Diving,GPS surface entry/exit outdoors,physical Watch,QA_EVIDENCE/WATCH_ULTRA,HARDWARE_QA_MATRIX.md QA-007,NOT_PASSED,,,,
PDQ-W-008,Watch,41mm,All,Smallest Watch layout clipping,physical Watch,QA_EVIDENCE/SNORKELING_WATCH_LAYOUTS,WATCH_ULTRA_PHYSICAL_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-W-009,Watch,Ultra,Apnea,Battery/thermal long session,physical Watch,QA_EVIDENCE/APNEA_BATTERY_THERMAL,APNEA release checklist,NOT_PASSED,,,,
PDQ-W-010,Watch,Ultra,Snorkeling,Battery/thermal long route,physical Watch,QA_EVIDENCE/SNORKELING_BATTERY_THERMAL,SNORKELING_BATTERY_THERMAL/PROCEDURE.md,NOT_PASSED,,,,
PDQ-W-011,Watch,Ultra,Snorkeling,Water Lock wet glove interaction,physical Watch,QA_EVIDENCE/SNORKELING_WATER_LOCK,SNORKELING_WATER_LOCK/PROCEDURE.md,NOT_PASSED,,,,
PDQ-W-012,Watch,Ultra,Apnea,Wet interaction session,physical Watch,QA_EVIDENCE/APNEA_WET_INTERACTION,Apnea QA README,NOT_PASSED,,,,
PDQ-I-001,iPhone,Standard,Diving,Planner visual QA at Dynamic Type XL,physical iPhone,QA_EVIDENCE/IOS_ACCESSIBILITY,IOS_PLANNER_VISUAL_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-I-002,iPhone,Standard,Diving,MOD switch depth visual QA,physical iPhone,QA_EVIDENCE/IOS_ACCESSIBILITY,IOS_MOD_SWITCH_DEPTH_VISUAL_QA.md,NOT_PASSED,,,,
PDQ-I-003,iPhone,Standard,Diving,Ratio deco visual QA,physical iPhone,QA_EVIDENCE/RATIO_DECO_SIMULATOR,IOS_RATIO_DECO_VISUAL_QA.md,NOT_PASSED,,,,
PDQ-I-004,iPhone,Standard,All,VoiceOver journey Dynamic Type,physical iPhone,QA_EVIDENCE/DYNAMIC_TYPE_VOICEOVER,IOS_DYNAMIC_TYPE_VOICEOVER_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-I-005,iPhone,Standard,Diving,500+ logbook scroll interaction,physical iPhone,QA_EVIDENCE/IOS_ACCESSIBILITY,PERFORMANCE_EXTERNAL_QA_PENDING_CURRENT.md,NOT_PASSED,,,,
PDQ-I-006,iPhone,Standard,Snorkeling,Map interaction long route,physical iPhone,QA_EVIDENCE/SNORKELING_IOS_MAPS,Snorkeling QA index,NOT_PASSED,,,,
PDQ-I-007,iPhone,Standard,All,PDF render/share manual QA,physical iPhone,QA_EVIDENCE/PDF_RENDER,PDF_SHARE_MANUAL_QA_CHECKLIST.md,NOT_PASSED,,,,
PDQ-P-001,Paired,Watch+iPhone,Diving,Direct WC sync with signed ACK,paired-device,QA_EVIDENCE/WATCH_IOS_SYNC,WATCH_IOS_SYNC_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-P-002,Paired,Watch+iPhone,Diving,Queued sync offline then reconnect,paired-device,QA_EVIDENCE/WATCH_IOS_SYNC,HARDWARE_QA_MATRIX.md QA-009,NOT_PASSED,,,,
PDQ-P-003,Paired,Watch+iPhone,Apnea,Session pull/push,paired-device,QA_EVIDENCE/APNEA_IOS_WATCH_SYNC,Apnea QA README,NOT_PASSED,,,,
PDQ-P-004,Paired,Watch+iPhone,Snorkeling,Session/route sync,paired-device,QA_EVIDENCE/SNORKELING_IOS_WATCH_SYNC,SNORKELING_QA_EVIDENCE_INDEX.md,NOT_PASSED,,,,
PDQ-P-005,Paired,Watch+iPhone,All,Pair/unpair trust lifecycle,paired-device,QA_EVIDENCE/SNORKELING_PAIR_UNPAIR,SNORKELING QA SNK-QA-018,NOT_PASSED,,,,
PDQ-P-006,Paired,Two iPhones,Diving,iCloud tombstone propagation,paired-device,QA_EVIDENCE/ICLOUD_TWO_DEVICE,ICLOUD_TWO_DEVICE_QA_MATRIX.md,NOT_PASSED,,,,
PDQ-P-007,Paired,Watch+iPhone,All,Low-battery sync under load,paired-device,QA_EVIDENCE/WATCH_IOS_SYNC,PERFORMANCE_EXTERNAL_QA_PENDING_CURRENT.md,NOT_PASSED,,,,
PDQ-P-008,Paired,Watch+iPhone,Diving,Photo transfer allowed/rejected,paired-device,QA_EVIDENCE/WATCH_IOS_SYNC,HARDWARE_QA_MATRIX.md QA-013,NOT_PASSED,,,,
PDQ-E-001,External,N/A,Diving,Bühlmann third-party golden validation,external reference,QA_EVIDENCE/BUHLMANN_EXTERNAL,BUHLMANN external plan,NOT_PASSED,,,,
PDQ-E-002,External,N/A,Diving,CCR rebreather external validation,external reference,QA_EVIDENCE/CCR_EXTERNAL,CCR_REBREATHER_VALIDATION_EVIDENCE.md,NOT_PASSED,,,,
PDQ-E-003,External,N/A,Diving,Subsurface CSV round-trip,external reference,QA_EVIDENCE/SUBSURFACE_EXTERNAL,SUBSURFACE_CSV_ROUNDTRIP.md,NOT_PASSED,,,,
PDQ-E-004,External,N/A,All,App Store marketing/screenshots,legal/compliance review,QA_EVIDENCE/APP_STORE_MARKETING,RELEASE_CHECKLIST.md,NOT_PASSED,,,,
