Activity,Mode,Feature,Canonical_Source,Input_Validation,Runtime_State_Owner,Persistence,Sync,Presentation,Tests,External_Validation,Readiness_Pct
Diving,Gauge,Depth,DepthSampleValidation.swift; DiveManager.processDepthMeasurement,DepthSampleValidationState.validate,Gauge/DiveManager,DiveSession.samples; active draft,WatchDiveSyncCodec,GaugeView depth hero,DiveAlgorithmTests; DiveDepthMeasurementIngestionTests,Physical Ultra depth QA pending,97
Diving,Gauge,Max depth,DiveManager.processDepthMeasurement,DepthSampleValidation,Gauge/DiveManager,DiveSession.maxDepthMeters,WatchDiveSyncCodec,GaugeView,DiveAlgorithmTests,Physical Ultra QA pending,97
Diving,Gauge,Average depth,DiveAlgorithm.timeWeightedAverageDepth,DiveManager sample ordering,Gauge/DiveManager,DiveSession.avgDepthMeters,WatchDiveSyncCodec,GaugeView,DiveAlgorithmTests.testTimeWeightedAverageDepth*,Physical Ultra QA pending,98
Diving,Gauge,Runtime,DiveManager.updateRuntimeFromClock,Monotonic clock guards,Gauge/DiveManager,DiveSession.durationSeconds,WatchDiveSyncCodec,GaugeView,DiveManagerAlgorithmIntegrationTests,Physical Ultra QA pending,97
Diving,Gauge,Ascent rate,DiveAlgorithm.ascentRateMetersPerMinute,5s window min 1s delta,Gauge/DiveManager,DiveSession samples derived,WatchDiveSyncCodec,GaugeView; AscentSafetyHapticCoordinator,DiveAlgorithmTests.testTTVIndexAndAscentRateBehavior,Physical haptic QA pending,97
Diving,Gauge,TTV,DiveAlgorithm.ttvIndex,Informational only; finite guards,Gauge/DiveManager,DiveSession.ttv,WatchDiveSyncCodec,GaugeView,GaugeOptionalTTVTests; MissionModeAlgorithmInvariantTests,Not NDL/TTS/deco authority verified,99
Diving,Gauge,Lifecycle thresholds,DiveManager depth automation,Debounced auto-start/stop,Gauge/DiveManager,Active draft checkpoint,DiveSession transfer,DiveView,DiveManagerAlgorithmIntegrationTests,Physical start/stop QA pending,96
Diving,Full Computer,16 N2/He compartments,Shared/BuhlmannCore/BuhlmannTissueModel,BuhlmannConstants.compartmentCount=16,FullComputerRuntimeEngine,FullComputerRuntimeCheckpointCodec,No live FC sync to planner,FullComputerView,FullComputerRecoveryCheckpointTests; BuhlmannCoreCrossTargetEquivalenceTests,External Bühlmann reference pending,98
Diving,Full Computer,Schreiner/Haldane,BuhlmannTissueModel.schreiner/loadedLinearDepth,Finite depth/gas guards,FullComputerRuntimeEngine,Checkpoint tissue vectors,Reference briefing only,FC deco panel,BuhlmannCoreCrossTargetEquivalenceTests; FullComputerRuntimeEngineTests,External reference pending,98
Diving,Full Computer,Actual elapsed dt,FullComputerRuntimeEngine.ingestSample/tick,Real timestamp delta capped,FullComputerRuntimeEngine,Checkpoint timestamps,—,FC runtime,FullComputerRuntimeEngineTests.testIrregularDeltaUsesRealElapsedTime,Simulator only,98
Diving,Full Computer,GF ceiling/NDL/TTS,BuhlmannEngine.runtimeProjection; FullComputerDecoSolver,GF Low<=High validation,FullComputerRuntimeEngine,Checkpoint GF snapshot,—,FC schedule panel,FullComputerDecoSolverTests; FullComputerReleaseHardValidationTests,External reference pending,97
Diving,Full Computer,Gas switch policy,FullComputerRuntimeEngine gas switch APIs,Explicit confirmation required,FullComputerRuntimeEngine,Checkpoint active gas,—,FC gas UI,FullComputerGasSwitchPolicyTests; FullComputerGasSwitchTimestampTests,Physical QA pending,98
Diving,Full Computer,Deco stop state machine,FullComputerDecoStopStateMachine,Stop band/tolerance rules,FullComputerRuntimeEngine,Checkpoint stop state,—,FC stop UI,FullComputerDecoStopStateMachineTests,Physical stop timing QA pending,97
Diving,Full Computer,Fail-closed errors,FullComputerRuntimeEngine degraded state,NaN/Inf/stale rejection,FullComputerRuntimeEngine,No fresh-tissue fallback,—,Error/stale UI,FullComputerReleaseHardValidationTests,—,99
Diving,Full Computer,CNS/OTU live,Not implemented on Watch FC,—,—,—,—,Not shown as live,FullComputerWatchArchitectureGuardTests,Planner cards reference-only,100
Apnea,Apnea,Recovery policy,ApneaRecoveryPolicy; ApneaRecoveryComputation,Mode validation,ApneaSessionEngine,Apnea checkpoint,ApneaSessionSyncCodec,ApneaWatchPresentation,ApneaRecoveryPolicyLifecycleTests (17),Physical wet QA pending,99
Apnea,Apnea,Early-dive gating,ApneaSessionEngine.canStartDiveDespiteRecovery,Recovery incomplete rules,ApneaSessionEngine,Checkpoint recovery state,Apnea sync,ApneaView,ApneaRecoveryPolicyLifecycleTests,Physical QA pending,99
Apnea,Apnea,Depth/runtime/max depth,ApneaSessionEngine,Monotonic timestamps,ApneaWatchRuntimeStore,Apnea checkpoint,ApneaSessionSyncCodec,ApneaWatchPresentation,ApneaLifecycleEngineTests; ApneaMonotonicClockRestoreTests,Physical QA pending,97
Snorkeling,Snorkeling,GPS filtering,SnorkelingGPSFeed.ingest,Accuracy/stale/speed/underwater,SnorkelingWatchRuntimeStore,Snorkeling route checkpoint,SnorkelingSessionSyncCodec,SnorkelingView,SnorkelingSensorGPSIngestionTests,Physical GPS QA pending,96
Snorkeling,Snorkeling,Surface distance,SnorkelingDomainSupport Haversine,Measured-only segments,SnorkelingWatchRuntimeStore,Route distance persisted,Snorkeling sync,SnorkelingWatchPresentation,SnorkelingDistanceConsistencyTests,Physical GPS QA pending,98
Snorkeling,Snorkeling,Bearing/return-to-entry,SnorkelingNavigationReturnEngine,Waypoint skip/selection,SnorkelingWatchRuntimeStore,Route/waypoints,Snorkeling sync,SnorkelingView,SnorkelingNavigationReturnEngineTests,Physical GPS QA pending,96
Snorkeling,Snorkeling,Dip lifecycle,SnorkelingLifecycleEngine,Depth threshold rules,SnorkelingWatchRuntimeStore,Dip markers,Snorkeling sync,SnorkelingView,SnorkelingLifecycleEngineTests,Physical QA pending,96
Cross,Units,Depth/temp/pressure conversion,Formatters + settings stores,Canonical metric storage,Per-activity settings,Canonical in persistence,Codec preserves units,Localized presentation,DIRDivingCompleteLocalizationAuditTests,—,98
Cross,Sync,Encrypted session transport,WatchDiveSyncCodec; Apnea/Snorkeling codecs,HMAC/nonce/replay,WatchSyncService,Pending queues,ACK after verify,Status banners,WatchSyncCryptographicLogicTests; WatchSyncServiceIntegrationTests,Paired device QA pending,97
Cross,Briefing,Planner reference cards,PlannerBriefingCardStore,Lenient kind filter; hash verify,PlannerBriefingCardStore,Manifest+PNG,WatchConnectivity import,PlannerBriefingCardsView,PlannerBriefingCardKindMatrixTests; PlannerBriefingLegacyKindDecodeTests,Reference-only verified,98
