Finding_ID,Severity,Priority,Area,Title,Root_Cause,Affected_Files,Affected_Profile,Mathematical_Impact,Safety_Impact,User_Visible_Impact,Required_Remediation,Acceptance_Test,Release_Impact,Physical_QA,External_Validation,Evidence,Status
WFC-P1-001,P1,P1,External validation,External Bühlmann decompression validation not executed,No third-party tool or chamber comparison at baseline,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/,All profiles,N/A,Cannot claim external parity,Docs must not imply certified decompression,Execute Subsurface/RatioDeco spot-check campaign,Signed QA_EVIDENCE artifacts,Blocks App Store algorithm claims,N/A,PENDING_EXTERNAL_VALIDATION,CONS-009; MASTER_CONSOLIDATED_FINDINGS_REGISTER,OPEN
WFC-P2-001,P2,P2,Test infrastructure,Long TTS planner parity test crashed simulator,1320-second tick loop exceeded simulator watchdog @451f8fb,FullComputerDecoSolverTests.swift,32m/22min bottom,N/A,None — test infra,None,Reduce test duration or mark performance test,Test completes on CI hardware,None,N/A,N/A,xcresult signal term @451f8fb,CLOSED @2c30412 testPlannerRuntimeTTSWithinTolerance PASS 0.474s
WFC-P2-002,P2,P2,Physical QA,Physical Apple Watch Full Computer QA not executed,No wet depth/CMAltimeter field evidence,MASTER_WATCH_FULL_COMPUTER_PHYSICAL_QA_MATRIX,N/A,N/A,Unverified sensor path,None,Execute physical QA matrix,PENDING_PHYSICAL sign-off,Blocks physical release claim,PENDING_PHYSICAL,N/A,CONS-042,OPEN
WFC-P2-003,P2,P2,Altitude oracle,Altitude multilevel ML oracle replay partial at elevation,Most ML suites default sea-level; altitude-specific second-by-second replay limited,Audit15MultilevelOracleProfilesTests,500-2000m,N/A,Potential altitude drift undetected at elevation,None,Extend ML oracle replay at 500/1000/1500/2000m,OrchestratedAltitudeEnvironmentTests extended,P2 software gap,N/A,PENDING_EXTERNAL,OrchestratedAltitudeEnvironmentTests,OPEN
WFC-P2-004,P2,P2,TTS quantization,TTS forward schedule uses 1-minute steps,Conservative quantization in BuhlmannEngine.runtimeProjection,BuhlmannEngine.swift,All deco profiles,TTS up to ~1 min high,Conservative — safe,TTS may read higher than external tools,Document tolerance; optional sub-minute sim,Audit15TTSScheduleOracleSweepTests within 3 min,Documented limitation,N/A,PENDING_EXTERNAL,CONS-016,OPEN (documented)
WFC-P2-005,P2,P2,Water auto-open routing,Water auto-open routing tests fail after Apnea P1/P2/P3,Apnea @76f3703 changed resolveAutomaticStep / DepthCapabilityPolicy test defaults; 12 routing tests expect direct ready/predive,DIRStartupSelectionPolicy.swift;WatchWaterAutoOpenPolicy.swift,N/A,N/A,None for active FC math; routing UX may differ from test expectations,Water auto-open may land on divingModeSelection not direct FC predive,Align tests with intentional routing or fix policy regression,WatchWaterAutoOpenPolicyTests + WatchLaunchRoutingPolicyTests PASS,Blocks 100% Watch test suite green,N/A,N/A,13 failures @2c30412 1152-test run,OPEN
WFC-P2-006,P2,P2,Snorkeling routing,Snorkeling route progress test failure at HEAD,SnorkelingRouteProgressCalculatorTests.testProgressAtStartIsNearZero,SnorkelingRouteProgressCalculator.swift,N/A,N/A,None for FC tissues,None,Investigate Snorkeling progress baseline,Test PASS,Low — Snorkeling isolated from FC,N/A,N/A,@2c30412 test log,OPEN
WFC-P3-001,P3,P3,Test harness,Series 10 simulator unavailable for mandated test destination,Xcode 26.6 simulators lack Apple Watch Series 10,xcodebuild destination,N/A,N/A,None,None,Use Series 11 as fallback documented,Tests pass on available sim,None,N/A,N/A,Series 11 46mm used @2c30412,OPEN
WFC-P3-002,P3,P3,Project structure,Shared Models/Utils duplicate group references in xcodeproj,project.yml group membership warning,project.yml,N/A,N/A,None,None,Fix xcodegen group duplication,xcodebuild clean warning-free,None,N/A,N/A,xcodebuild warning,OPEN
WFC-P4-001,P4,P4,Test defaults,FullComputerRuntimePlan.defaultAirGF3070 uses seaLevelSaltWater,Test/planner convenience default not live start authority,FullComputerRuntimePlan.swift,Tests only,N/A,None in production,None,Document test-only usage,FullComputerRuntimeEngine.canStart requires validated plan,None,N/A,N/A,FullComputerPrediveReadiness gates,OPEN
WFC-P4-002,P4,P4,Observability,Deco solver budget fallback uses stale cache when key changes mid-budget,Edge timing in FullComputerDecoSolver.solve,FullComputerDecoSolver.swift,Rare slow solve,N/A,Conservative stale presentation possible,Brief stale TTS/NDL,Monitor in Instruments; extend test,FullComputerDecoSolverCacheIsolationTests,Low,N/A,N/A,Static review,OPEN
