activity,platform,local_storage_key,icloud_kvs_key,opt_in_control,upload_on_save,tombstone_key,wc_tombstone_broadcast,restore_isolation,test_reference,status,severity,notes
Diving,Watch,dirdiving_sessions.json,dirdiving_watch_dive_sessions,implicit Watch iCloud,CloudSyncStore.save,dirdiving_shared_deleted_session_ids + legacy aliases,dirdiving_deleted_diving_session_tombstones + legacy UUID,yes — diving store only,CloudSessionMergeTests,PASS,,Watch iCloud when available
Diving,iOS,dirdiving_ios_dive_sessions.json,dirdiving_ios_dive_sessions,dirdiving_ios_diving_cloud_backup_enabled (default OFF),DiveLogStore.syncCloudSessionsBackup,dirdiving_ios_deleted_session_ids,dirdiving_deleted_diving_session_tombstones,yes,CloudBackupCapabilityTests,PASS,,Opt-in required; legacy key migrated
Apnea,Watch,dirdiving_apnea_sessions.json,dirdiving_watch_apnea_sessions,Watch iCloud when available,ApneaLogbookStore cloud save,dirdiving_watch_deleted_apnea_session_ids,dirdiving_deleted_apnea_session_tombstones,yes — apnea keys only,ActivitySyncTombstoneWatchTests,PASS,,WC signed tombstones remediated
Apnea,iOS,dirdiving_ios_apnea_sessions.json,none,none (CloudBackupCapability blocks),ApneaCloudCapability blocks upload,local tombstones,dirdiving_deleted_apnea_session_tombstones,yes,ApneaCloudBackupStubTruthfulnessTests,PASS,,Explicit local-only policy
Snorkeling,Watch,dirdiving_snorkeling_sessions.json,none,none,none,local tombstones,dirdiving_deleted_snorkeling_session_tombstones,yes — local file only,ActivitySyncTombstoneTests,PASS,,WC tombstone remediated SYNC-P2-003
Snorkeling,iOS,dirdiving_ios_snorkeling_sessions.json,none,none (CloudBackupCapability blocks),SnorkelingCloudCapability blocks upload,local tombstones,dirdiving_deleted_snorkeling_session_tombstones,yes,IOSSnorkelingReleaseHardValidationTests,PASS,,Explicit local-only policy
Cross: Diving restore → Apnea,iOS,N/A,N/A,N/A,N/A,N/A,N/A,must not merge,IOSActivityLogbookDataIsolationTests,PASS,,Separate filenames
Cross: shared UUID,iOS,N/A,N/A,N/A,N/A,N/A,N/A,independent stores,IOSActivityLogbookDataIsolationTests,PASS,,Same UUID allowed across activities
Shared cloud toggle,iOS,N/A,N/A,CloudBackupCapability per-activity,N/A,N/A,N/A,diving-only upload truth,CloudBackupCapabilityTests,PASS,,SYNC-P1-002 FIXED
FC checkpoint,Watch,dirdiving_fc_runtime_checkpoint.json,none,N/A,N/A,none,none,yes — FC engine only,FullComputerRecoveryCheckpointTests,PASS,,Not merged into logbook stores
Apnea checkpoint,Watch,dirdiving_apnea_session_checkpoint.json,none,N/A,N/A,none,none,yes,ApneaCheckpointFoundationTests,PASS,,Activity-scoped checkpoint files
Snorkeling checkpoint,Watch,dirdiving_snorkeling_session_checkpoint.json,none,N/A,N/A,none,none,yes,SnorkelingWatchRuntimeStorePersistenceTests,PASS,,250ms debounce persist
