Area,Component,Prior_Baseline,Risk_Level,Regression_Observed,Evidence,Mitigation,Pass,Finding_ID,Notes
Startup,Activity selection,451f8fb,Low,None,DIRModesAndStartupFlowTests,yes,yes,,
Water auto-open,WAO routing,76f3703,Medium,Test drift,WatchWaterAutoOpenPolicyTests 11 fail,Align tests or routing doc,MUIUX-P2-005,WFC-P2-005
Crown clamp,Underwater navigation,451f8fb,Low,None,WatchUnderwaterNavigationClampPolicyTests,yes,yes,,
Action Button,Router-only policy,451f8fb,Low,None,WatchUnderwaterActionRouterTests,yes,yes,,
GF presets,iOS↔Watch import,2c30412,Low,Label only,CONS-002 numeric PASS,Align labels,MUIUX-P2-009,
Settings mode switch,iOS companion,451f8fb,Low,None,IOSActivitySettingsModeSwitchTests,yes,yes,,
Apnea P1/P2/P3,runtime/training,76f3703,Low,None,ApneaArchitectureIsolationTests,yes,yes,,
Apnea UI,alarms editor,76f3703,Medium,Missing UI,IOSApneaProfileEditorView scope,Add editor,MUIUX-P2-007,
Snorkeling Settings,isolation,451f8fb,Low,None,IOSSnorkelingSettingsStoreTests,yes,yes,,
Logbook ownership,cross-activity,451f8fb,Low,None,IOSActivityLogbookDataIsolationTests,yes,yes,,
Snorkeling route planner,single entry,451f8fb,Low,None,IOSUIUXRemediationTests,yes,yes,,
Full Computer deco UI,truthfulness,2c30412,Low,None,Audit 01 0 P0 FC,yes,yes,,
Mockup fidelity,pixel baselines,451f8fb,Medium,Unknown,0/59 pixel capture,PENDING_PHYSICAL,partial,MUIUX-P2-001,
Shallow dev toggles,exposure,2c30412,Low,None,DeveloperSettings default OFF,yes,yes,MUIUX-P1-005,
Watch page policy,Apnea/Snorkeling surface,76f3703,Low,UX question,Compass/Images on surface,Review policy,MUIUX-P2-008,
Localization,Apnea Watch title,76f3703,Medium,Hardcoded EN,ApneaView line 76,Localize,MUIUX-P2-006,
Accessibility,contracts,451f8fb,Low,None,audit_accessibility_contracts.sh PASS,Manual pending,partial,MUIUX-P1-003,
Paired sync UI,transfer states,2c30412,Low,None,iOS 1655 tests PASS,Field QA pending,partial,MUIUX-P1-004,
Visual regression,snapshot tests,451f8fb,Medium,Unknown,Structural snapshots only,Pixel diff pending,partial,MUIUX-P2-001,
Snorkeling progress,test,2c30412,Low,1 test fail,SnorkelingRouteProgressCalculatorTests,Fix test,n/a,WFC unrelated UI
