Claim_ID,Activity,Mode,Surface,Claim_Text_or_Key,Allowed,Required_Disclaimer,Evidence_Type,Evidence_Path,Technical_Status,Physical_Status,External_Validation_Status,Legal_Status,Marketing_Status,Release_Blocking,Owner_Role,Last_Reviewed,Notes
CLM-GLOBAL-01,Global,All,All,Not a certified dive computer,yes,SAFETY_DISCLAIMER + onboarding,legal doc + strings,Docs/SAFETY_DISCLAIMER.md,PASS,N/A,N/A,PENDING_LEGAL_REVIEW,PENDING_MARKETING_SIGN_OFF,Yes,Product,2026-06-20,Counsel sign-off pending
CLM-GLOBAL-02,Global,All,Legal flow,legalRevision acceptance,yes,Scroll gate + depth ack,persistence,LegalAcceptanceStore.swift,PASS,N/A,N/A,PASS,N/A,No,Product,2026-06-20,
CLM-GAUGE-01,Diving,Gauge,Watch,TTV informational,yes,Not NDL/TTS/deco,strings,detail.ttv.note,PASS,N/A,N/A,PASS,N/A,No,Algorithm,2026-06-20,
CLM-FC-01,Diving,Full Computer,Watch,Non-certified experimental runtime,yes,briefing.reference_only.footer,architecture + tests,FULL_COMPUTER_ARCHITECTURE.md,PASS,PENDING,PENDING,PASS,N/A,Yes,Algorithm,2026-06-20,Battery field QA pending
CLM-FC-02,Diving,Full Computer,Watch,Depth entitlement disclosure,yes,Field validation pending,docs,HARDWARE_ENTITLEMENT,PASS,PENDING,N/A,PASS,N/A,Yes,Product,2026-06-20,
CLM-PLN-01,Diving,Planner,iOS,Reference-only planner,yes,planner.reference_only.warning,strings + ack,IOS_PLANNER_LIMITATIONS.md,PASS,N/A,PENDING,PASS,PENDING,Yes,Algorithm,2026-06-20,Bühlmann external pending
CLM-PLN-02,Diving,Planner,iOS,Ratio Deco heuristic,yes,planner.ratio_deco.disclaimer,strings,RatioDecoPlannerTests,PASS,N/A,N/A,PASS,N/A,No,Algorithm,2026-06-20,
CLM-PLN-03,Diving,Planner,iOS,CNS/OTU estimates,yes,Reference-only hints,strings,Bühlmann engine design,PASS,N/A,N/A,PASS,N/A,No,Algorithm,2026-06-20,
CLM-CCR-01,Diving,CCR,iOS,Reference CCR planner,yes,ccr.safety.disclaimer,limitations doc,CCR_REBREATHER_LIMITATIONS.md,PASS,N/A,PENDING,PASS,PENDING,Yes,Algorithm,2026-06-20,CCR external pending
CLM-APNEA-01,Apnea,All,Watch+iOS,Recovery policy not medical,yes,No medical guarantee,strings + audit,Apnea lifecycle tests,PASS,N/A,N/A,PASS,N/A,No,Apnea,2026-06-20,
CLM-SNORK-01,Snorkeling,All,Watch,Reference return navigation,yes,GPS quality qualifiers,strings,snorkeling.return.*,PASS,PENDING,N/A,PASS,N/A,Yes,Snorkeling,2026-06-20,Field GPS pending
CLM-GPS-01,All,All,All,Surface-only GPS,yes,more.safety.footer,legal + export,Docs/iOS/SAFETY_DISCLAIMER.md,PASS,N/A,N/A,PASS,N/A,No,Product,2026-06-20,
CLM-EXP-01,All,All,Export,PDF/CSV disclaimers,yes,EXPORT_DISCLAIMER_POLICY,tests,CSVMetadataRoundTripTests,PASS,N/A,PENDING,PASS,N/A,No,Product,2026-06-20,Subsurface external pending
CLM-PRIV-01,All,All,Privacy,No tracking declared,yes,PRIVACY_MANIFEST,manifest,PrivacyInfo.xcprivacy,PASS,N/A,N/A,PASS,N/A,Yes,Security,2026-06-20,App Store review pending
CLM-ENT-01,Diving,All,Watch,Entitlement vs validation,yes,WATCH_ULTRA_ENTITLEMENT_RELEASE_GATE,docs,HARDWARE_ENTITLEMENT,PASS,PENDING,N/A,PASS,N/A,Yes,Product,2026-06-20,
CLM-EQUIP-01,Diving,Checklist,iOS,Operational prep not life-support,yes,PRE_DIVE_CHECKLIST docs,source scan,EquipmentChecklistGenerator,PASS,N/A,N/A,PASS,N/A,No,Product,2026-06-20,
CLM-STORE-01,All,All,App Store,Non-certified positioning,yes,IOS_APP_STORE checklist,checklist,APP_STORE_MARKETING,PASS,N/A,N/A,PENDING,PENDING,Yes,Marketing,2026-06-20,
CLM-STORE-02,All,All,TestFlight,Aligned review notes,yes,TESTFLIGHT_REVIEW_NOTES,doc,TESTFLIGHT_REVIEW_NOTES.md,PASS,N/A,N/A,PASS,N/A,No,Product,2026-06-20,
CLM-SYNC-01,All,All,Sync,No guaranteed instant sync,yes,Sync may be delayed,codec tests,WATCH_IOS_SYNC,PASS,PENDING,N/A,PASS,N/A,Yes,Sync,2026-06-20,
CLM-CLOUD-01,Diving,Logbook,iOS,Diving-only optional iCloud,yes,Apnea/Snorkeling local-only,tests,CloudBackupCapabilityTests,PASS,PENDING,N/A,PASS,N/A,Yes,Cloud,2026-06-20,iCloud two-device pending
CLM-LEGAL-01,All,All,Terms/Privacy,Non-binding terms,yes,TERMS_OF_USE,legal tests,IOSLegalSettingsLocalizationTests,PASS,N/A,N/A,PENDING,N/A,Yes,Legal,2026-06-20,
CLM-BM-EXT-01,Diving,Planner,Marketing,Reference-only until external,yes,BUHLMANN_EXTERNAL template,fixtures,BuhlmannReferenceFixtureTests,PASS,N/A,PENDING,PASS,PENDING,Yes,Algorithm,2026-06-20,
CLM-CCR-EXT-01,Diving,CCR,Marketing,Reference-only until external,yes,CCR_EXTERNAL template,tests,CCRMathRemediationTests,PASS,N/A,PENDING,PASS,PENDING,Yes,Algorithm,2026-06-20,
