Boundary_ID,Apnea_Feature,FC_Exposure_Risk,Production_Isolation,Test_Coverage,Test_Result@48f8af2,Physical_QA,Verdict,Notes
APNEA-FC-001,ApneaSessionEngine lifecycle,No FC tissue mutation,Separate engine,ApneaArchitectureIsolationTests,PASS,PENDING_PHYSICAL,PASS,No Buhlmann symbols
APNEA-FC-002,Apnea logbook store,No DiveLogStore write,ApneaLogbookStore only,ApneaArchitectureIsolationTests,PASS,PENDING_PHYSICAL,PASS,
APNEA-FC-003,Apnea sync codec,No dive session keys,Separate namespace,testSyncNamespaceKeysRemainIsolated,PASS,PENDING_PHYSICAL,PASS,
APNEA-FC-004,Apnea recovery math,No GF/deco settings,ApneaRecoveryPolicy,ApneaRecoveryPolicyLifecycleTests,PASS,PENDING_PHYSICAL,PASS,No medical guarantee
APNEA-FC-005,Apnea settings ownership,No FC GF in Apnea,WatchActivitySettingsOwnershipTests,PASS,PENDING_PHYSICAL,PASS,
APNEA-FC-006,Apnea training P1/P2/P3,No FC runtime coupling,ApneaTrainingStepRuntimeEvaluator,ApneaTrainingStepRuntimeEvaluatorTests,PASS,PENDING_PHYSICAL,PASS,@76f3703
APNEA-FC-007,Apnea checkpoint restore,No FC checkpoint cross-read,ApneaSessionCheckpoint,ApneaCheckpointFailureInjectionTests,PASS,PENDING_PHYSICAL,PASS,
APNEA-FC-008,Apnea depth feed,Shared DepthMeasurementFeed read-only,DepthMeasurementFeed,ApneaWatchSensorQualityTests,PASS,PENDING_PHYSICAL,PASS,Feed shared; FC tissues separate
APNEA-FC-009,Apnea iOS mode switch,No remote FC session switch,iOS Settings,Activity sync isolation,PASS,PENDING_PHYSICAL,PASS,Static policy
APNEA-FC-010,Apnea localization,No decompression wording,Apnea strings,ApneaReleaseHardValidationTests,PASS,N/A,PASS,
APNEA-FC-011,Apnea WAO routing,No auto-start Apnea; depth policy gate,DIRStartupSelectionPolicy,WatchWaterAutoOpenPolicyTests;WatchLaunchRoutingPolicyTests,PASS,PENDING_PHYSICAL,PASS,CONS-050 closed @R09; test harness aligned
APNEA-FC-012,Apnea Action Button,Router-only; no FC session start,App intent router,Apnea action intent tests,PASS,PENDING_PHYSICAL,PASS,
APNEA-FC-013,Apnea Crown underwater,Activity-restricted paging,WatchUnderwaterPagePolicy,Underwater policy tests,PASS,PENDING_PHYSICAL,PASS,Software clamp PASS
