namespace_id,direction,mechanism,payload_key_or_transfer_type,ack_type,store_target,hmac,replay_cache,activity_envelope,test_reference,status,severity,notes
NS-DIVE-SESSION,Bidirectional,WC message/userInfo,dirdiving_dive_session,diveImportAck + ackSignature,Dive logbook stores,yes,yes,yes (diving),ActivitySyncCrossDecodeRejectionTests,PASS,,Diving-only session namespace
NS-APNEA-SESSION,Bidirectional,WC message/userInfo,dirdiving_apnea_session,dirdiving_apnea_session_import_ack,Apnea logbook stores,yes,yes,yes (apnea),ApneaSessionSyncTransportNegativeTests,PASS,,Apnea isolated from diving/deco namespace
NS-SNORKEL-SESSION,Bidirectional,WC message/userInfo,dirdiving_snorkeling_session_sync,dirdiving_snorkeling_session_import_ack,Snorkeling logbook stores,yes,yes,yes (snorkeling),SnorkelingSessionSyncTransportNegativeTests,PASS,,Snorkeling isolated session route
NS-SNORKEL-ROUTE,iOS->Watch,transferUserInfo,snorkelingRoutePackage,snorkelingRoutePackageAck,Snorkeling route import store,yes,n/a,n/a,SnorkelingRouteSyncCodecTests,PASS,,Dedicated route package schema
NS-FC-PLAN,iOS->Watch,transferUserInfo,fullComputerPlanPackage,fullComputerPlanPackageAck,FC imported plan store,yes,n/a,n/a,DivePlanPackageCodecTests,PASS,,FC plan transfer isolated from Apnea/Snorkeling
NS-APNEA-PLAN,iOS->Watch,transferUserInfo,apneaSyncPlanPackage,apneaSyncPlanPackageAck,Apnea plan import store,yes,n/a,n/a,ApneaSyncCodecNegativePathTests,PASS,,Apnea plan namespace isolated
NS-TOMBSTONE-DIVING,Both,applicationContext,dirdiving_deleted_diving_session_tombstones,n/a,Diving stores,yes,n/a,yes (diving),ActivitySyncTombstoneTests,PASS,,Signed tombstones preferred path
NS-TOMBSTONE-APNEA,Both,applicationContext,dirdiving_deleted_apnea_session_tombstones,n/a,Apnea stores,yes,n/a,yes (apnea),ActivitySyncTombstoneTests,PASS,,Activity-specific delete propagation
NS-TOMBSTONE-SNORKEL,Both,applicationContext,dirdiving_deleted_snorkeling_session_tombstones,n/a,Snorkeling stores,yes,n/a,yes (snorkeling),ActivitySyncTombstoneTests,PASS,,No cross-activity delete path
NS-LARGE-PAYLOAD,Both,WC file transfer,activitySyncLargePayload,signed ACK via session flow,activity-scoped importers,yes,yes,yes,ActivitySyncLargePayloadTransferTests,PASS,P2,Physical stress evidence pending
NS-TRUST-BOOTSTRAP,Both,applicationContext,dirdiving_watch_sync_secret,n/a,Trust cache,bootstrap assumption,n/a,n/a,WatchSyncPeerSecretPinningIOSTests,DOCUMENTED_ACCEPTED_RISK,P3,TOFU model documented in threat model
