Setting_ID,Label,Activity,Shared,Backing_Store,Visible_In_Diving,Visible_In_Apnea,Visible_In_Snorkeling,Visible_In_iOS,Visible_In_Watch,Can_Edit_During_Active_Session,Syncs_To_Watch,Runtime_Effect,Evidence,Pass,Notes
dirdiving_app_language,App language,Shared,yes,SharedIOSSettingsStore,yes,yes,yes,yes,yes,yes,no,Localization,IOSActivitySettingsCoherenceTests,PASS,Single key all activities
dirdiving_ios_units,Depth/distance units,Shared,yes,SharedIOSSettingsStore,yes,yes,yes,yes,yes,yes,no,Unit display,IOSActivitySettingsCoherenceTests,PASS,Apnea syncs useMetricUnits
dirdiving.settings.shared.v1,Shared companion settings bundle,Shared,yes,SharedIOSSettingsStore,yes,yes,yes,yes,partial,yes,no,Theme/backup scope,IOSActivitySettingsContentVisibilityTests,PASS,Genuinely shared only
dirdiving.settings.diving.v1,Diving settings bundle,Diving,no,IOSDivingSettingsStore,yes,no,no,yes,yes,yes,partial,Planner/FC defaults,IOSActivitySettingsCoherenceTests,PASS,Not visible in Apnea/Snorkeling
dirdiving_ios_pressure_unit,Pressure unit BAR/PSI,Diving,no,IOSDivingSettingsStore / MoreView,yes,no,no,yes,no,yes,no,Gas/planner display,IOSActivitySettingsContentVisibilityTests,PASS,Gas/planner diving-only
dirdiving_ios_planner_cns_descent_bottom_check_enabled,CNS descent/bottom check,Diving,no,MoreView / PlannerCNSDescentBottomCheckSettings,yes,no,no,yes,no,yes,no,CNS warning granularity,IOSActivitySettingsRoutingTests,PASS,Must not appear in Apnea/Snorkeling
planner.ascentSpeedSettings.v1,Planner ascent speeds,Diving,no,PlannerAscentSpeedSettingsStore,yes,no,no,yes,no,yes,no,Transit/gas timing,PlannerAscentSpeedSettingsTests,PASS,Diving planner only
planner.gf.preset.conservative,iOS Planner GF Conservative 20/80,Diving,no,PlannerGFPreset / GasPlanInput,yes,no,no,yes,no,no,yes,no,Planner projection; Watch conservative2080,PlannerGFPresetDisplayTests,PASS,CONS-002 @451f8fb
planner.gf.preset.standard,iOS Planner GF Standard 30/70,Diving,no,PlannerGFPreset / GasPlanInput,yes,no,no,yes,no,no,yes,no,Planner projection; Watch standard3070,PlannerGFPresetDisplayTests,PASS,CONS-002 @451f8fb
planner.gf.preset.aggressive,iOS Planner GF Aggressive 40/85,Diving,no,PlannerGFPreset / GasPlanInput,yes,no,no,yes,no,no,yes,no,Planner projection; Watch moderate4085,PlannerGFPresetDisplayTests,PASS,CONS-002 @451f8fb
full_computer.gf.preset.watch,Watch FC GF preset triplets,Diving,no,FullComputerGradientFactorSettingsStore,yes,no,no,no,yes,yes,no,yes,Live FC decompression,FullComputerGradientFactorSettingsStoreTests,PASS,iOS package emits gradientFactorPreset
