Finding_ID,Severity,Priority,Family,Activity,Mode,Status,Root_Cause,Affected_Files,Affected_Symbols,Canonical_vs_Presentation,Mathematical_Impact,Safety_Impact,User_Impact,Security_Privacy_Impact,Performance_Impact,Recommended_Remediation,Tests_Required,Acceptance_Criteria,Regression_Risk,Physical_QA_Required,External_Validation_Required,Evidence,Notes
IOS-P1-001,HIGH,P1,Test Coverage,Snorkeling,Route Planner,VERIFIED,SnorkelingDistanceCalculator overload ambiguity and test-local draft types fixed in remediation wave,Shared/Utils/SnorkelingDistanceCalculator.swift;Tests/iOSAlgorithmTests/SnorkelingDistanceCalculatorTests.swift,distanceMeters(points:);SnorkelingRoutePlannerDraft,test-only,None,None,Was CI gate blocked,None,None,Closed @7a429a7 remediation,Full iOS Algorithm Tests suite,iOS Algorithm Tests BUILD+TEST SUCCEEDED,Low,No,No,xcodebuild @2c30412 1655 tests 0 failures,Closed — was CONS-049 @451f8fb
IOS-P2-001,MEDIUM,P2,Release / Legal Claims,Diving,All,PENDING_EXTERNAL_VALIDATION,No third-party Bühlmann profile comparison executed,Docs/QA_EVIDENCE/BUHLMANN_EXTERNAL/,BuhlmannEngine;BuhlmannPlanner,canonical,Unknown vs external oracle,Medium,Cannot claim external parity,None,None,Execute golden fixture review with external reviewer,BuhlmannExternalValidationMetadataTests,Signed evidence in QA_EVIDENCE,Low,No,Yes,BUHLMANN_EXTERNAL_VALIDATION_FIXTURES_TEMPLATE.md,CONS-009; upstream WFC-P1-001
IOS-P2-002,MEDIUM,P2,Cloud / Sync / Persistence,Diving,All,PENDING_PHYSICAL,iCloud two-device tombstone merge not field-tested,Docs/QA_EVIDENCE/ICLOUD_TWO_DEVICE/,CloudSyncStore;DiveLogStore,canonical,Potential merge edge cases,Medium,Duplicate/conflict UX unverified,Medium,None,Execute two-device QA matrix,CloudSessionMergeTests,Field matrix signed,Medium,Yes,No,CloudSessionMergeTests software PASS @2c30412,CONS-029
IOS-P2-003,MEDIUM,P2,CSV / Subsurface,Diving,All,PENDING_EXTERNAL_VALIDATION,No Subsurface desktop round-trip on real exports,Docs/QA_EVIDENCE/SUBSURFACE_EXTERNAL/,CSV export/import,canonical,Import compatibility unverified,Low,User import may fail edge cases,None,None,Desktop Subsurface validation,CSVMetadataRoundTripTests,Signed round-trip evidence,Low,No,Yes,SUBSURFACE_CSV_ROUNDTRIP.md,CONS-030
IOS-P2-004,MEDIUM,P2,Planner Briefing Card / Watch Transfer,Diving,All,PENDING_PAIRED_DEVICE_QA,Physical Watch briefing PNG transfer+ACK not executed,Docs/QA_EVIDENCE/WATCH_IOS_SYNC/,PlannerBriefingWatchTransferService;PlannerBriefingCardManifest,canonical+presentation,Transfer integrity unverified,Low,Stale card policy untested paired,None,None,Paired device briefing round-trip QA,PlannerWatchBriefingTransferTests,Signed paired QA pack,Low,Yes,No,referenceOnly==true enforced,CONS-011
IOS-P2-005,MEDIUM,P2,Snorkeling Logbook,Snorkeling,All,PENDING_PHYSICAL,Field GPS accuracy and long-route battery not validated,Docs/QA_EVIDENCE/SNORKELING_GPS/,IOSSnorkelingLogbookStore;Snorkeling route,canonical,None,Low,Navigation trust unverified,Privacy GPS software OK,Medium,Field GPS course comparison,SnorkelingQAEvidenceCatalogTests,Signed field evidence,Low,Yes,No,AUDIT_SNORKELING_RELEASE_GATE_CURRENT.md,CONS-031
IOS-P2-006,MEDIUM,P2,Snorkeling Route Planner,Snorkeling,P1/P2/P3,PENDING_PHYSICAL,12 Snorkeling QA evidence folders default PENDING; open-water route safety not field-verified,Docs/QA_EVIDENCE/SNORKELING_*,SnorkelingRouteRuntimeEvaluator;IOSSnorkelingRoutePlannerView,canonical+presentation,None,Medium if misclaimed,Cannot claim navigation verified on hardware,None,None,Execute 12 SNORKELING_* QA procedures,Snorkeling*Tests software PASS,Signed field artifacts,Low,Yes,No,Software P1/P2/P3 wired @2c30412,CONS-048
IOS-P2-007,MEDIUM,P2,Full Computer parity,All,All,OPEN,Upstream Watch water-auto-open routing tests fail after Apnea P1/P2/P3 @76f3703; iOS cross-read only,Utils/WatchWaterAutoOpenPolicy.swift;DIRStartupSelectionPolicy.swift,resolveAutomaticStep,integration,None for iOS planner math,Low for iOS companion,None,None,Align Watch routing tests or policy per audit 01,WFC-P2-005,Watch Algorithm Tests 1139/1152 PASS,Low,Yes,No,Audit 01 @2c30412; 13 routing failures FC math unaffected,Cross-gate informational for iOS
IOS-P3-001,LOW,P3,Startup / Root Flow,All,All,OPEN,Tab/settings scope tokens persist but full SwiftUI scene graph not restored,iOSApp/Services/IOSCompanionNavigationPersistence.swift;iOSApp/App/DIRDivingiOSApp.swift,IOSCompanionNavigationPersistence,presentation-only,None,None,User may land default tab after kill,None,None,Wire persisted tokens into root tab selection,IOSCompanionNavigationRestorationTests,Activity+tab restored after relaunch,Medium,Yes,No,IOSCompanionNavigationRestorationTests,CONS-028
IOS-P3-002,LOW,P3,Cloud / Sync / Persistence,Apnea,All,OPEN,Apnea logbook has no CloudSyncStore integration,iOSApp/Services/IOSApneaLogbookStore.swift,IOSApneaLogbookStore,canonical,None,None,Apnea sessions not iCloud-backed,None,None,Implement Apnea cloud or retain disclosure,ApneaCloudBackupStubTruthfulnessTests,Settings truthfully state capability,Low,No,No,By design until implemented,CONS-039
IOS-P3-003,LOW,P3,iOS Settings Mode Switch,Diving,All,OPEN,Dual binding MoreView @AppStorage vs IOSDivingSettingsStore,iOSApp/Views/MoreView.swift;iOSApp/Services/IOSDivingSettingsStore.swift,MoreView;IOSDivingSettingsStore,presentation-only,None,None,Potential settings drift,None,None,Unify through IOSDivingSettingsStore,IOSActivitySettingsCoherenceTests,Single write path per key,Low,No,No,No cross-activity leak,CONS-040
IOS-P3-004,MEDIUM,P3,Tissue Loading,Diving,All,OPEN,Logbook multigas tissue replay partial — gas-switch history not replayed,Docs/LOGBOOK_TISSUE_REPLAY_FUTURE_WORK.md,TissueAnalyticsService;DiveLogStore,canonical,Partial replay accuracy,Low,Analytics may omit switch segments,None,None,Implement per future-work doc,RepetitiveDiveMathematicalTests extension,Multigas replay matches planner,Medium,No,No,Single-gas replay OK,CONS-041
IOS-P3-005,LOW,P3,Manual Dive,Diving,All,OPEN,Interactive manual profile editor not implemented,Docs/MANUAL_DIVE_PROFILE_EDITOR_FUTURE_WORK.md,ManualDiveEditorLogicTests,canonical,None,None,Users cannot draw custom profiles,None,None,Implement or keep documented limitation,ManualDiveEditorLogicTests,Synthetic profile math correct,Low,No,No,Documented future work,
IOS-P3-006,LOW,P3,Snorkeling Map UX,Snorkeling,Route Planner,OPEN,Slow GPS fix may require second center-on-location tap,IOSSnorkelingRoutePlannerView.swift,pendingCenterOnLocation,presentation-only,None,None,Minor map UX friction,None,None,Improve async location centering or document,SnorkelingRoutePlannerMapUXTests,Single tap centers when fix available,Low,Yes,No,Documented in map UX report,Not a safety defect
IOS-P4-001,LOW,P4,Test Coverage,All,All,VERIFIED,Keychain peer secret unavailable in CI skips crypto tests,Tests/iOSAlgorithmTests/WatchSyncPeerSecretPinningIOSTests.swift,WatchSyncPeerSecretPinningIOSTests,test-only,None,None,Reduced CI crypto coverage,Low,None,Optional CI secret injection,WatchSyncPeerSecretPinningIOSTests,Skips documented,Low,No,No,Env-dependent skip,
IOS-P4-002,LOW,P4,MOD / PPO2 / Dalton,Diving,All,VERIFIED,PDF strict MOD display may differ from live validator rounding,iOSApp/Services/PDFExportService.swift,PDFExportService,presentation-only,Display only,None,PDF may show stricter MOD,None,None,Align PDF MOD or document asymmetry,MODPresentationPolicyTests,Conservative fail-closed,Low,No,No,MODPresentationPolicyTests,
IOS-P4-003,LOW,P4,Startup / Root Flow,All,All,VERIFIED,Eager Diving graph at app root before activity selection,iOSApp/Services/IOSCompanionStoreCoordinator.swift,IOSCompanionStoreCoordinator,infra,None,None,Cold launch loads diving stores,None,Medium,Lazy-init non-diving until selected,IOSCompanionStoreLifecycleTests,Faster Apnea/Snorkeling-only launch,Low,No,No,Not a safety leak,
IOS-P4-004,LOW,P4,Structured Equipment,Diving,All,VERIFIED,Checklist title inference edge cases,iOSApp/Services/EquipmentChecklistGenerator.swift,EquipmentChecklistGenerator,presentation-only,None,None,Minor label mismatch,None,None,Expand inference tests,EquipmentChecklistGeneratorTests,Standard titles map,Low,No,No,No data loss,
IOS-P0-VERIFIED-001,N/A,N/A,Full Computer parity,Diving,All,VERIFIED,CONS-002 GF preset parity remediated,iOSApp/Services/DivePlanPackageBuilder.swift,PlannerGFPreset;gradientFactorPreset,canonical+integration,None,None,None,None,None,Retain regression tests,DivePlanPackageBuilderTests,All presets emit gradientFactorPreset,Low,Yes,No,@2c30412 code + tests PASS,Was IOS-MASTER-F016
IOS-P0-VERIFIED-002,N/A,N/A,Performance / Numerical Robustness,Diving,Planner,VERIFIED,CONS-027 PlannerStore.deinit cancels tasks,iOSApp/Services/PlannerStore.swift,deinit;planningUpdateTask,infra,None,None,Prevents stale async work,None,Low,Retain deinit cancellation,PerformanceConcurrencyBatteryRemediationTests,No tasks after deinit,Low,No,No,PlannerStore.swift,Was IOS-MASTER-F017
