Finding_ID,Priority,Original_Status,Current_Status,Root_Cause,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_Summary,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Physical_QA_Required,External_Validation_Required,Notes
WATCH-BRIEF-005,LOW,OPEN,FIXED,gasEmergency enum case had no iOS export path or Watch presentation; Rock Bottom remains iOS Planner-only,Models/PlannerBriefingCard.swift,yes,yes,no,yes,Removed dead gasEmergency kind; lenient manifest decode filters legacy/unknown kinds without crash,No unused production card kind; legacy payloads decode safely,./Scripts/validate_watch_complete_algorithm_readiness.sh,PASS,PlannerBriefingLegacyKindDecodeTests; PlannerBriefingCardKindMatrixTests,None for software scope,no,no,Path B — REMOVED
WATCH-SYNC-001,MEDIUM,OPEN,FIXED,Watch sync integration tests XCTSkipped when Keychain peer secret unavailable in simulator CI,Shared/Utils/WatchSyncTestSupport.swift; Services/WatchSyncAuth.swift (existing DEBUG hooks),yes,yes,yes,yes,Unified WatchSyncTestSupport using installTestSecrets; eliminated all Keychain-dependent XCTSkip in Watch suite,All software sync/auth tests run with zero skips; production Keychain unchanged,./Scripts/validate_watch_complete_algorithm_readiness.sh,PASS,856 Watch tests 0 skipped 0 failed,None for software scope,yes,no,Physical WCSession pairing tests remain classified separately
WATCH-DOC-001,LOW,OPEN,FIXED,Feature matrices and audit docs lagged Full Computer on Watch MAIN and multi-activity promotion,Docs/*.md; Docs/DIR_DIVING_Feature_Comparison.csv,no,no,no,yes,Verified and updated release documentation alignment with current MAIN architecture,Docs reflect FC on Watch; Apnea/Snorkeling MAIN; physical QA pending,./Scripts/validate_watch_complete_algorithm_readiness.sh,PASS,Remediation report section V,None for software scope,no,no,
WATCH-PERF-001,MEDIUM,OPEN,VERIFIED,Physical long-dive battery evidence pending; software budgets already defined in release-hard tests,Utils/FullComputerReleaseHardTolerances.swift; FullComputerReleaseHardValidationTests.swift,no,no,yes,yes,Documented software performance budgets; physical battery profiling remains external gate,Deterministic budget tests pass; no physical battery claim,./Scripts/validate_watch_complete_algorithm_readiness.sh,PASS,WATCH_SOFTWARE_PERFORMANCE_BUDGET_CURRENT.csv,Physical battery/thermal profiling still required,yes,no,Software gate only
WATCH-PHY-001,HIGH,PENDING,PENDING_PHYSICAL_QA,No real Apple Watch Ultra underwater depth/ascent/haptic evidence,Docs/WATCH_ULTRA_PHYSICAL_QA_MATRIX.md,no,no,no,yes,Explicitly documented as external gate — not closed via code,Real Ultra hardware QA matrix executed,no,NOT_APPLICABLE,Matrix exists slots empty,Field validation required,yes,no,
WATCH-PHY-002,HIGH,PENDING,PENDING_PHYSICAL_QA,No paired iPhone/Watch sync round-trip field evidence,Docs/WATCH_IOS_SYNC_QA_MATRIX.md,no,no,no,yes,Explicitly documented as external gate,no,Two-device sync QA executed,no,NOT_APPLICABLE,Matrix exists slots empty,Field validation required,yes,no,
WATCH-EXT-001,HIGH,PENDING,PENDING_EXTERNAL_VALIDATION,External Bühlmann reference vectors not executed on Watch hardware,Docs/QA_EVIDENCE/RATIO_DECO_EXTERNAL/README.md,no,no,no,yes,Explicitly documented as external gate,no,Third-party Bühlmann reference validation,no,NOT_APPLICABLE,iOS shared core tested; Watch uses same core,Independent reference validation,yes,yes,
WATCH-BRIEF-001,HIGH,CLOSED,VERIFIED,Prior remediation — PNG export path,—,no,no,no,no,Previously fixed,N/A,N/A,N/A,N/A,None,no,no,Historical
WATCH-BRIEF-002,HIGH,CLOSED,VERIFIED,Prior remediation — transfer ACK,—,no,no,no,no,Previously fixed,N/A,N/A,N/A,N/A,None,no,no,Historical
WATCH-BRIEF-003,HIGH,CLOSED,VERIFIED,Prior remediation — reference-only footer,—,no,no,no,no,Previously fixed,N/A,N/A,N/A,N/A,None,no,no,Historical
WATCH-BRIEF-004,MEDIUM,CLOSED,VERIFIED,Prior remediation — CCR summary card,—,no,no,no,no,Previously fixed,N/A,N/A,N/A,N/A,None,no,no,Historical
