Finding_ID,Original_Severity,Original_Status,Current_Status,Root_Cause,Affected_Files,Production_Code_Changed,Tests_Changed,Scripts_Changed,Documentation_Changed,Fix_or_Mitigation,Acceptance_Criteria,Validation_Command,Validation_Result,Evidence,Residual_Risk,Physical_QA_Required,External_Validation_Required,Notes
WCMA-001,P1,OPEN,FIXED,Late error overwrote proposalReady,Services/FullComputerEnvironmentSensorService.swift,yes,yes,yes,yes,Terminal state + generation guard,proposalReady survives late error,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,PENDING_PHYSICAL_QA,no,
WCMA-002,P1,OPEN,FIXED,No request generation token,Services/FullComputerEnvironmentSensorService.swift,yes,yes,yes,yes,Monotonic requestGeneration,Superseded callbacks ignored,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,PENDING_PHYSICAL_QA,no,
WCMA-003,P2,OPEN,FIXED,Used Date() not sensor timestamp,Services/FullComputerEnvironmentSensorService.swift,yes,yes,no,yes,CMLogItem.timestamp mapping,capturedAt uses sensor time,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,PENDING_PHYSICAL_QA,no,
WCMA-004,P2,OPEN,DOCUMENTED_ACCEPTED_RISK,Thresholds undocumented,Docs/WATCH_CMALTIMETER_SAMPLING_POLICY_CURRENT.md,no,yes,no,yes,Policy doc + static test,Constants match doc,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,FullComputerAltitudeSamplingPolicyDocumentationTests,Physical tuning pending,PENDING_PHYSICAL_QA,no,
WCMA-005,P2,OPEN,VERIFIED,Incomplete negative tests,Tests/WatchAlgorithmTests/*,no,yes,yes,yes,Lifecycle + remediation suites,All matrix cases software-tested,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,no,no,
WCMA-006,P2,OPEN,DOCUMENTED_ACCEPTED_RISK,Pending not persisted,Services/FullComputerPrediveConfigurationStore.swift,no,yes,no,yes,Ephemeral pending policy,Relaunch clears pending safely,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,Policy doc,By design,PENDING_PHYSICAL_QA,no,
WCMA-007,P2,OPEN,FIXED,Nil data silently dropped,Services/FullComputerEnvironmentSensorService.swift,yes,yes,yes,yes,3-strike nil-data failure,Deterministic failed state,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,PENDING_PHYSICAL_QA,no,
WCMA-008,P2,OPEN,FIXED,legacyUnknown logbook fallback,Services/DiveManager.swift,yes,yes,no,yes,Session environment snapshot,Source preserved in logbook,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLogbookProvenanceTests,None,no,no,
WCMA-009,P3,OPEN,FIXED,Duplicate onAppear sampling,Views/FullComputerPredive*.swift,yes,yes,no,yes,requestProposalIfNeeded,Single subscription,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchCMAltimeterLifecycleTests,None,no,no,
WCMA-010,P3,OPEN,FIXED,Info.plist missing altitude,App/Info.plist,yes,yes,no,yes,Updated NSMotionUsageDescription,Plist mentions altitude+accept,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,FullComputerAltitudeSamplingPolicyDocumentationTests,None,PENDING_PHYSICAL_QA,no,
WCMA-011,P4,OPEN,FIXED,100m stepper coarse,Views/FullComputerPrediveSettingsView.swift,yes,yes,no,no,10m step + ±100m buttons,Manual altitude precision,validate_watch_cmaltimeter_full_computer_readiness.sh,PASS,WatchManualAltitudeStepperTests,None,no,no,
